P200038	MW 0188/001	tablet		uncertain (mod. uncertain)	MW 0188/001					anonymous, Europe			Administrative	undetermined	clay			
P200039	MW 0188/002	tablet		uncertain (mod. uncertain)	MW 0188/002					anonymous, Europe			Administrative	undetermined	clay			
P200040	MW 0188/003	tablet		uncertain (mod. uncertain)	MW 0188/003					anonymous, Europe			Administrative	undetermined	clay	1451100	history	
P200041	MW 0188/010	tablet		uncertain (mod. uncertain)	MW 0188/010					anonymous, Europe			Administrative	undetermined	clay			
P200042	MW 0188/011	tablet		uncertain (mod. uncertain)	MW 0188/011					anonymous, Europe			Administrative	undetermined	clay			
P200043	MW 0188/012	tablet		uncertain (mod. uncertain)	MW 0188/012					anonymous, Europe			Administrative	undetermined	clay			
P200044	MW 0188/013	tablet		uncertain (mod. uncertain)	MW 0188/013					anonymous, Europe			Administrative	undetermined	clay			
P200045	MW 0188/014	tablet		uncertain (mod. uncertain)	MW 0188/014					anonymous, Europe			Administrative	undetermined	clay			
P200046	MW 0188/018	tablet		uncertain (mod. uncertain)	MW 0188/018					anonymous, Europe			Administrative	undetermined	clay			
P200047	MW 0188/023	tablet		uncertain (mod. uncertain)	MW 0188/023					anonymous, Europe			Administrative	undetermined	clay			
P200048	MW 0188/026	tablet		uncertain (mod. uncertain)	MW 0188/026					anonymous, Europe			Administrative	undetermined	clay	1451101	history	
P200049	MW 0188/027	tablet		uncertain (mod. uncertain)	MW 0188/027					anonymous, Europe			Administrative	undetermined	clay			
P200050	MW 0188/028	tablet		uncertain (mod. uncertain)	MW 0188/028					anonymous, Europe			Administrative	undetermined	clay			
P200051	MW 0188/031	tablet		uncertain (mod. uncertain)	MW 0188/031					anonymous, Europe			Administrative	undetermined	clay			
P200052	MW 0188/044	tablet		uncertain (mod. uncertain)	MW 0188/044					anonymous, Europe			Administrative	undetermined	clay	1451102	history	
P342507	MW 0188/004	tablet		uncertain (mod. uncertain)	MW 0188/004					anonymous, Europe			Administrative		clay			
P342508	MW 0188/005	tablet		uncertain (mod. uncertain)	MW 0188/005					anonymous, Europe			Administrative		clay			
P342509	MW 0188/006	tablet		uncertain (mod. uncertain)	MW 0188/006					anonymous, Europe			Administrative		clay			
P342510	MW 0188/007	tablet		uncertain (mod. uncertain)	MW 0188/007					anonymous, Europe			Administrative		clay			
P342511	MW 0188/008	tablet		uncertain (mod. uncertain)	MW 0188/008					anonymous, Europe			Administrative		clay			
P342512	MW 0188/009	tablet		uncertain (mod. uncertain)	MW 0188/009					anonymous, Europe			Administrative		clay			
P342513	MW 0188/015	tablet		uncertain (mod. uncertain)	MW 0188/015					anonymous, Europe			Administrative		clay			
P342514	MW 0188/016	tablet		uncertain (mod. uncertain)	MW 0188/016					anonymous, Europe			Administrative		clay			
P342515	MW 0188/017	tablet		uncertain (mod. uncertain)	MW 0188/017					anonymous, Europe			Administrative		clay			
P342516	MW 0188/019	tablet		uncertain (mod. uncertain)	MW 0188/019					anonymous, Europe			Administrative		clay			
P342517	MW 0188/020	tablet		uncertain (mod. uncertain)	MW 0188/020					anonymous, Europe			Administrative		clay			
P342518	MW 0188/021	tablet		uncertain (mod. uncertain)	MW 0188/021					anonymous, Europe			Administrative		clay			
P342519	MW 0188/022	tablet		uncertain (mod. uncertain)	MW 0188/022					anonymous, Europe			Administrative		clay			
P342520	MW 0188/024	tablet		uncertain (mod. uncertain)	MW 0188/024					anonymous, Europe			Administrative		clay	1453901	history	
P342521	MW 0188/025	tablet		uncertain (mod. uncertain)	MW 0188/025					anonymous, Europe			Administrative		clay			
P342522	MW 0188/029	tablet		uncertain (mod. uncertain)	MW 0188/029					anonymous, Europe			Administrative		clay	1453902	history	
P342523	MW 0188/030	tablet		uncertain (mod. uncertain)	MW 0188/030					anonymous, Europe			Administrative		clay	1453903	history	
P342524	MW 0188/032	tablet		uncertain (mod. uncertain)	MW 0188/032					anonymous, Europe			Administrative		clay	1453904	history	
P342525	MW 0188/033	tablet		uncertain (mod. uncertain)	MW 0188/033					anonymous, Europe			Administrative		clay			
P342526	MW 0188/034	tablet		uncertain (mod. uncertain)	MW 0188/034					anonymous, Europe			Administrative		clay			
P342527	MW 0188/035	tablet		uncertain (mod. uncertain)	MW 0188/035					anonymous, Europe			Administrative		clay			
P342528	MW 0188/036	tablet		uncertain (mod. uncertain)	MW 0188/036					anonymous, Europe			Administrative		clay			
P342529	MW 0188/037	tablet		uncertain (mod. uncertain)	MW 0188/037					anonymous, Europe			Administrative		clay			
