name	oid	lsort	sfsort	sfname	ucode	ucun	note	lfeat	lsname	lucun	limage	lvalues
BAU035	o0902411	210	8137	UZ~a	U+12C8E	𒲎						
BAU036	o0900228	211	716	DAR~a	U+12728	𒜨						
BAU037	o0901393	212	2016	MUD	U+129ED	𒧭						
BAU038	o0901466	213	2161	NAM~c	U+12A21	𒨡						
►BAU039		214	0				Uncertain; only in UET 2 161=P005746 ii 5 where CDLI reads GAL~a# X, taking part of sign as GAL~a.					
►BAU040		215	0				Sometimes classified as NUMUN but this identification is not completely convincing.					
BAU041	o0901589	216	2289	NUMUN	U+12A72	𒩲						
►BAU042		217	0				Uncertain; only in UET 2, 1, not edited in CDLI.					
►BAU043		218	0				Ligature of NUMUN AB@g to understand as a sequence of separate signs.					
BAU044	o0901584	219	2283	NU	U+12A6D	𒩭						
BAU045	o0901376	220	1997	MAŠ	U+129DF	𒧟						
BAU046	o0901377	221	1998	MAŠ₂	U+129E0	𒧠						
BAU047	o0900745	222	1371	GAN~e								
BAU048		223	0								
BAU049		224	0								
BAU050		225	0								
BAU051		226	0								
BAU051a	o0901015	227	1631	IR₃								
BAU051b	o0901015	228	1631	IR₃								
BAU051c	o0901015	229	1631	IR₃								
BAU051d		230	0								
BAU052	o0901016	231	1632	IR₁₁	U+12908	𒤈						
BAU053	o0901015	232	1631	IR₃								
BAU054	o0900215	233	703	BUR₂	U+1271F	𒜟						
BAU055		234	0								
BAU056	o0900215	235	703	BUR₂	U+1271F	𒜟						
►BAU057		236	0				Unclear ref to UET 2, 163 iv 4.					
BAU058	o0901592	237	2296	NUN~a	U+12A74	𒩴						
BAU059	o0901580	238	2279	NIR~a	U+12A6A	𒩪						
BAU060	o0902147	239	2923	TUR₃~b	U+12BDA	𒯚						
BAU061	o0900778	240	1372	GAN₂	U+12867	𒡧						
BAU062	o0900062	241	66	AK~a	U+126B6	𒚶						
BAU063	o0900991	242	1610	IG~a	U+128F9	𒣹						
BAU064	o0903222	243	9916	2(N57)	U+F0111	󰄑						
BAU065	o0900946	244	1555	GUR	U+128DA	𒣚						
BAU066	o0901941	245	2678	ŠAM₂	U+12B4F	𒭏						
BAU067	o0900896	246	1496	GIŠIMMAR~a1	U+128B4	𒢴						
BAU068		247	0								
BAU069		248	0								
BAU070		249	0								
BAU071	o0900297	250	807	DU₈~d								
BAU072	o0901626	251	2328	PA~a~v1	U+12A8C	𒪌						
BAU073	o0900909	252	1514	GU₄~v1	U+128C1	𒣁						
BAU074	o0900371	253	1014	|DUG~b~v1×HI|	U+127B1	𒞱						
BAU075	o0900100	254	107	APIN~a	U+126D2	𒛒						
BAU076		255	0								
BAU077	o0900312	256	815	DUB~a	U+1275F	𒝟						
BAU078	o0901361	257	1985	MAR~a	U+129D8	𒧘						
BAU079	o0901585	258	2284	NU@g	U+12A6E	𒩮						
►BAU080		259	0				Uncertain, only in U. 14896					
►BAU081		260	0				Uncertain, probably two signs X X					
BAU082		261	0								
BAU082a	o0901618	262	2321	NUNUZ~c	U+12A87	𒪇						
BAU082b	o0901614	263	2315	NUNUZ~a1	U+12A82	𒪂						
►BAU083		264	0				Uncertain, only in UET 2 277=P005867 2 X					
BAU084	o0903234	265	9917	3(N57)	U+F0112	󰄒						
BAU085	o0900981	266	1600	I	U+128F3	𒣳						
►BAU086		267	0				Entry "6(N57)" read GI₆#? in CDLI					
BAU087		268	0								
BAU088	o0900159	269	170	BARA₂~a~v1	U+126FF	𒛿						
BAU089		270	0								
BAU090		271	0								
BAU091	o0902156	272	2927	U₂~a	U+12BDC	𒯜						
BAU092	o0901887	273	2615	SUKKAL	U+12B26	𒬦						
BAU093	o0902290	274	8014	UMUN₂	U+12C42	𒱂						
BAU094	o0901866	275	2590	SIMUG	U+12B18	𒬘						
BAU095	o0900112	276	118	AŠ₂	U+126DB	𒛛						
BAU096	o0902033	277	2788	ŠU	U+12B8D	𒮍						
BAU097	o0900217	278	706	DA~a	U+12720	𒜠						
BAU098		279	0								
BAU099	o0900916	280	1519	GUB₃~a	U+128C4	𒣄						
BAU100	o0900916	281	1519	GUB₃~a	U+128C4	𒣄						
BAU101	o0900217	282	706	DA~a	U+12720	𒜠						
BAU102	o0900010	283	10	A₂	U+12697	𒚗						
BAU103		284	0								
BAU103a	o0901483	285	2179	NE~a	U+12A2F	𒨯						
BAU103c	o0900839	286	1438	GIBIL	U+12890	𒢐						
BAU103d	o0900839	287	1438	GIBIL	U+12890	𒢐						
BAU103e	o0900839	288	1438	GIBIL	U+12890	𒢐						
BAU104	o0901023	289	1639	IŠ~b~v1	U+1290E	𒤎						
BAU105	o0901024	290	1640	IŠ~b~v2	U+1290F	𒤏						
BAU106	o0901493	291	2189	NESAG₂~a	U+12A36	𒨶						
BAU107	o0900729	292	1319	GAL~a	U+1284E	𒡎						
BAU108	o0901912	293	2649	ŠA~v2	U+12B3C	𒬼						
BAU109		294	0								
BAU110	o0901020	295	1636	IŠ~a	U+1290B	𒤋						
BAU111	o0901102	296	1727	KIN	U+12946	𒥆						
BAU112	o0901102	297	1727	KIN	U+12946	𒥆						
►BAU113		298	0				Uncertain, only on sealing.					
BAU114		299	0								
BAU115		300	0								
BAU115a		301	0								
BAU115b		302	0								
BAU116		303	0								
BAU117		304	0								
BAU118	o0902094	305	2860	TAK₄~a	U+12BB4	𒮴						
►BAU119		306	0				Uncertain, only in U. 14896					
BAU120		307	0								
BAU121		308	0								
BAU122		309	0								
BAU123	o0901312	310	1932	LUM	U+129BC	𒦼						
BAU124	o0900900	311	1500	GIŠIMMAR~b1~v1	U+128B8	𒢸						
BAU125	o0901904	312	2638	SUM~b	U+12B33	𒬳						
BAU126	o0901641	313	2338	PAP~b~v1	U+12A94	𒪔						
BAU127		314	0								
BAU128	o0901075	315	1698	KASKAL	U+12932	𒤲						
BAU129		316	0								
BAU130	o0901946	317	2688	ŠE~a	U+12B52	𒭒						
BAU131	o0901301	318	1921	LI	U+129B3	𒦳						
BAU132	o0901452	319	2148	NAGA~a	U+12A16	𒨖						
BAU133	o0902113	320	2882	TU~b1								
BAU134		321	0								
►BAU135		322	0				Read as sequence TU~b GU₄ A.					
BAU136		323	0								
BAU137		324	0								
BAU138	o0901717	325	2422	SAR								
BAU139	o0901775	326	2516	SILA₃~a	U+12AE5	𒫥						
BAU140	o0901934	327	2670	ŠAH₂~a	U+12B49	𒭉						
BAU141	o0901627	328	2329	PA~a~v2	U+12A8D	𒪍						
►BAU142		329	0				Read as sequence PA ŠA₃~a1					
►BAU142b		330	0				Read as sequence 2(N57)? ŠA₃~a1					
BAU143	o0900541	331	1111	ERIM~a	U+127EB	𒟫						
BAU144	o0900276	332	766	DIN	U+1274B	𒝋						
BAU145	o0901670	333	2366	RU	U+12AA3	𒪣						
BAU146	o0900083	334	91	AMAR~v1	U+126C9	𒛉						
►BAU146a		335	0				Read as sequence AMAR AMAR.					
►BAU146b		336	0				Read as sequence ŠE~a AMAR (possible antecedant of |AMAR×ŠE|)					
BAU147	o0900207	337	695	BULUG₃	U+1271A	𒜚						
BAU148	o0900176	338	685	BU~a~v1	U+12713	𒜓						
BAU149	o0901876	339	2601	SU₃	U+12B1F	𒬟						
►BAU150		340	0				Read as sequence BU/SU₃ SAL BAR vel sim.					
BAU151	o0901876	341	2601	SU₃	U+12B1F	𒬟						
BAU152	o0901417	342	2037	MUŠ	U+129FE	𒧾						
BAU153	o0901417	343	2037	MUŠ	U+129FE	𒧾						
BAU154	o0901496	344	2191	NESAG₂~b	U+12A37	𒨷						
BAU155	o0901442	345	2135	NA₂~a	U+12A0F	𒨏						
BAU156		346	0								
BAU157	o0900159	347	170	BARA₂~a~v1	U+126FF	𒛿						
BAU158	o0902422	348	8150	ZAG~a	U+12C93	𒲓						
BAU159	o0901966	349	2712	ŠEG₉	U+12B5E	𒭞						
BAU160	o0901481	350	2177	NAR	U+12A2E	𒨮						
BAU161		351	0								
BAU161a	o0900094	352	100	ANŠE~b	U+126CF	𒛏						
BAU161b	o0901648	353	2348	PIRIG~b1	U+12A98	𒪘						
BAU161c	o0900094	354	100	ANŠE~b	U+126CF	𒛏						
BAU162	o0901649	355	2353	PIRIG~b2	U+12A9A	𒪚						
►BAU163		356	0				Read as sequence MA (AMAR AN) ANŠE~b					
BAU164	o0901128	357	1753	KIŠ	U+1295A	𒥚						
BAU165	o0900862	358	1465	|GIR₃~c×KAR₂~b|	U+128A0	𒢠						
►BAU166		359	0				Read as combination UR₂ above MUŠ₃a?					
►BAU167		360	0				Read as combination |ŠU₂.AN.HI×KAK|					
►BAU168		361	0				Read as sequence x UD E₂ where x is probably not a sign; or U.UD.KID₂??					
►BAU169		362	0				Read as sequence ŠU₂~b AN E₂					
►BAU170		363	0				Read as sequence ŠU₂~b E₂					
BAU171		364	0								
BAU172	o0900935	365	1543	GUL	U+128D2	𒣒						
BAU173	o0900837	366	1437	GI₆~v1	U+1288F	𒢏						
BAU174		367	0								
BAU175		368	0								
►BAU176		369	0				Not an ED I sign; Akkadian MI+ŠITA₂ vel sim.					
BAU177	o0900041	370	43	AB₂	U+126A7	𒚧						
