o0901259.o0903664.	|LAGAB~b.LAGAB~b|	|LAGAB~b+LAGAB~b|	1	0
o0901315..	|MA~v1×A|	|MA×A|	2	0
o0901348.o0901349.	|MAH~a×UD₅~a~v1|	|MAH~a×UD₅~a|	2	0
o0901366.o0901367.	|MAR~b×(LAGAB~b.ŠE₃~v1)|	|MAR~b×(LAGAB~b.ŠE₃)|	1	0
o0901529.o0901530.	|NINDA₂×(HI.ME~a)|	|NINDA₂×(HI+ME~a)|	1	0
o0901529.o0901531.	|NINDA₂×(HI~a1.ME~a)|	|NINDA₂×GUDU₄|	1	0
o0901550.o0901551.	|NINDA₂×(1(N06).HI@g~a)|	|NINDA₂×(HI@g~a.1(N06))|	1	0
o0901605.o0901606.	|NUN~a+EN~a~v2|	|NUN~a+EN~a|	24	0
o0901605.o0901607.	|NUN~a+EN~b~v1|	|NUN~a+EN~b|	2	0
o0901605.o0901609.	|NUN~b+EN~a|	|EN~a+NUN~b|	6	0
o0901642.o0901643.	PAP~a@t	PAP@t	18	0
o0901680.o0901681.	|SAG×GEŠTU~a|	|SAG+GEŠTU~a|	2	0
o0901687..	|SAG~v1×MA~v1|	|SAG×MA|	18	0
o0901689..	|SAG×NAM₂|	|SAG+NAM₂|	1	0
o0901692.o0901693.	|SAG+UKKIN~b~v1×1(N57)|	|SAG×(UKKIN~b×1(N57))|	1	0
o0901702..	|SAL.ME~a|	LUKUR	1	0
o0901705..	|SAL.HI×HI|	|SAL.ZATU751~c|	1	0
o0901706.o0901707.	|SAL.ZATU751~a|	|SAL+ZATU751~a|	1	0
o0901734..	|SI×ŠE₃~v1|	|SI×ŠE₃|	3	0
o0901748..	|1(N57).SIG|	|SIG×1(N57)|	1	0
o0901750.o0901751.	SIG₂~a1	SIG₂~a	1	0
o0901768.o0901769.	|SIG₂~b&SIG₂~b|	|SIG₂~b.SIG₂~b|	2	0
o0901784.o0901785.	|SILA₃~a~v1×DUG~a|	|SILA₃~a×DUG~a|	2	0
o0901789.o0901790.	|SILA₃~a×GA~a~v3|	|SILA₃~a×GA~a|	5	0
o0901791.o0901792.	|SILA₃~a×GARA₂~a|	|SILA₃~a+GARA₂~a|	1	0
o0901793.o0901794.	|SILA₃~a×GEŠTU~a~v2|	|SILA₃~a×GEŠTU~a|	1	0
