1538	|DUG~axHI|	PROTO-CUNEIFORM SIGN DUG-A TIMES HI
1544	|DUG~axX|	PROTO-CUNEIFORM SIGN DUG-A TIMES X
1616	|EZEN~axLA~e|	PROTO-CUNEIFORM SIGN EZEN-A TIMES LA-E
1625.1	|EZEN~bx6(N57)|	PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57 VARIANT 1
1626	|GA~axX|	PROTO-CUNEIFORM SIGN GA-A TIMES X
1640	|GA2~a1xGU4|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GU4
1651	|GA2~a1xNUN~a|	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NUN-A
1689	|GAN~dxHI|	PROTO-CUNEIFORM SIGN GAN-D TIMES HI
1690	|GESZTIN~cxX|	PROTO-CUNEIFORM SIGN GESHTIN-C TIMES X
1691	|GESZTU~axSZE~a@t|	PROTO-CUNEIFORM SIGN GESHTU-A TIMES SHE-A TENU
1720	|GISZ@t.E2~a|	PROTO-CUNEIFORM SIGN GISH TENU BESIDE E2-A
1731	|HIx1(N01@f)|	PROTO-CUNEIFORM SIGN HI TIMES ONE-N1 FLAT
1737	|HIxSZE3@t|	PROTO-CUNEIFORM SIGN HI TIMES SHE3 TENU
1776	|LAGAB~bx1(N01)|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES ONE-N1
1783	|LAGAB~bxSZITA~c|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SHITA-C
1784	|LAGAB~bxSI|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES SI
1787	|LAGAB~bxX|	PROTO-CUNEIFORM SIGN LAGAB-B TIMES X
1792	|MAx2(N57)|	PROTO-CUNEIFORM SIGN MA TIMES TWO-N57
1795	|MAxX|	PROTO-CUNEIFORM SIGN MA TIMES X
1816	|MUD3~a@gxGU|	PROTO-CUNEIFORM SIGN MUD3-A GUNU TIMES GU
1830	|NINDA2x1(N06)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES ONE-N6
1842	|NINDA2x(GISZ.DAR~a)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES GISH BESIDE DAR-A
1852	|NINDA2xNE~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES NE-A
1853	|NINDA2xSZIM~a|	PROTO-CUNEIFORM SIGN NINDA2 TIMES SHIM-A
1859	|NINDA2x(X.MASZ)|	PROTO-CUNEIFORM SIGN NINDA2 TIMES X BESIDE MASH
1874	|SAGxLAM~c|	PROTO-CUNEIFORM SIGN SAG TIMES LAM-C
1876	|SAGxSAR~a|	PROTO-CUNEIFORM SIGN SAG TIMES SAR-A
1900	|SZU2.2(N57)|	PROTO-CUNEIFORM SIGN SHU2 BESIDE TWO-N57
1919	|SILA3~axDUG~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES DUG-B
1950	|SILA3~bxDUG~a|	PROTO-CUNEIFORM SIGN SILA3-B TIMES DUG-A
1961	|(SUKUD+SUKUD)~c|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM C
1965	|TURxX|	PROTO-CUNEIFORM SIGN TUR TIMES X
1966	|TUR3~bxTAK4~a|	PROTO-CUNEIFORM SIGN TUR3-B TIMES TAK4-A
1969	|U4x1(N01@f)|	PROTO-CUNEIFORM SIGN U4 TIMES ONE-N1 FLAT
2027	|UKKIN~bxDUG~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DUG-A
2036	|URI3~a+IB~a|	PROTO-CUNEIFORM SIGN URI3-A JOINING IB-A
2039	|URU~a1xA|	PROTO-CUNEIFORM SIGN URU-A1 TIMES A
2050	|USZ~bxTAR~d|	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-D
2083	|ZATU737xSZITA@g~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA GUNU-A
2095	|(ZU&ZU).SAR~a|	PROTO-CUNEIFORM SIGN ZU OVER ZU BESIDE SAR-A
