997	𒨁	SZITA@g~a	PROTO-CUNEIFORM SIGN SHITA GUNU-A	ŠITA~b3@g	PROTO-CUNEIFORM SIGN SHITA-B3 GUNU
997.1	𒨂	SZITA@g~a	PROTO-CUNEIFORM SIGN SHITA GUNU-A VARIANT 1	ŠITA~b1@g	PROTO-CUNEIFORM SIGN SHITA-B1 GUNU
998	𒨃	SZITA@g~b	PROTO-CUNEIFORM SIGN SHITA GUNU-B	ŠITA~a1@g	PROTO-CUNEIFORM SIGN SHITA-A1 GUNU
