678	12876	NEW GLYPH=𒡶	IŠ~b	PROTO-CUNEIFORM SIGN ISH-B
678.1	12875	NEW GLYPH=𒡵	IŠ~b~v1	PROTO-CUNEIFORM SIGN ISH-B VARIANT 1
923	FFFFD	NEW GLYPH=󿿽	RAD~a	PROTO-CUNEIFORM SIGN RAD-A
1515	12C63	NEW GLYPH=𒱣	|(BU~a~v1%BU~a~v1).NA₂~a@n|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A BESIDE NA2-A NUTILLU
1625	12CE0	NEW GLYPH=𒳠	|EZEN~b×6(N57)|~v1	PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57
1738	12D54	NEW GLYPH=𒵔	|HI.SUHUR|	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR
1738.2	12D52	NEW GLYPH=𒵒	|HI.SUHUR~v2|	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR VARIANT 2
1743	FFFF9	NEW GLYPH=󿿹	|KA₂~d×LAM~b~v2|	PROTO-CUNEIFORM SIGN KA2 TIMES LAM
