1	2154	12580	𒖀	1(N01)	1(N01)	o0027232	ONE-N1	PROTO-CUNEIFORM NUMBER ONE-N1	Nl;0;L;;;;1;N
2	2155	12581	𒖁	1(N01@f)	1(N01@f)	o0027234	ONE-N1 FLAT	PROTO-CUNEIFORM NUMBER ONE-N1 FLAT	Nl;0;L;;;;1;N
3	2156	12582	𒖂	|1(N01@r)|	1(N01@r)	o0031031	ONE-N1 REVERSED	PROTO-CUNEIFORM NUMBER ONE-N1 REVERSED	Nl;0;L;;;;1;N
4	2176	12583	𒖃	1(N02)	1(N02)	o0031033	ONE-N2	PROTO-CUNEIFORM NUMBER ONE-N2	Nl;0;L;;;;1;N
5	2186	12584	𒖄	1(N03)	1(N03)	o0031037	ONE-N3	PROTO-CUNEIFORM NUMBER ONE-N3	Nl;0;L;;;;1;N
6	2192	12585	𒖅	1(N04)	1(N04)	o0027236	ONE-N4	PROTO-CUNEIFORM NUMBER ONE-N4	Nl;0;L;;;;1;N
7	2193	12586	𒖆	1(N04@f)	1(N04@f)	o0027238	ONE-N4 FLAT	PROTO-CUNEIFORM NUMBER ONE-N4 FLAT	Nl;0;L;;;;1;N
8	2202	12587	𒖇	1(N05)	1(N05)	o0031039	ONE-N5	PROTO-CUNEIFORM NUMBER ONE-N5	Nl;0;L;;;;1;N
9	2207	12588	𒖈	1(N06)	1(N06)	o0031041	ONE-N6	PROTO-CUNEIFORM NUMBER ONE-N6	Nl;0;L;;;;1;N
10	2209	12589	𒖉	1(N07~a)	1(N07~a)	o0031043	ONE-N7-A	PROTO-CUNEIFORM NUMBER ONE-N7-A	Nl;0;L;;;;1;N
11	2210	1258A	𒖊	1(N07~b)	1(N07~b)	o0031045	ONE-N7-B	PROTO-CUNEIFORM NUMBER ONE-N7-B	Nl;0;L;;;;1;N
12	2217	1258B	𒖋	1(N08)	1(N08)	o0027240	ONE-N8	PROTO-CUNEIFORM NUMBER ONE-N8	Nl;0;L;;;;1;N
13	2218	1258C	𒖌	1(N08~b)	1(N08~b)	o0031047	ONE-N8-B	PROTO-CUNEIFORM NUMBER ONE-N8-B	Nl;0;L;;;;1;N
14	2219	1258D	𒖍	1(N08@f)	1(N08@f)	o0027242	ONE-N8 FLAT	PROTO-CUNEIFORM NUMBER ONE-N8 FLAT	Nl;0;L;;;;1;N
15	2236	1258E	𒖎	1(N09)	1(N09)	o0031049	ONE-N9	PROTO-CUNEIFORM NUMBER ONE-N9	Nl;0;L;;;;1;N
16	2237	1258F	𒖏	1(N11)	1(N11)	o0031051	ONE-N11	PROTO-CUNEIFORM NUMBER ONE-N11	Nl;0;L;;;;1;N
17	2238	12590	𒖐	1(N12)	1(N12)	o0031053	ONE-N12	PROTO-CUNEIFORM NUMBER ONE-N12	Nl;0;L;;;;1;N
18	2239	12591	𒖑	1(N14)	1(N14)	o0027244	ONE-N14	PROTO-CUNEIFORM NUMBER ONE-N14	Nl;0;L;;;;1;N
19	2240	12592	𒖒	1(N14@f)	1(N14@f)	o0027246	ONE-N14 FLAT	PROTO-CUNEIFORM NUMBER ONE-N14 FLAT	Nl;0;L;;;;1;N
20	2265	12593	𒖓	1(N15)	1(N15)	o0031055	ONE-N15	PROTO-CUNEIFORM NUMBER ONE-N15	Nl;0;L;;;;1;N
21	2270	12594	𒖔	1(N16)	1(N16)	o0031057	ONE-N16	PROTO-CUNEIFORM NUMBER ONE-N16	Nl;0;L;;;;1;N
22	2271	12595	𒖕	1(N17)	1(N17)	o0031059	ONE-N17	PROTO-CUNEIFORM NUMBER ONE-N17	Nl;0;L;;;;1;N
23	2272	12596	𒖖	1(N18)	1(N18)	o0031061	ONE-N18	PROTO-CUNEIFORM NUMBER ONE-N18	Nl;0;L;;;;1;N
24	2282	12597	𒖗	1(N19)	1(N19)	o0027248	ONE-N19	PROTO-CUNEIFORM NUMBER ONE-N19	Nl;0;L;;;;1;N
25	2283	12598	𒖘	1(N19@f)	1(N19@f)	o0027250	ONE-N19 FLAT	PROTO-CUNEIFORM NUMBER ONE-N19 FLAT	Nl;0;L;;;;1;N
26	2301	12599	𒖙	1(N20)	1(N20)	o0031063	ONE-N20	PROTO-CUNEIFORM NUMBER ONE-N20	Nl;0;L;;;;1;N
27	2315	1259A	𒖚	1(N22)	1(N22)	o0027251	ONE-N22	PROTO-CUNEIFORM NUMBER ONE-N22	Nl;0;L;;;;1;N
28	2316	1259B	𒖛	1(N22@f)	1(N22@f)	o0027253	ONE-N22 FLAT	PROTO-CUNEIFORM NUMBER ONE-N22 FLAT	Nl;0;L;;;;1;N
29	2320	1259C	𒖜	1(N23)	1(N23)	o0031065	ONE-N23	PROTO-CUNEIFORM NUMBER ONE-N23	Nl;0;L;;;;1;N
30	2325	1259D	𒖝	1(N24)	1(N24)	o0027255	ONE-N24	PROTO-CUNEIFORM NUMBER ONE-N24	Nl;0;L;;;;1;N
31	2326	1259E	𒖞	1(N24~a)	1(N24~a)	o0031067	ONE-N24-A	PROTO-CUNEIFORM NUMBER ONE-N24-A	Nl;0;L;;;;1;N
32	2327	1259F	𒖟	1(N24~b)	1(N24~b)	o0031069	ONE-N24-B	PROTO-CUNEIFORM NUMBER ONE-N24-B	Nl;0;L;;;;1;N
33	2328	125A0	𒖠	1(N24@f)	1(N24@f)	o0031071	ONE-N24 FLAT	PROTO-CUNEIFORM NUMBER ONE-N24 FLAT	Nl;0;L;;;;1;N
34	2332	125A1	𒖡	1(N25)	1(N25)	o0031073	ONE-N25	PROTO-CUNEIFORM NUMBER ONE-N25	Nl;0;L;;;;1;N
35	2333	125A2	𒖢	1(N26)	1(N26)	o0031077	ONE-N26	PROTO-CUNEIFORM NUMBER ONE-N26	Nl;0;L;;;;1;N
35.1	2334	125A3	𒖣	1(N26)	1(N26)~v1	o0035479	ONE-N26 VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N26 VARIANT 1	Nl;0;L;;;;1;N
36	2335	125A4	𒖤	1(N26~b)	1(N26~b)	o0031075	ONE-N26-B	PROTO-CUNEIFORM NUMBER ONE-N26-B	Nl;0;L;;;;1;N
37	2337	125A5	𒖥	1(N27)	1(N27)	o0031079	ONE-N27	PROTO-CUNEIFORM NUMBER ONE-N27	Nl;0;L;;;;1;N
37.1	2336	125A6	𒖦	1(N27)	1(N27)~v1	o0035481	ONE-N27 VARIANT 1	PROTO-CUNEIFORM NUMBER ONE-N27 VARIANT 1	Nl;0;L;;;;1;N
38	2338	125A7	𒖧	1(N28)	1(N28)	o0031085	ONE-N28	PROTO-CUNEIFORM NUMBER ONE-N28	Nl;0;L;;;;1;N
39	2339	125A8	𒖨	1(N28~b)	1(N28~b)	o0031081	ONE-N28-B	PROTO-CUNEIFORM NUMBER ONE-N28-B	Nl;0;L;;;;1;N
