78	ignore				𒗑	1(N48@f)	1(N48@f)	ONE-N48 FLAT
79	ignore				𒗒	1(N49)	1(N49)	ONE-N49
80	ignore				𒗓	1(N50)	1(N50)	ONE-N50
81	ignore				𒗔	1(N51)	1(N51)	ONE-N51
82	ignore				𒗕	1(N51@f)	1(N51@f)	ONE-N51 FLAT
83	ignore				𒗖	1(N52)	1(N52)	ONE-N52
84	ignore				𒗗	1(N54)	1(N54)	ONE-N54
85	ignore				𒗘	1(N55)	1(N55)	ONE-N55
86	ignore				𒗙	1(N56)	1(N56)	ONE-N56
87	ignore				𒗚	1(N57)	1(N57)	ONE-N57
88	ignore				𒗛	1(N58)	1(N58)	ONE-N58
89	ignore				𒗜	|1(N58@t)|	1(N58@t)	ONE-N58 TENU
90	ignore				𒗝	1(N60)	1(N60)	ONE-N60
91	ignore				𒗞	1(N63)	1(N63)	ONE-N63
92	ignore				𒗟	2(N01)	2(N01)	TWO-N1
93	ignore				𒗠	2(N01@f)	2(N01@f)	TWO-N1 FLAT
94	ignore				𒗡	2(N02)	2(N02)	TWO-N2
95	ignore				𒗢	2(N03)	2(N03)	TWO-N3
96	ignore				𒗣	2(N04)	2(N04)	TWO-N4
97	ignore				𒗤	2(N04@f)	2(N04@f)	TWO-N4 FLAT
98	ignore				𒗥	2(N05)	2(N05)	TWO-N5
99	ignore				𒗦	2(N07~a)	2(N07~a)	TWO-N7-A
100	ignore				𒗧	2(N07~b)	2(N07~b)	TWO-N7-B
101	ignore				𒗨	2(N08)	2(N08)	TWO-N8
102	ignore				𒗩	2(N08~b)	2(N08~b)	TWO-N8-B
103	ignore				𒗪	2(N14)	2(N14)	TWO-N14
104	ignore				𒗫	2(N14@f)	2(N14@f)	TWO-N14 FLAT
105	ignore				𒗬	2(N15)	2(N15)	TWO-N15
106	ignore				𒗭	2(N18)	2(N18)	TWO-N18
107	ignore				𒗮	2(N19)	2(N19)	TWO-N19
108	ignore				𒗯	2(N19@f)	2(N19@f)	TWO-N19 FLAT
109	ignore				𒗰	2(N20)	2(N20)	TWO-N20
110	ignore				𒗱	2(N21)	2(N21)	TWO-N21
111	ignore				𒗲	2(N22)	2(N22)	TWO-N22
112	ignore				𒗳	2(N22@f)	2(N22@f)	TWO-N22 FLAT
113	ignore				𒗴	2(N23)	2(N23)	TWO-N23
114	ignore				𒗵	2(N24)	2(N24)	TWO-N24
115	ignore				𒗶	2(N29~a)	2(N29~a)	TWO-N29-A
116	ignore				𒗷	2(N29A~b)	2(N29A~b)	TWO-N29A-B
117	ignore				𒗸	2(N34)	2(N34)	TWO-N34
118	ignore				𒗹	2(N34@f)	2(N34@f)	TWO-N34 FLAT
119	ignore				𒗺	2(N35)	2(N35)	TWO-N35
120	ignore				𒗻	2(N36)	2(N36)	TWO-N36
121	ignore				𒗼	2(N37)	2(N37)	TWO-N37
122	ignore				𒗽	2(N39~a)	2(N39~a)	TWO-N39-A
123	ignore				𒗾	2(N39~b)	2(N39~b)	TWO-N39-B
124	ignore				𒗿	2(N40)	2(N40)	TWO-N40
125	ignore				𒘀	2(N41)	2(N41)	TWO-N41
126	ignore				𒘁	2(N42~a)	2(N42~a)	TWO-N42-A
127	ignore				𒘂	2(N42~b)	2(N42~b)	TWO-N42-B
128	ignore				𒘃	2(N45)	2(N45)	TWO-N45
129	ignore				𒘄	2(N45@f)	2(N45@f)	TWO-N45 FLAT
130	ignore				𒘅	2(N46)	2(N46)	TWO-N46
131	ignore				𒘆	2(N46@f)	2(N46@f)	TWO-N46 FLAT
132	ignore				𒘇	2(N47)	2(N47)	TWO-N47
133	ignore				𒘈	2(N48)	2(N48)	TWO-N48
134	ignore				𒘉	2(N49)	2(N49)	TWO-N49
135	ignore				𒘊	2(N50)	2(N50)	TWO-N50
136	ignore				𒘋	2(N51)	2(N51)	TWO-N51
137	ignore				𒘌	2(N51@f)	2(N51@f)	TWO-N51 FLAT
