   1 g	o0901101..	@pcsl/pc25%pc:s/=KID~e--#wn%qpc:#u%:#a1#a1#u0#+m-------	KID~e
   1 g	o0901158..	@pcsl/pc25%pc:s/=KUR~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	KUR~a
   1 g	o0901245..	@pcsl/pc25%pc:c/=|LAGAB~a×ŠITA~a1|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|LAGAB~a×ŠITA~a1|
   1 g	o0901339..	@pcsl/pc25%pc:c/=|MAH~b×NA~a|--#wn%qpc:#u%:#a1#a1#e0#+m-------	|MAH~b×NA~a|
   1 g	o0901376..	@pcsl/pc25%pc:s/MAŠ=MAŠ--#wn%qpc:#u%:#a1#a1#u0#+m-------	MAŠ
   1 g	o0901380..	@pcsl/pc25%pc:s/=ME~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	ME~a
   1 g	o0901407..	@pcsl/pc25%pc:s/=MUN~a1--#wn%qpc:#u%:#a1#a1#u0#.k-------	MUN~a1
   2 g	o0901407..	@pcsl/pc25%pc:s/=MUN~a1--#wn%qpc:#u%:#a1#a1#u0#+k-------	MUN~a1
   1 g	o0901419..	@pcsl/pc25%pc:s/=MUŠ₃~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	MUŠ₃~a
   2 g	o0901426..	@pcsl/pc25%pc:s/MUŠEN=MUŠEN--#wn%qpc:#u%:#a1#a1#u0#+m-------	MUŠEN
   1 g	o0901468..	@pcsl/pc25%pc:s/NAM₂=NAM₂--#wn%qpc:#u%:#a1#a1#u0#+m-------	NAM₂
   1 g	o0901483..	@pcsl/pc25%pc:s/=NE~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	NE~a
   2 g	o0901501..	@pcsl/pc25%pc:s/=NI~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	NI~a
   1 g	o0901524..	@pcsl/pc25%pc:s/NIN=NIN--#wn%qpc:#u%:#a1#a1#u0#+m-------	NIN
   1 g	o0901584..	@pcsl/pc25%pc:s/NU=NU--#wn%qpc:#u%:#a1#a1#u0#+m-------	NU
   1 g	o0901588..	@pcsl/pc25%pc:s/=NU₁₁@t--#wn%qpc:#u%:#a1#a1#u0#+m-------	NU₁₁@t
   1 g	o0901592..	@pcsl/pc25%pc:s/=NUN~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	NUN~a
   1 g	o0901618..	@pcsl/pc25%pc:s/=NUNUZ~c--#wn%qpc:#u%:#a1#a1#u0#+m-------	NUNUZ~c
   2 g	o0901625..	@pcsl/pc25%pc:s/=PA~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	PA~a
   1 g	o0901639..	@pcsl/pc25%pc:s/=PAP~a--#wn%qpc:#u%:#a1#a1#u0#.k?------	PAP~a
   1 g	o0901639..	@pcsl/pc25%pc:s/=PAP~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	PAP~a
   6 g	o0901639..	@pcsl/pc25%pc:s/=PAP~a--#wn%qpc:#u%:#a1#a1#u0#+m-------	PAP~a
   2 g	o0901677..	@pcsl/pc25%pc:s/SAG=SAG--#wn%qpc:#u%:#a1#a1#u0#+m-------	SAG
