o0903248	|3(N57).PIRIG|
o0903254	|3(N57).UDU|
o0903256	|3(N57).UDUNITA|
o0903261	|4(N57).KU₃|
o0903267	|5(N57).KU₃|
o0903272	|6(N57).KU₃|
o0903573	|DU₆~a×DIŠ|
o0903562	1(N30C~a)
o0903662	1(N30C~a)
o0903564	|2(N57).DU₆~a@n|
o0901203	|LAGAB~b×(HI×N04)|
o0902057	|ŠU₂×1(N24)|
o0902199	|U₄×(1(N14).3(N01)).(1(N14).4(N08))|
o0903294	1(N58)@t
