EANM001	o0902841	PC25	2(LAGAB~a)	N	-	󰃰	-
EANM002	o0902843	PC25	3(LAGAB~a)	N	-	󰃱	-
EANM003	o0902845	PC25	4(LAGAB~a)	N	-	󰃲	-
EANM004	o0903778	PC25	5(LAGAB~a)	N	-	󳄀	-
EANM005	o0902847	PC25	6(LAGAB~a)	N	-	󰃳	-
EANM006	o0902858	ACN	1(N01)	N	-	𒕐	-
EANM007	o0902859	ACN	2(N01)	N	-	𒕑,󰁟	-
EANM008	o0902860	ACN	3(N01)	N	-	𒕒,󰁠	-
EANM009	o0902861	ACN	4(N01)	N	-	𒕓	-
EANM010	o0902862	ACN	5(N01)	N	-	𒕔,󰁡	-
EANM011	o0902863	ACN	6(N01)	N	-	𒕕,󰁢	-
EANM012	o0902864	ACN	7(N01)	N	-	𒕖,󰁣	-
EANM013	o0902865	ACN	8(N01)	N	-	𒕗,󰁤	-
EANM014	o0902866	ACN	9(N01)	N	-	𒕘,󰁥	-
EANM015	o0902868	OOR	10(N01)	N	-	󰃚	-
EANM016	o0902848	ACN	1(N01@f)	N	-	𒙌	-
EANM017	o0902849	ACN	2(N01@f)	N	-	𒙍,󰁦	-
EANM018	o0902850	ACN	3(N01@f)	N	-	𒙎,󰁧	-
EANM019	o0902851	ACN	4(N01@f)	N	-	𒙏	-
EANM020	o0902852	ACN	5(N01@f)	N	-	𒙐,󰁨	-
EANM021	o0902853	ACN	6(N01@f)	N	-	𒙑,󰁩	-
EANM022	o0902854	ACN	7(N01@f)	N	-	𒙒,󰁪	-
EANM023	o0902855	ACN	8(N01@f)	N	-	𒙓,󰁫	-
EANM024	o0902856	ACN	9(N01@f)	N	-	𒙔,󰁬	-
EANM025	o0902857	ACN	1(N01@r)	N	-	𒖉	-
EANM026	o0902869	ACN	1(N02)	N	-	𒖾	-
EANM027	o0902871	ACN	2(N02)	N	-	𒖿,󰁭	-
EANM028	o0902872	ACN	3(N02)	N	-	𒗀,󰁮	-
EANM029	o0902873	ACN	4(N02)	N	-	𒗁	-
EANM030	o0902874	ACN	5(N02)	N	-	𒗂,󰁯	-
EANM031	o0902875	ACN	6(N02)	N	-	𒗃,󰁰	-
EANM032	o0902876	ACN	7(N02)	N	-	𒗄,󰁱	-
EANM033	o0902877	ACN	8(N02)	N	-	𒗅,󰁲	-
EANM034	o0902878	ACN	9(N02)	N	-	𒗆,󰁳	-
