o0902912	ACN©	2(N08)	2(N08)	-	N		𒕚	EANM071	
o0902914	ACN©	3(N08)	3(N08)	-	N		𒕛	EANM072	
o0902916	ACN©	4(N08)	4(N08)	-	N	𒕜	𒕜,󰁿	EANM073	
o0902919	ACN©	5(N08)	5(N08)	-	N		𒕝	EANM074	
o0902920	ACN©	6(N08)	6(N08)	-	N		𒕞	EANM075	
o0902921	ACN©	7(N08)	7(N08)	-	N		𒕟	EANM076	
o0902922	ACN©	8(N08)	8(N08)	-	N		𒕠	EANM077	
o0902923	ACN©	9(N08)	9(N08)	-	N		𒕡	EANM078	
o0902910	ADD	1(N08~b)	1(N08~b)	-	N		󰃵	EANM079	
o0902913	ADD©	2(N08~b)	2(N08~b)	-	N		󰃶	EANM080	
o0902915	ADD	3(N08~b)	3(N08~b)	-	N		󰃷	EANM081	
o0902917	ADD	4(N08~b)	4(N08~b)	-	N		󰃸	EANM082	
o0902918	ADD	4(N08~c)	4(N08~c)	-	N		󰃹	EANM083	
o0902911	ADD	1(N08~v)	1(N08~v)	-	N		󰃺	EANM084	
o0902924	ACN	1(N08@f)	1(N08@f)	-	N		𒙕	EANM085	
o0902926	ACN©	1(N09)	1(N09)	-	N		𒙃	EANM086	
o0902927	ACN©	1(N11)	1(N11)	-	N		𒙄	EANM087	
o0902928	ACN©	1(N12)	1(N12)	-	N		𒙅	EANM088	
o0902929	ACN©	1(N14)	1(N14)	-	N		𒕢	EANM089	
o0902930	ACN©	2(N14)	2(N14)	-	N		𒕣	EANM090	
o0902932	ACN©	3(N14)	3(N14)	-	N		𒕤	EANM091	
o0902933	ACN©	4(N14)	4(N14)	-	N		𒕥	EANM092	
o0902934	ACN©	5(N14)	5(N14)	-	N	𒕦	𒕦,󰂀	EANM093	
o0902936	ACN©	6(N14)	6(N14)	-	N	𒕧	𒕧,󰂁	EANM094	
o0902938	ACN©	7(N14)	7(N14)	-	N	𒕨	𒕨,󰂂	EANM095	
o0902939	ACN©	8(N14)	8(N14)	-	N	𒕩	𒕩,󰂃	EANM096	
o0902940	ACN©	9(N14)	9(N14)	-	N	𒕪	𒕪,󰂄	EANM097	
o0902941	OOR	10(N14)	10(N14)	-	N		󰃛	EANM098	
o0902942	OOR	11(N14)	11(N14)	-	N		󰃜	EANM099	
o0902943	OOR	12(N14)	12(N14)	-	N		󰃝	EANM100	
o0902944	OOR	22(N14)	22(N14)	-	N		󰃞	EANM101	
o0902945	ACN	1(N14@f)	1(N14@f)	-	N		𒙖	EANM102	
o0902946	ACN	2(N14@f)	2(N14@f)	-	N		𒙗	EANM103	
o0902947	ACN	3(N14@f)	3(N14@f)	-	N		𒙘	EANM104	
o0902948	ACN	4(N14@f)	4(N14@f)	-	N		𒙙	EANM105	
o0902949	ACN	5(N14@f)	5(N14@f)	-	N	𒙚	𒙚,󰂅	EANM106	
o0902950	ACN	6(N14@f)	6(N14@f)	-	N	𒙛	𒙛,󰂆	EANM107	
o0902951	ACN	7(N14@f)	7(N14@f)	-	N	𒙜	𒙜,󰂇	EANM108	
o0902952	ACN	8(N14@f)	8(N14@f)	-	N	𒙝	𒙝,󰂈	EANM109	
o0902953	ACN	9(N14@f)	9(N14@f)	-	N	𒙞	𒙞,󰂉	EANM110	
o0902954	OOR	10(N14@f)	10(N14@f)	-	N		󰃟	EANM111	
o0902955	ACN©	1(N15)	1(N15)	-	N		𒗇	EANM112	
o0902956	ACN©	2(N15)	2(N15)	-	N		𒗈	EANM113	
o0902957	ACN©	3(N15)	3(N15)	-	N		𒗉	EANM114	
o0902958	ACN	4(N15)	4(N15)	-	N		𒗊	EANM115	
o0902959	ACN©	5(N15)	5(N15)	-	N	𒗋	𒗋,󰂊	EANM116	
o0902960	ACN©	1(N16)	1(N16)	-	N		󰃻	EANM117	
o0902961	ACN©	1(N17)	1(N17)	-	N		󰃼	EANM118	
o0902962	ACN©	1(N18)	1(N18)	-	N		𒗴	EANM119	
o0902963	ACN©	2(N18)	2(N18)	-	N		𒗵	EANM120	
o0902964	ACN©	3(N18)	3(N18)	-	N		𒗶	EANM121	
o0902965	ACN©	4(N18)	4(N18)	-	N		𒗷	EANM122	
o0902966	ACN©	5(N18)	5(N18)	-	N	𒗸	𒗸,󰂋	EANM123	
o0902967	ACN©	6(N18)	6(N18)	-	N	𒗹	𒗹,󰂌	EANM124	
o0902968	ACN©	7(N18)	7(N18)	-	N	𒗺	𒗺,󰂍	EANM125	
o0902969	ACN©	8(N18)	8(N18)	-	N	𒗻	𒗻,󰂎	EANM126	
o0902970	ACN©	9(N18)	9(N18)	-	N	𒗼	𒗼,󰂏	EANM127	
o0902972	ACN©	1(N19)	1(N19)	-	N		𒘋	EANM128	
o0902973	ACN©	2(N19)	2(N19)	-	N		𒘌	EANM129	
o0902974	ACN©	3(N19)	3(N19)	-	N		𒘍	EANM130	
o0902975	ACN©	4(N19)	4(N19)	-	N		𒘎	EANM131	
