𒕠	o0902922	12560	8(N08)
𒘠	o0903170	12620	2(N49)
󰃅	o0903537	F00C5	2(N49)~1
𒫥	o0901775	12AE5	SILA₃~a
󰃸	o0902917	F00F8	4(N08~b)
𒤣	o0901055	12923	|KAK~a.GA₂~a1|
𒤤	o0901053	12924	|KAK~a.GA₂~a1|~1
𒫯	o0901802	12AEF	|SILA₃~a×HI|
󳁶	o0901520	F3076	NIM~d
𒡸	o0900806	12878	GI
𒢄	o0900807	12884	GI~1
𒞀	o0900359	12780	|DUG~b×GA~b|
󰄠	o0903291	F0120	9(N58)
𒟀	o0900399	127C0	|DUG~c×1(N57)|
𒞾	o0900398	127BE	|DUG~c×1(N57)|~1
𒞽	o0900397	127BD	|DUG~c×1(N57)|~2
󳁕	o0900429	F3055	|DUG~b×SUKUD~d|
𒙛	o0902950	1265B	6(N14@f)
󰂆	o0903474	F0086	6(N14@f)~1
𒩸	o0901608	12A78	|NUN~a+EN~d|
𒷄	o0902784	12DC4	ZATU817
󲠀	o0900791	F2800	GEŠTIN~c
𒛨	o0900128	126E8	BAHAR₂~c
𒠂	o0900556	12802	|EZEN~a×EN~a|
𒙬	o0903179	1266C	1(N51@f)
󳀳	o0900322	F3033	DUB~h
𒰨	o0902244	12C28	UDU~b
𒟹	o0900573	127F9	|EZEN~a×NIM~b2|
𒠽	o0900711	1283D	|GA₂~a2×X|
𒷳	o0903211	12DF3	|1(N57).AB₂|
󲱇	o0900002	F2C47	|A×AN|
𒢚	o0900855	1289A	GIR₂~a
𒘼	o0902997	1263C	7(N20)
󰂝	o0903497	F009D	7(N20)~1
𒞓	o0900420	12793	|DUG~b×(SI₄~a.X)|
𒗋	o0902959	125CB	5(N15)
󰂊	o0903478	F008A	5(N15)~1
󰄍	o0903131	F010D	1(N43)
𒧓	o0901326	129D3	MAH~b
𒚷	o0900063	126B7	AK~b
𒘘	o0903084	12618	3(N36)
󰂴	o0903520	F00B4	3(N36)~1
𒘏	o0902976	1260F	5(N19)
󰂐	o0903484	F0090	5(N19)~1
𒧩	o0901388	129E9	MES
𒧨	o0901387	129E8	MES~1
𒫦	o0901781	12AE6	|SILA₃~a×A|
