199	DUG~b+GEŠTU~b	|DUG~b×GEŠTU~b|	o0900363	𒞂
199	DUG~b+GI₆	|DUG~b×GI₆|	o0900365	𒞃
199	DUG~b+GIŠ	|DUG~b×GIŠ|	o0900367	𒞄
200	DUG~b+HI	|DUG~b×HI|	o0900370	𒞅
200	DUG~b+KASKAL	|DUG~b×KASKAL|	o0900376	𒞆
200	DUG~b+KU₆~a	|DUG~b×KU₆~a|	o0900379	𒞇
200	DUG~b+KUR~a	|DUG~b×KUR~a|	o0900381	𒞈
200	DUG~b+KUR~b	|DUG~b×KUR~b|	o0900382	𒞊
200	DUG~b+KUR~a+?	|DUG~b×(KUR~a.X)|	o0900384	𒞉
200	DUG~b+LAM+KUR~a	|DUG~b×KUR@g~a|	o0900386	𒞋
200	DUG~b+LAM~a	|DUG~b×LAM~a|	o0900389	𒞌
201	DUG~b+MAŠ	|DUG~b×MAŠ|	o0900391	𒞍
198	DUG+AŠ~a	|DUG~a×1(N57)|	o0900394	𒝳
198	DUG+AŠ~b	|DUG~b×1(N57)|	o0900395	𒞪
198	DUG+AŠ~c	|DUG~c~v2×1(N57)|	o0900398	𒞾
198	DUG~b+1(N57)+KU₃~a	|DUG~b×(1(N57).KU₃~a)|	o0900401	𒞫
201	DUG~b+NAGA~a	|DUG~b×NAGA~a|	o0900408	𒞎
201	DUG~b+NAM₂	|DUG~b×NAM₂|	o0900410	𒞏
201	DUG~b+SA~a	|DUG~b×SA~a|	o0900414	𒞑
201	DUG~b+SA~a+GI	|DUG~b×(SA~a.GI)|	o0900416	𒞑
201	DUG~b+SI₄~a	|DUG~b×SI₄~a|	o0900418	𒞒
201	DUG~b+SI₄~a+?	|DUG~b×(SI₄~a.X)|	o0900420	𒞓
201	DUG~b+SIG₂~a1	|DUG~b×SIG₂~a1|	o0900422	𒞔
202	DUG~b+SIG₂~a2	|DUG~b×SIG₂~a2|	o0900423	𒞕
202	DUG~b+SIG₇	|DUG~b×SIG₇|	o0900425	𒞖
202	DUG~b+SUHUR	|DUG~b×SUHUR|	o0900427	𒞗
202	DUG~b+ŠAH₂~a	|DUG~b×ŠAH₂~a|	o0900431	𒞘
202	DUG~b+ŠE~a	|DUG~b×ŠE~a|	o0900433	𒞙
202	DUG~b+ŠE~a+NAM₂	|DUG~b×(ŠE~a.NAM₂)|	o0900437	𒞚
203	DUG~b+TAK₄~a	|DUG~b×TAK₄~a|	o0900439	𒞛
203	DUG~b+TAK₄~a+SA~a	|DUG~b×(TAK₄~a.SA~a)|	o0900441	𒞜
203	DUG~b+TAK₄~a+SAL	|DUG~b×(TAK₄~a.SAL)|	o0900443	𒞝
203	DUG~b+TI~a	|DUG~b×TI|	o0900445	𒞞
203	DUG~b+U₂~a	|DUG~b×U₂~a|	o0900449	𒞟
203	DUG~b+U₂~b	|DUG~b×U₂~b|	o0900450	𒞠
203	DUG~b+UH₃~a	|DUG~b×UH₃~a|	o0900456	𒞡
203	DUG~b+UH₃~a@t	|DUG~b×UH₃~a@t|	o0900458	𒞢
204	DUG~b+?	|DUG~b×X|	o0900461	𒞣
203	DUG~b+ZATU764	|DUG~b×ZATU764|	o0900466	𒞥
203	DUG~b+ZATU779	|DUG~b×ZATU779|	o0900468	𒞦
204	DUG~b+ZATU780	|DUG~b×ZATU780|	o0900470	𒞧
204	DUG~b+ZATU781	|DUG~b×ZATU781|	o0900472	𒞨
204	DUG~b+ZATU789+SA~a	|DUG~b×(ZATU789.SA~a)|	o0900474	𒞩
206	DUR₂	DUR₂	o0900485	𒟅
206	E₂~a	E₂~a	o0900493	𒟊
207	E₂~b	E₂~b	o0900494	𒟎
207	E₂~b+AŠ~c	|E₂~b×1(N58@t)|	o0900504	𒟐
207	EDIN	EDIN	o0900511	𒟕
208	EN~a	EN~a	o0900513	𒟖
210	EN~b	EN~b	o0900517	𒟚
210	ENDIB	ENDIB	o0900533	𒟦
210	ENGIZ	ENGIZ	o0900534	𒟧
210	ENKUM	ENKUM~v1	o0900536	𒟩
210	ENLIL	ENLIL	o0900537	𒟪
210	ERIM~a	ERIM~a	o0900541	𒟫
210	ERIM~b	ERIM~b2	o0900543	𒟭
210	ERIM₂	ERIM₂	o0900544	𒟮
211	ERIN	ERIN	o0900545	𒟯
211	EŠDA	EŠDA	o0900546	𒟰
211	EZEN~a	EZEN~a	o0900550	𒟳
212	EZEN~b	EZEN~b	o0900552	𒠃
211	EZEN~a+SU~a	|EZEN~a×SU~a|	o0900581	𒟽
212	EZINU~a	EZINU~a	o0900594	𒠆
212	EZINU~d	EZINU~d	o0900597	𒠉
212	GA~a	GA~a	o0900599	𒠊
213	GA~b	GA~b	o0900604	𒠑
213	GA~c	GA~c	o0900605	𒠒
213	GA~c+1(N14)	|GA~c×1(N14)|	o0900612	𒠔
213	GA₂~a1	GA₂~a1	o0900616	𒠕
215	GA₂~a3	GA₂~a3	o0900618	𒠾
215	GA₂~b	GA₂~b	o0900620	𒡁
213	GA₂~a1+A	|GA₂~a1×A|	o0900623	𒠖
215	GA₂~b+DUB~a	|GA₂~b×DUB~a|	o0900625	𒡂
214	GA₂~a1+GIŠ@t	|GA₂~a1×GIŠ@t|	o0900641	𒠜
214	GA₂~a1+HAL	|GA₂~a1×HAL|	o0900648	𒠝
214	GA₂~a1+HI	|GA₂~a1×HI|	o0900650	𒠞
214	GA₂~a1+KU₃~a	|GA₂~a1×KU₃~a|	o0900654	𒠠
214	GA₂~a1+KU₆~a	|GA₂~a1×KU₆~a|	o0900657	𒠡
214	GA₂~a1+MAŠ	|GA₂~a1×MAŠ|	o0900664	𒠤
214	GA₂~a1+PAP~a	|GA₂~a1×PAP~a|	o0900687	𒠨
214	GA₂~a1+SUHUR	|GA₂~a1×SUHUR|	o0900691	𒠪
214	GA₂~a1+TI~a	|GA₂~a1×TI|	o0900705	𒠰
214	GA₂~a1+U₄	|GA₂~a1×U₄|	o0900707	𒠱
214	GA₂~a1+?	|GA₂~a1×X|	o0900709	𒠲
215	GAʾAR~a1	GAʾAR~a1	o0900719	𒡇
215	GAʾAR~b1	GAʾAR~b1	o0900721	𒡉
216	GADA~a	GADA~a	o0900724	𒡋
216	GAL~a	GAL~a	o0900729	𒡎
223	GAL~b	GAL~b	o0900730	𒡏
223	GALGA~a	GALGA~a	o0900732	𒡐
224	GAN~a	GAN~a	o0900736	𒡒
224	GAN~b	GAN~b	o0900738	𒡔
224	GAN~c	GAN~c	o0900742	𒡘
224	GAN₂	GAN₂	o0900778	𒡧
225	GAR	GAR	o0900779	𒡨
225	GAR@g~b	GAR@g~b	o0900782	𒡪
225	GAR@g~c	GAR@g~c	o0900783	𒡫
225	GARA₂~a	GARA₂~a	o0900786	𒡭
226	GAZI	GAZI	o0900788	𒡯
226	GEŠTIN~a	GEŠTIN~a	o0900790	𒡰
226	GEŠTU~a	GEŠTU~a	o0900797	𒡱
226	GEŠTU~b	GEŠTU~b	o0900800	𒡴
226	GI	GI~v1	o0900807	𒢄
228	GI+ŠE₃	|GI×ŠE₃~v1|	o0900820	𒡼
227	GI+GI	|GI&GI|	o0900822	𒡿
228	GI₄~a	GI₄~a	o0900829	𒢉
228	GI₆	GI₆~v1	o0900837	𒢏
