serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
79	𒗒	1(N49)	ONE-N49	ignore		1(N49)			2480	
80	𒗓	1(N50)	ONE-N50	ignore		1(N50)			2485	
81	𒗔	1(N51)	ONE-N51	ignore		1(N51)			2490	
82	𒗕	1(N51@f)	ONE-N51 FLAT	ignore		1(N51@f)			2491	
83	𒗖	1(N52)	ONE-N52	ignore		1(N52)			2507	
84	𒗗	1(N54)	ONE-N54	ignore		1(N54)			2513	
85	𒗘	1(N55)	ONE-N55	ignore		1(N55)			2518	
86	𒗙	1(N56)	ONE-N56	ignore		1(N56)			2519	
87	𒗚	1(N57)	ONE-N57	ignore		1(N57)			2521	
88	𒗛	1(N58)	ONE-N58	ignore		1(N58)			2596	
89	𒗜	|1(N58@t)|	ONE-N58 TENU	ignore		1(N58@t)			2603	
90	𒗝	1(N60)	ONE-N60	ignore		1(N60)			2620	
91	𒗞	1(N63)	ONE-N63	ignore		1(N63)			2623	
92	𒗟	2(N01)	TWO-N1	ignore		2(N01)			2158	
93	𒗠	2(N01@f)	TWO-N1 FLAT	ignore		2(N01@f)			2159	
94	𒗡	2(N02)	TWO-N2	ignore		2(N02)			2179	
95	𒗢	2(N03)	TWO-N3	ignore		2(N03)			2188	
96	𒗣	2(N04)	TWO-N4	ignore		2(N04)			2195	
97	𒗤	2(N04@f)	TWO-N4 FLAT	ignore		2(N04@f)			2196	
98	𒗥	2(N05)	TWO-N5	ignore		2(N05)			2204	
99	𒗦	2(N07~a)	TWO-N7-A	ignore		2(N07~a)			2213	
100	𒗧	2(N07~b)	TWO-N7-B	ignore		2(N07~b)			2214	
101	𒗨	2(N08)	TWO-N8	ignore		2(N08)			2223	
102	𒗩	2(N08~b)	TWO-N8-B	ignore		2(N08~b)			2224	
103	𒗪	2(N14)	TWO-N14	ignore		2(N14)			2242	
104	𒗫	2(N14@f)	TWO-N14 FLAT	ignore		2(N14@f)			2243	
105	𒗬	2(N15)	TWO-N15	ignore		2(N15)			2267	
106	𒗭	2(N18)	TWO-N18	ignore		2(N18)			2274	
107	𒗮	2(N19)	TWO-N19	ignore		2(N19)			2285	
108	𒗯	2(N19@f)	TWO-N19 FLAT	ignore		2(N19@f)			2286	
109	𒗰	2(N20)	TWO-N20	ignore		2(N20)			2303	
110	𒗱	2(N21)	TWO-N21	ignore		2(N21)			2311	
111	𒗲	2(N22)	TWO-N22	ignore		2(N22)			2319	
112	𒗳	2(N22@f)	TWO-N22 FLAT	ignore		2(N22@f)			2320	
113	𒗴	2(N23)	TWO-N23	ignore		2(N23)			2322	
114	𒗵	2(N24)	TWO-N24	ignore		2(N24)			2330	
115	𒗶	2(N29~a)	TWO-N29-A	ignore		2(N29~a)			2348	
116	𒗷	2(N29A~b)	TWO-N29A-B	ignore		2(N29A~b)			2354	
117	𒗸	2(N34)	TWO-N34	ignore		2(N34)			2374	
118	𒗹	2(N34@f)	TWO-N34 FLAT	ignore		2(N34@f)			2375	
119	𒗺	2(N35)	TWO-N35	ignore		2(N35)			2391	
120	𒗻	2(N36)	TWO-N36	ignore		2(N36)			2395	
121	𒗼	2(N37)	TWO-N37	ignore		2(N37)			2404	
122	𒗽	2(N39~a)	TWO-N39-A	ignore		2(N39~a)			2411	
123	𒗾	2(N39~b)	TWO-N39-B	ignore		2(N39~b)			2412	
124	𒗿	2(N40)	TWO-N40	ignore		2(N40)			2423	
125	𒘀	2(N41)	TWO-N41	ignore		2(N41)			2427	
126	𒘁	2(N42~a)	TWO-N42-A	ignore		2(N42~a)			2434	
127	𒘂	2(N42~b)	TWO-N42-B	ignore		2(N42~b)			2435	
128	𒘃	2(N45)	TWO-N45	ignore		2(N45)			2449	
129	𒘄	2(N45@f)	TWO-N45 FLAT	ignore		2(N45@f)			2450	
130	𒘅	2(N46)	TWO-N46	ignore		2(N46)			2466	
131	𒘆	2(N46@f)	TWO-N46 FLAT	ignore		2(N46@f)			2467	
132	𒘇	2(N47)	TWO-N47	ignore		2(N47)			2470	
133	𒘈	2(N48)	TWO-N48	ignore		2(N48)			2474	
134	𒘉	2(N49)	TWO-N49	ignore		2(N49)			2481	
135	𒘊	2(N50)	TWO-N50	ignore		2(N50)			2486	
136	𒘋	2(N51)	TWO-N51	ignore		2(N51)			2492	
137	𒘌	2(N51@f)	TWO-N51 FLAT	ignore		2(N51@f)			2493	
138	𒘍	2(N52)	TWO-N52	ignore		2(N52)			2508	
139	𒘎	2(N54)	TWO-N54	ignore		2(N54)			2514	
140	𒘏	2(N56)	TWO-N56	ignore		2(N56)			2520	
141	𒘐	2(N57)	TWO-N57	ignore		2(N57)			2535	
142	𒘑	2(N58)	TWO-N58	ignore		2(N58)			2604	
143	𒘒	2(N59)	TWO-N59	ignore		2(N59)			2615	
