id_text	designation	provenience	museum_no	excavation_no	accession_no	primary_publication	publication_history	genre	subgenre	period
P000904	ATU 5, pl. 021, W 6883,i	Uruk (mod. Warka)	VAT 17822	W 06883,i		ATU 5, pl. 021, W 6883,i		Administrative		Uruk V
P000905	ATU 5, pl. 021, W 6883,l	Uruk (mod. Warka)	VAT 15332	W 06883,l		ATU 5, pl. 021, W 6883,l		Administrative		Uruk V
P000906	ATU 5, pl. 021, W 6883,m	Uruk (mod. Warka)	VA 13630	W 06883,m		ATU 5, pl. 021, W 6883,m		Administrative		Uruk V
P000913	ATU 5, pl. 022, W 6883,t2	Uruk (mod. Warka)	VA 13630	W 06883,t2		ATU 5, pl. 022, W 6883,t2		Administrative		Uruk V
P000918	ATU 5, pl. 022, W 6883,?	Uruk (mod. Warka)	VA 13630	W 06883,?		ATU 5, pl. 022, W 6883,?		Administrative		Uruk V
P000929	ATU 5, pl. 024, W 7038	Uruk (mod. Warka)	VAT 15261	W 07038		ATU 5, pl. 024, W 7038		Administrative		Uruk V
P000930	ATU 5, pl. 024, W 7067,a	Uruk (mod. Warka)	VA 13625	W 07067,a		ATU 5, pl. 024, W 7067,a		Administrative		Uruk V
P000932	ATU 5, pl. 024, W 7067,c	Uruk (mod. Warka)	VA 13625	W 07067,c		ATU 5, pl. 024, W 7067,c		Administrative		Uruk V
P000935	ATU 5, pl. 024, W 7067,f	Uruk (mod. Warka)	VA 13625	W 07067,f		ATU 5, pl. 024, W 7067,f		Administrative		Uruk V
P000940	ATU 5, pl. 025, W 7092,b	Uruk (mod. Warka)	VA 13631	W 07092,b		ATU 5, pl. 025, W 7092,b		Administrative		Uruk V
P000941	ATU 5, pl. 025, W 7092,c	Uruk (mod. Warka)	VA 13631	W 07092,c		ATU 5, pl. 025, W 7092,c		Administrative		Uruk V
P000942	ATU 5, pl. 025, W 7092,d	Uruk (mod. Warka)	VAT 17854	W 07092,d		ATU 5, pl. 025, W 7092,d		Administrative		Uruk V
P000944	ATU 5, pl. 025, W 7092,f	Uruk (mod. Warka)	VAT 15358	W 07092,f		ATU 5, pl. 025, W 7092,f		Administrative		Uruk V
P000949	ATU 5, pl. 025, W 7092,l1	Uruk (mod. Warka)	VAT 17849	W 07092,l1		ATU 5, pl. 025, W 7092,l1		Administrative		Uruk V
P000952	ATU 5, pl. 025, W 7092,o	Uruk (mod. Warka)	VAT 17841	W 07092,o		ATU 5, pl. 025, W 7092,o		Administrative		Uruk V
P000954	ATU 5, pl. 026, W 7204,a+	Uruk (mod. Warka)	VA 13632	W 07204,a + W 07204,c		ATU 5, pl. 026, W 7204,a+		Administrative		Uruk V
P000957	ATU 5, pl. 026, W 7204,d	Uruk (mod. Warka)	VAT 15359	W 07204,d		ATU 5, pl. 026, W 7204,d		Administrative		Uruk V
P000970	ATU 5, pl. 028, W 7272,a	Uruk (mod. Warka)	VAT 17812	W 07272,a		ATU 5, pl. 028, W 7272,a		Administrative		Uruk V
P000971	ATU 5, pl. 028, W 7272,b	Uruk (mod. Warka)	VAT 17825	W 07272,b		ATU 5, pl. 028, W 7272,b		Administrative		Uruk V
P000972	ATU 5, pl. 029, W 7272,c	Uruk (mod. Warka)	VAT 17826	W 07272,c		ATU 5, pl. 029, W 7272,c		Administrative		Uruk V
P000973	ATU 5, pl. 029, W 7272,d	Uruk (mod. Warka)	VAT 17810	W 07272,d		ATU 5, pl. 029, W 7272,d		Administrative		Uruk V
P000974	ATU 5, pl. 029, W 7272,e	Uruk (mod. Warka)	VAT 17836	W 07272,e		ATU 5, pl. 029, W 7272,e		Administrative		Uruk V
P000975	ATU 5, pl. 029, W 7272,f	Uruk (mod. Warka)	VAT 17853	W 07272,f		ATU 5, pl. 029, W 7272,f		Administrative		Uruk V
P000976	ATU 5, pl. 029, W 7272,g	Uruk (mod. Warka)	VAT 17848	W 07272,g		ATU 5, pl. 029, W 7272,g		Administrative		Uruk V
P000987	ATU 5, pl. 031, W 7357	Uruk (mod. Warka)	VAT 17813	W 07357		ATU 5, pl. 031, W 7357		Administrative		Uruk V
P000992	ATU 5, pl. 031, W 7882	Uruk (mod. Warka)	VAT 17846	W 07882		ATU 5, pl. 031, W 7882		Administrative		Uruk V
P001013	ATU 5, pl. 034, W 9071,k	Uruk (mod. Warka)	VAT 17820	W 09071,k		ATU 5, pl. 034, W 9071,k		Administrative		Uruk V
P001014	ATU 5, pl. 034, W 9071,l	Uruk (mod. Warka)	VAT 21369	W 09071,l		ATU 5, pl. 034, W 9071,l		Administrative		Uruk V
P001016	ATU 5, pl. 034, W 9071,n	Uruk (mod. Warka)	VAT 21372	W 09071,n		ATU 5, pl. 034, W 9071,n		Administrative		Uruk V
P001225	ATU 5, pl. 055, W 9335,w	Uruk (mod. Warka)	VAT 15355	W 09335,w		ATU 5, pl. 055, W 9335,w		Administrative		Uruk V
P001311	ATU 5, pl. 070, W 9579,bo	Uruk (mod. Warka)	VAT 15278	W 09579,bo		ATU 5, pl. 070, W 9579,bo		Administrative		Uruk V
P001545	ATU 5, pl. 101, W 9656,ea+	Uruk (mod. Warka)	VA 13621	W 09656,ea + W 09656,h? + ?		ATU 5, pl. 101, W 9656,ea+	UVB 4 (p)	Administrative		Uruk V
