id_text	primary_publication	publication_history
P000895	ATU 5, pl. 020, W 6882,x3	
P000896	ATU 5, pl. 020, W 6882,x4	
P000897	ATU 5, pl. 020, W 6882,x5	
P000898	ATU 5, pl. 020, W 6882,x6	
P000900	ATU 5, pl. 020, W 6883,b	
P000903	ATU 5, pl. 021, W 6883,h	
P000907	ATU 5, pl. 021, W 6883,n	
P000908	ATU 5, pl. 021, W 6883,o1	
P000909	ATU 5, pl. 021, W 6883,o2	
P000910	ATU 5, pl. 021, W 6883,r	
P000911	ATU 5, pl. 022, W 6883,s	
P000912	ATU 5, pl. 022, W 6883,t1	
P000914	ATU 5, pl. 022, W 6883,v	
P000915	ATU 5, pl. 022, W 6883,y	
P000916	ATU 5, pl. 022, W 6883,aa	
P000917	ATU 5, pl. 022, W 6883,ab	
P000919	ATU 5, pl. 022, W 6884	
P000920	ATU 5, pl. 022, W 6940,a	ATU 1, 549
P000921	ATU 5, pl. 022, W 6940,b	ATU 1, 377
P000922	ATU 5, pl. 023, W 6940,c	
P000923	unpublished unassigned ?	
P000924	ATU 5, pl. 023, W 6966,b	ATU 1, 361
P000925	ATU 5, pl. 023, W 6984,a	ATU 1, 292B
P000926	ATU 5, pl. 023, W 6984,b	ATU 1, 279
P000927	ATU 5, pl. 023, W 7000	ATU 1, 1; K. Szarzynska, JCS 46 (1994) 1-10, tag no. 1; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 60 fig. 18
P000928	ATU 5, pl. 023, W 7024	ATU 1, 324
P000931	ATU 5, pl. 024, W 7067,b	
P000933	ATU 5, pl. 024, W 7067,d	
P000934	ATU 5, pl. 024, W 7067,e	
P000936	ATU 5, pl. 024, W 7067,h	
P000937	ATU 5, pl. 024, W 7067,i	
P000938	ATU 5, pl. 024, W 7068,a	ATU 1, 255; UVB 2, 1931, fig. 39 (p)
P000939	ATU 5, pl. 024, W 7068,b	ATU 1, 420
P000943	ATU 5, pl. 025, W 7092,e	
P000945	ATU 5, pl. 025, W 7092,g	
P000946	unpublished unassigned ?	
P000947	ATU 5, pl. 025, W 7092,i	
P000948	unpublished unassigned ?	
P000950	ATU 5, pl. 026, W 7092,l2	
P000951	unpublished unassigned ?	
P000953	ATU 5, pl. 026, W 7092,p	
P000955	unpublished unassigned ?	
P000958	ATU 5, pl. 026, W 7227,a	ATU 1, 339;
P000959	ATU 5, pl. 026, W 7227,b	ATU 1, 276; UVB 2, 1931, fig. 40 (p)
P000960	ATU 5, pl. 027, W 7227,c	ATU 1, 344
P000961	ATU 5, pl. 027, W 7227,d	ATU 1, 313
P000962	ATU 5, pl. 027, W 7227,e	ATU 1, 258
P000963	ATU 5, pl. 027, W 7227,f	ATU 1, 327
P000964	ATU 5, pl. 028, W 7227,g	
P000965	ATU 5, pl. 028, W 7227,h	ATU 1, 545
P000966	ATU 5, pl. 028, W 7227,i	
P000967	ATU 5, pl. 028, W 7227,k	ATU 1, 431
P000968	ATU 5, pl. 028, W 7227,l	
P000969	ATU 5, pl. 028, W 7227,m	ATU 1, 369
P000977	ATU 5, pl. 029, W 7272,h	
P000978	ATU 5, pl. 030, W 7272,i	
P000979	unpublished unassigned ?	
P000980	unpublished unassigned ?	
P000981	ATU 5, pl. 030, W 7298	
P000982	ATU 5, pl. 030, W 7329,a	ATU 1, 507
P000983	ATU 5, pl. 030, W 7329,b+	ATU 1, 478
P000985	ATU 5, pl. 030, W 7343,1	ATU 1, 601; ATU 2, plate 44 obv. (p), published as W 7343
P000986	ATU 5, pl. 031, W 7343,2	
P000988	ATU 5, pl. 031, W 7406	
P000989	ATU 5, pl. 031, W 7717	ATU 1, 575; ATU 2, plate 44 obv. (p), published as W 7717
P000990	ATU 5, pl. 031, W 7880	ATU 1, 534
P000991	ATU 5, pl. 031, W 7881	
P000993	ATU 5, pl. 031, W 7883	
P000994	unpublished unassigned ?	
P000995	ATU 5, pl. 032, W 8063	ATU 1, 590
P000996	ATU 5, pl. 032, W 8273	ATU 1, 578; ATU 2, plate 44 obv. (p), published as W 8273.; A. Vaiman, VDI 1974/2, 141 no. 23
P000997	ATU 5, pl. 032, W 8274	ATU 1, 591; ATU 2, plate 44 obv. (p), published as W 8274
P000998	ATU 5, pl. 032, W 8405	ATU 1, 303
P000999	ATU 5, pl. 033, W 8406	ATU 1, 309
P001000	ATU 5, pl. 033, W 8618	
P001001	ATU 5, pl. 033, W 8751	ATU 1, 596
P001002	ATU 5, pl. 033, W 9070	
P001003	ATU 5, pl. 033, W 9071,a	ATU 1, 365
P001004	ATU 5, pl. 033, W 9071,b	ATU 1, 128
P001005	ATU 5, pl. 034, W 9071,c	ATU 1, 518
P001006	ATU 5, pl. 034, W 9071,d1	
P001007	ATU 5, pl. 034, W 9071,d2	
P001008	ATU 5, pl. 034, W 9071,e	
P001009	ATU 5, pl. 034, W 9071,f	ATU 1, 424
P001010	ATU 5, pl. 034, W 9071,g	
P001011	ATU 5, pl. 034, W 9071,h	ATU 1, 442
P001012	unpublished unassigned ?	
P001015	unpublished unassigned ?	
P001017	unpublished unassigned ?	
P001018	ATU 6, pl. 001, W 9071,p	
P001019	ATU 5, pl. 034, W 9071,q	
P001020	ATU 5, pl. 034, W 9071,r	
P001021	ATU 5, pl. 035, W 9123,a1	ATU 1, 346
P001022	ATU 5, pl. 035, W 9123,a2	
P001023	ATU 5, pl. 035, W 9123,b	ATU 1, 27; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 154 fig. 52
P001024	ATU 5, pl. 035, W 9123,c	ATU 1, 37; M. Lambert, Archeologia 12, 9-10, 1966, 29; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 154 fig. 52; Woods, Christpher, OIMP 32 (2015) 073
P001025	ATU 5, pl. 035, W 9123,e	ATU 1, 48; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 154 fig. 52
P001026	ATU 5, pl. 035, W 9123,f+	ATU 1, 250
P001027	unpublished unassigned ?	
P001028	ATU 5, pl. 036, W 9123,h	ATU 1, 22
P001029	ATU 5, pl. 036, W 9123,i	
P001030	ATU 5, pl. 036, W 9123,k	ATU 1, 168
P001031	ATU 5, pl. 036, W 9123,l	ATU 1, 501
P001032	ATU 5, pl. 036, W 9123,m	ATU 1, 116
P001033	ATU 5, pl. 036, W 9123,n+	ATU 1, 328
P001034	ATU 5, pl. 036, W 9123,o1	ATU 1, 474
P001035	ATU 5, pl. 036, W 9123,o2	
P001036	ATU 5, pl. 036, W 9123,p	ATU 1, 120
P001037	ATU 5, pl. 037, W 9123,q	ATU 1, 314; K. Szarzynska, 1970, 10 obv. (c)
P001038	unpublished unassigned ?	
P001039	unpublished unassigned ?	
P001040	ATU 5, pl. 037, W 9123,t	ATU 1, 381
P001041	ATU 5, pl. 037, W 9123,u1	ATU 1, 132
P001042	ATU 5, pl. 037, W 9123,u2	ATU 1, 553
P001043	ATU 5, pl. 037, W 9123,v	ATU 1, 519
P001044	ATU 5, pl. 037, W 9123,w	ATU 1, 136; A. Vaiman, VDI 1974/2, 140 no. 11 obv.
P001045	ATU 5, pl. 037, W 9123,x	ATU 1, 505
P001046	ATU 5, pl. 037, W 9123,y	ATU 1, 509
P001047	ATU 5, pl. 038, W 9123,z	
P001048	unpublished unassigned ?	
P001049	unpublished unassigned ?	
P001050	ATU 5, pl. 038, W 9123,ac	ATU 1, 211; Frühe Schrift p. 160, no. 17.1
P001051	ATU 5, pl. 038, W 9123,ad	ATU 1, 378
P001052	ATU 5, pl. 038, W 9123,ae	ATU 1, 528
P001053	ATU 5, pl. 038, W 9123,af	ATU 1, 435
P001054	ATU 5, pl. 038, W 9123,ag	
P001055	ATU 5, pl. 038, W 9123,?	
P001056	ATU 5, pl. 038, W 9168,a	ATU 1, 582
P001057	ATU 5, pl. 039, W 9168,b	ATU 1, 583
P001058	ATU 5, pl. 039, W 9168,c	
P001059	ATU 5, pl. 039, W 9168,d	ATU 1, 584
P001060	ATU 5, pl. 039, W 9168,e	
P001061	ATU 5, pl. 039, W 9168,f	
P001062	ATU 5, pl. 039, W 9168,g	
P001063	ATU 5, pl. 040, W 9168,h+	ATU 1, 585; Beek, Bildatlas, fig. 22 (p)
P001064	ATU 5, pl. 039, W 9168,i	
P001065	ATU 5, pl. 039, W 9168,j	ATU 1, 581
P001066	ATU 5, pl. 039, W 9168,k	ATU 1, 588
P001067	ATU 5, pl. 039, W 9168,l	ATU 1, 580
P001068	unpublished unassigned ?	
P001070	unpublished unassigned ?	
P001071	ATU 5, pl. 039, W 9168,p	
P001072	ATU 5, pl. 041, W 9168,q	ATU 1, 586
P001073	ATU 5, pl. 041, W 9168,r	ATU 1, 587
P001074	unpublished unassigned ?	
P001075	ATU 5, pl. 041, W 9168,t	ATU 1, 429
P001076	ATU 5, pl. 041, W 9168,u	
P001077	ATU 5, pl. 041, W 9168,v	ATU 1, 579
P001078	ATU 5, pl. 042, W 9169,a	ATU 1, 400
P001079	ATU 5, pl. 042, W 9169,b	ATU 1, 371
P001080	ATU 5, pl. 042, W 9169,c	ATU 1, 334
P001081	ATU 5, pl. 042, W 9169,e	ATU 1, 467
P001082	ATU 5, pl. 042, W 9169,f	ATU 1, 34
P001083	ATU 5, pl. 043, W 9169,g	ATU 1, 437
P001084	ATU 5, pl. 043, W 9169,h	ATU 1, 447
P001085	ATU 5, pl. 043, W 9169,i	
P001086	unpublished unassigned ?	
P001087	ATU 5, pl. 043, W 9169,l	
P001088	ATU 5, pl. 043, W 9169,m+	ATU 1, 560
P001089	ATU 5, pl. 043, W 9169,n	ATU 1, 451
P001090	ATU 5, pl. 043, W 9169,o	
P001091	ATU 5, pl. 044, W 9169,p+	ATU 1, 562
P001092	ATU 5, pl. 044, W 9169,q	
P001093	ATU 5, pl. 044, W 9169,r	
P001095	ATU 5, pl. 044, W 9169,t	
P001096	ATU 5, pl. 044, W 9169,u	
P001097	ATU 5, pl. 044, W 9169,v	
P001098	ATU 5, pl. 044, W 9169,w	ATU 1, 443
P001099	unpublished unassigned ?	
P001100	ATU 5, pl. 044, W 9169,y	
P001101	unpublished unassigned ?	
P001102	ATU 5, pl. 044, W 9169,aa	
P001103	ATU 5, pl. 044, W 9169,ab	
P001104	ATU 5, pl. 045, W 9169,ac1	ATU 1, 374
P001105	ATU 5, pl. 045, W 9169,ac2	
P001106	ATU 5, pl. 045, W 9169,ad	
P001107	ATU 5, pl. 045, W 9169,ae	
P001108	unpublished unassigned ?	
P001109	ATU 5, pl. 045, W 9169,ag	
P001110	ATU 5, pl. 045, W 9169,ah	
P001111	ATU 5, pl. 045, W 9169,ai	
P001112	ATU 5, pl. 045, W 9169,ak	
P001113	ATU 5, pl. 045, W 9169,al	ATU 1, 108; A. Vaiman, VDI 1974/2, 140 no. 15 obv.
P001114	ATU 5, pl. 045, W 9169,am	
P001115	unpublished unassigned ?	
P001116	ATU 5, pl. 045, W 9169,ao	
P001117	ATU 5, pl. 045, W 9169,ap	
P001118	unpublished unassigned ?	
P001119	unpublished unassigned ?	
P001120	ATU 5, pl. 045, W 9169,as	
P001121	ATU 5, pl. 045, W 9169,at	
P001122	ATU 5, pl. 045, W 9169,au	
P001123	ATU 5, pl. 045, W 9169,av	ATU 1, 415
P001124	unpublished unassigned ?	
P001125	ATU 5, pl. 045, W 9169,ax	
P001126	ATU 5, pl. 045, W 9169,ay	
P001127	ATU 5, pl. 045, W 9169,az	
P001128	ATU 5, pl. 046, W 9169,cf?	
P001129	ATU 5, pl. 046, W 9169,ha?	
P001130	ATU 5, pl. 045, W 9169,?1	
P001131	ATU 5, pl. 046, W 9169,?2	
P001132	ATU 5, pl. 046, W 9169,?3	
P001133	ATU 5, pl. 046, W 9206,a1	ATU 1, 103
P001134	ATU 5, pl. 046, W 9206,a2	
P001135	ATU 5, pl. 046, W 9206,b	ATU 1, 552
P001136	ATU 5, pl. 046, W 9206,c	ATU 1, 85; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 160 fig. 55
P001137	ATU 5, pl. 046, W 9206,d	ATU 1, 107; M. Lambert, Archeologia 12, 9-10, 1966, 29
P001138	ATU 5, pl. 046, W 9206,e	ATU 1, 222
P001139	ATU 5, pl. 046, W 9206,f	ATU 1, 498
P001140	ATU 5, pl. 046, W 9206,g	ATU 1, 13
P001141	ATU 5, pl. 046, W 9206,h	ATU 1, 388
P001142	unpublished unassigned ?	
P001143	ATU 5, pl. 047, W 9206,l	
P001144	ATU 5, pl. 047, W 9206,m	
P001145	unpublished unassigned ?	
P001146	unpublished unassigned ?	
P001147	ATU 5, pl. 047, W 9206,p	ATU 1, 413
P001148	ATU 5, pl. 047, W 9206,q	
P001149	ATU 5, pl. 047, W 9206,r	
P001150	ATU 5, pl. 047, W 9206,s	ATU 1, 283
P001151	ATU 5, pl. 047, W 9206,t	ATU 1, 453
P001152	ATU 5, pl. 047, W 9206,?1	
P001153	ATU 5, pl. 047, W 9206,?2	
P001154	ATU 5, pl. 047, W 9212	
P001155	ATU 5, pl. 047, W 9271	
P001156	ATU 5, pl. 048, W 9311,a	ATU 1, 341
P001157	ATU 5, pl. 048, W 9311,b	ATU 1, 251
P001158	ATU 5, pl. 048, W 9311,c	ATU 1, 312; L. Jakob-Rost, Sumerische Kunst, 1966, plate 1 obv. (p)
P001159	ATU 5, pl. 048, W 9311,d	ATU 1, 526
P001160	ATU 5, pl. 049, W 9311,e	ATU 1, 316
P001161	ATU 5, pl. 049, W 9311,f+	ATU 1, 354
P001162	ATU 5, pl. 049, W 9311,h	ATU 1, 464
P001163	ATU 5, pl. 049, W 9311,i	ATU 1, 105
P001164	ATU 5, pl. 049, W 9311,k	ATU 1, 496
P001165	ATU 5, pl. 049, W 9311,l	ATU 1, 541
P001166	ATU 5, pl. 049, W 9311,m	ATU 1, 440
P001167	ATU 5, pl. 049, W 9311,n	ATU 1, 491
P001168	ATU 5, pl. 049, W 9311,o	ATU 1, 408
P001169	ATU 5, pl. 050, W 9311,p	ATU 1, 483
P001170	ATU 5, pl. 050, W 9311,q	ATU 1, 396
P001171	ATU 5, pl. 050, W 9311,r	
P001172	ATU 5, pl. 050, W 9311,t	ATU 1, 485
P001173	ATU 5, pl. 050, W 9311,u	
P001174	ATU 5, pl. 050, W 9311,w	
P001175	ATU 5, pl. 050, W 9311,x	
P001176	ATU 5, pl. 050, W 9312,a	
P001177	ATU 5, pl. 050, W 9312,b	ATU 1, 325
P001178	ATU 5, pl. 050, W 9312,c	ATU 1, 173
P001179	ATU 5, pl. 051, W 9312,d	ATU 1, 355
P001180	ATU 5, pl. 051, W 9312,e	ATU 1, 376
P001181	ATU 5, pl. 051, W 9312,f	ATU 1, 195
P001182	ATU 5, pl. 051, W 9312,g	ATU 1, 104; K. Szarzynska, 1970, 11
P001183	ATU 5, pl. 051, W 9312,h	ATU 1, 7
P001184	ATU 5, pl. 051, W 9312,i	ATU 1, 149; M. Lambert, Archeologia 12, 9-10, 1966, 29
P001185	ATU 5, pl. 052, W 9312,k	ATU 1, 465
P001186	ATU 5, pl. 052, W 9312,l	ATU 1, 185; M. Lambert, Archeologia 12, 9-10, 1966, 29
P001187	ATU 5, pl. 052, W 9312,m	
P001188	ATU 5, pl. 052, W 9312,n1	ATU 1, 463
P001189	ATU 5, pl. 052, W 9312,n2+	ATU 1, 362
P001190	ATU 5, pl. 052, W 9312,o	ATU 1, 508
P001192	unpublished unassigned ?	
P001194	ATU 5, pl. 052, W 9312,s	
P001195	ATU 5, pl. 052, W 9312,t	ATU 1, 486
P001196	unpublished unassigned ?	
P001198	unpublished unassigned ?	
P001199	ATU 5, pl. 052, W 9312,x	ATU 1, 495
P001200	ATU 5, pl. 052, W 9312,y	
P001201	ATU 5, pl. 052, W 9312,z	ATU 1, 106
P001202	ATU 5, pl. 053, W 9312,aa	Erlen Kat. 15.03
P001203	ATU 5, pl. 053, W 9335,a	ATU 1, 24; K. Szarzynska, 1970, 10
P001204	ATU 5, pl. 053, W 9335,b	ATU 1, 15; A. Vaiman, Peredn. sbornik 1966, 13 obv. (s. BagM 21, 1990, 100)
P001205	ATU 5, pl. 053, W 9335,c	ATU 1, 111; M. Lambert, Archeologia 12, 9-10, 1966, 29; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 154 fig. 52
P001206	ATU 5, pl. 053, W 9335,d	ATU 1, 93; A. Vaiman, VDI 1974/2, 139, no. 7 obv.
P001207	ATU 5, pl. 053, W 9335,e	ATU 1, 119
P001208	ATU 5, pl. 053, W 9335,f	ATU 1, 441
P001209	ATU 5, pl. 053, W 9335,g	ATU 1, 375
P001210	ATU 5, pl. 054, W 9335,h1	ATU 1, 117
P001211	ATU 5, pl. 054, W 9335,h2	ATU 1, 11
P001212	ATU 5, pl. 054, W 9335,i	ATU 1, 143
P001214	ATU 5, pl. 054, W 9335,l	ATU 1, 198
P001215	ATU 5, pl. 054, W 9335,m	
P001216	unpublished unassigned ?	
P001217	ATU 5, pl. 054, W 9335,o	ATU 1, 125
P001218	ATU 5, pl. 054, W 9335,p	ATU 1, 558
P001219	ATU 5, pl. 054, W 9335,q	ATU 1, 512
P001220	ATU 5, pl. 055, W 9335,r	ATU 1, 527
P001221	ATU 5, pl. 055, W 9335,s	ATU 1, 468
P001222	ATU 5, pl. 055, W 9335,t	ATU 1, 547
P001223	ATU 5, pl. 055, W 9335,u	ATU 1, 398
P001224	ATU 5, pl. 055, W 9335,v	ATU 1, 452
P001226	ATU 5, pl. 056, W 9393,a	ATU 1, 326
P001227	ATU 5, pl. 056, W 9393,b	ATU 1, 311;  Spektrum der Wissenschaft, März 1988, 48; Damerow, Mathematiklehren p. 56; Natuur & Techniek 59/9 (1991) 703 ((c)); Vogel, Kurt, Vorgriechische Mathematik I (1958) 018
P001228	ATU 5, pl. 056, W 9393,c	ATU 1, 350
P001229	ATU 5, pl. 057, W 9393,d	Copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 110 fig. 36
P001230	ATU 5, pl. 057, W 9393,e	ATU 1, 289; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 110 fig. 36
P001231	ATU 5, pl. 057, W 9393,f	ATU 1, 286
P001232	ATU 5, pl. 058, W 9492	
P001233	ATU 5, pl. 058, W 9578,a	
P001234	ATU 5, pl. 058, W 9578,b	ATU 1, 277
P001235	ATU 5, pl. 058, W 9578,c	ATU 1, 329
P001236	ATU 5, pl. 058, W 9578,d	ATU 1, 336
P001237	ATU 5, pl. 058, W 9578,e	ATU 1, 266
P001238	ATU 5, pl. 059, W 9578,f	ATU 1, 65; A. Vaiman, VDI 1974/2, 139, no. 2 obv.
P001239	ATU 5, pl. 059, W 9578,g	ATU 1, 299
P001240	ATU 5, pl. 059, W 9578,h	ATU 1, 310
P001241	ATU 5, pl. 059, W 9578,i	ATU 1, 31
P001242	ATU 5, pl. 059, W 9578,k	ATU 1, 517
P001243	ATU 5, pl. 060, W 9578,l	ATU 1, 348
P001244	ATU 5, pl. 060, W 9578,m	ATU 1, 343
P001245	ATU 5, pl. 060, W 9578,n	ATU 1, 274
P001246	ATU 5, pl. 061, W 9578,o	ATU 1, 72
P001247	ATU 5, pl. 061, W 9578,p	ATU 1, 256
P001248	ATU 5, pl. 061, W 9578,q	ATU 1, 225
P001249	ATU 5, pl. 061, W 9579,a	ATU 1, 75; K. Szarzynska, 1970, 11
P001250	ATU 5, pl. 061, W 9579,b	ATU 1, 51
P001251	ATU 5, pl. 061, W 9579,c	ATU 1, 223
P001252	ATU 5, pl. 062, W 9579,d	ATU 1, 40; Frühe Schrift, p. 56, no. 7.3
P001253	ATU 5, pl. 062, W 9579,e	ATU 1, 98
P001254	ATU 5, pl. 062, W 9579,f	ATU 1, 142
P001255	ATU 5, pl. 062, W 9579,g	ATU 1, 154; K. Szarzynska, 1970, 11; K. Veenhof, Phoenix 24/1, 1978, 27 obv. (c)
P001256	ATU 5, pl. 062, W 9579,h	ATU 1, 170; K. Szarzynska, 1970, 10
P001257	ATU 5, pl. 062, W 9579,i	ATU 1, 151
P001258	ATU 5, pl. 062, W 9579,k	ATU 1, 215
P001259	ATU 5, pl. 062, W 9579,l	ATU 1, 190
P001260	ATU 5, pl. 063, W 9579,m	ATU 1, 157; K. Szarzynska, 1970, 11
P001261	ATU 5, pl. 063, W 9579,n	ATU 1, 53
P001262	ATU 5, pl. 063, W 9579,o	ATU 1, 167; A. Vaiman, VDI 1974/2, 140 no. 18 obv.
P001263	ATU 5, pl. 063, W 9579,p	ATU 1, 139
P001264	ATU 5, pl. 063, W 9579,q	ATU 1, 144
P001265	ATU 5, pl. 063, W 9579,r	ATU 1, 169
P001266	ATU 5, pl. 063, W 9579,s	ATU 1, 337
P001267	ATU 5, pl. 064, W 9579,t	ATU 1, 307
P001268	ATU 5, pl. 064, W 9579,u	ATU 1, 352
P001269	ATU 5, pl. 064, W 9579,v	ATU 1, 306
P001270	ATU 5, pl. 065, W 9579,w	ATU 1, 285
P001271	ATU 5, pl. 065, W 9579,x	ATU 1, 129
P001272	ATU 5, pl. 065, W 9579,y	ATU 1, 81
P001273	ATU 5, pl. 065, W 9579,z	ATU 1, 41; A. Vaiman, VDI 1972/1, 125 obv. no. 1 (s. BagM 21, 1990, 105)
P001274	ATU 5, pl. 065, W 9579,aa	ATU 1, 208; A. Vaiman, VDI 1974/2, 140 no. 17
P001275	ATU 5, pl. 065, W 9579,ab	ATU 1, 97
P001276	ATU 5, pl. 066, W 9579,ac	ATU 1, 21; A. Vaiman, VDI 1974/2, 140 no. 19 obv.
P001277	ATU 5, pl. 066, W 9579,ad	ATU 1, 42
P001278	ATU 5, pl. 066, W 9579,ae	ATU 1, 235
P001279	ATU 5, pl. 066, W 9579,af	ATU 1, 137; K. Szarzynska, 1970, 13
P001280	ATU 5, pl. 066, W 9579,ag	ATU 1, 20; A. Vaiman, unsichere Publikation, in Ordner; A. Vaiman, ActAnt. 22, 1974, 24 obv.; K. Szarzynska, 1970, 11
P001281	ATU 5, pl. 066, W 9579,ah	ATU 1, 86; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 160 fig. 55
P001282	ATU 5, pl. 066, W 9579,ai	ATU 1, 94; M. Lambert, Archeologia 12, 9-10, 1966, 29
P001283	ATU 5, pl. 066, W 9579,ak	ATU 1, 8
P001284	ATU 5, pl. 066, W 9579,al	ATU 1, 202; A. Vaiman, VDI 1974/2, 140 no. 16
P001285	ATU 5, pl. 066, W 9579,am	ATU 1, 12; K. Szarzynska, 1970, 13
P001286	ATU 5, pl. 067, W 9579,an	ATU 1, 145
P001287	ATU 5, pl. 067, W 9579,ao	ATU 1, 146
P001288	ATU 5, pl. 067, W 9579,ap	ATU 1, 9
P001289	ATU 5, pl. 067, W 9579,aq	ATU 1, 174
P001290	ATU 5, pl. 067, W 9579,ar	ATU 1, 246
P001291	ATU 5, pl. 067, W 9579,as	ATU 1, 165; K. Veenhof, Phoenix 24/1, 1978, 27 obv. (c)
P001292	ATU 5, pl. 067, W 9579,at	ATU 1, 99
P001293	ATU 5, pl. 067, W 9579,au	ATU 1, 226
P001294	ATU 5, pl. 068, W 9579,av	ATU 1, 28; K. Szarzynska, 1970, 13; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 154 fig. 52
P001295	ATU 5, pl. 068, W 9579,aw	ATU 1, 67
P001296	ATU 5, pl. 068, W 9579,ax	ATU 1, 138; K. Szarzynska, 1970, 10
P001297	ATU 5, pl. 068, W 9579,ay	ATU 1, 164
P001298	ATU 5, pl. 068, W 9579,az	ATU 1, 178
P001299	ATU 5, pl. 068, W 9579,ba	ATU 1, 60
P001300	ATU 5, pl. 068, W 9579,bb	ATU 1, 66
P001301	ATU 5, pl. 068, W 9579,bc	ATU 1, 153; K. Szarzynska, 1970, 10
P001302	ATU 5, pl. 069, W 9579,bd	ATU 1, 216
P001303	ATU 5, pl. 069, W 9579,be	ATU 1, 59
P001304	ATU 5, pl. 069, W 9579,bf	ATU 1, 217
P001305	ATU 5, pl. 069, W 9579,bg	ATU 1, 50
P001306	ATU 5, pl. 069, W 9579,bh	ATU 1, 73
P001307	ATU 5, pl. 069, W 9579,bi	ATU 1, 25
P001308	ATU 5, pl. 069, W 9579,bk	ATU 1, 218
P001309	ATU 5, pl. 069, W 9579,bl	ATU 1, 101
P001310	ATU 5, pl. 070, W 9579,bm	ATU 1, 30; A. Vaiman, VDI 1974/2, 139, no. 3 obv.
P001312	unpublished unassigned ?	
P001313	ATU 5, pl. 070, W 9579,bq	ATU 1, 54; K. Szarzynska, 1970, 11
P001314	ATU 5, pl. 070, W 9579,br	ATU 1, 4; M. Lambert, Archeologia 12, 9-10, 1966, 29; K. Szarzynska, JCS 46 (1994) 1-10, tag no. 2; copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 60 fig. 18
P001315	ATU 5, pl. 070, W 9579,bs	ATU 1, 155
P001316	ATU 5, pl. 070, W 9579,bt	ATU 1, 90
P001317	ATU 5, pl. 070, W 9579,bu	ATU 1, 10
P001318	ATU 5, pl. 070, W 9579,bv	ATU 1, 210
P001319	ATU 5, pl. 070, W 9579,bw	ATU 1, 220; K. Szarzynska, 1970, 10
P001320	ATU 5, pl. 071, W 9579,bx	ATU 1, 87
P001321	ATU 5, pl. 071, W 9579,by1	ATU 1, 49; A. Vaiman, VDI 1974/2, 139, no. 9 obv.
P001322	ATU 5, pl. 071, W 9579,by2	ATU 1, 3; Frühe Schrift, p. 56, no. 7.1; K. Szarzynska, JCS 46 (1994) 1-10, tag no. 7 copy published R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 60 fig. 18
P001323	ATU 5, pl. 071, W 9579,bz	ATU 1, 47
P001324	ATU 5, pl. 071, W 9579,ca	ATU 1, 140
P001325	ATU 5, pl. 071, W 9579,cb	ATU 1, 74; A. Vaiman, VDI 1974/2, 140 no. 14 obv. (s. BagM 21, 1990, 117)
P001326	ATU 5, pl. 071, W 9579,cc	ATU 1, 318
P001327	ATU 5, pl. 071, W 9579,cd	ATU 1, 227
P001328	ATU 5, pl. 071, W 9579,ce	ATU 1, 229; K. Szarzynska, 1970, 11
P001329	ATU 5, pl. 072, W 9579,cf	ATU 1, 204; A. Vaiman, VDI 1974/2, 139, no. 5
P001330	ATU 5, pl. 072, W 9579,cg	ATU 1, 100
P001331	ATU 5, pl. 072, W 9579,ch	ATU 1, 213; A. Vaiman, VDI 1974/2, 139, no. 6
P001332	ATU 5, pl. 072, W 9579,ci	ATU 1, 323; K. Szarzynska, 1970, 13
P001333	ATU 5, pl. 072, W 9579,ck	ATU 1, 69; A. Vaiman, VDI 1974/2, 140 no. 13 obv.
P001334	ATU 5, pl. 072, W 9579,cl	ATU 1, 237
P001335	ATU 5, pl. 072, W 9579,cm	ATU 1, 80
P001336	ATU 5, pl. 072, W 9579,cn	ATU 1, 23
P001337	ATU 5, pl. 073, W 9579,co	ATU 1, 234
P001338	ATU 5, pl. 073, W 9579,cp	ATU 1, 298
P001339	ATU 5, pl. 073, W 9579,cq	ATU 1, 83
P001340	ATU 5, pl. 073, W 9579,cr	ATU 1, 32; K. Szarzynska, 1970, 11
P001341	ATU 5, pl. 073, W 9579,cs	ATU 1, 33
P001342	ATU 5, pl. 073, W 9579,ct	ATU 1, 180
P001343	ATU 5, pl. 073, W 9579,cu	ATU 1, 205
