id_text	primary_publication	publication_history
P000058	CDLI Lexical 000023, ex. 062	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 15895,e+
P000060	CDLI Lexical 000026, ex. 035	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 15895,g
P000061	CDLI Lexical 000002, ex. 092	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,h
P000062	CDLI Lexical 000030, ex. 027	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 049, W 15895,i
P000063	CDLI Lexical 000026, ex. 036	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 073, W 15895,k
P000064	CDLI Lexical 000023, ex. 063	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 062, W 15895,l+
P000065	CDLI Lexical Archaic Unidentified, ex. 021	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,m
P000066	CDLI Lexical 000002, ex. 047	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 15895,n
P000067	CDLI Lexical 000002, ex. 052	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 010, W 15895,o
P000068	CDLI Lexical 000030, ex. 013	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,p+
P000069	CDLI Lexical 000023, ex. 053	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 061, W 15895,q
P000070	CDLI Lexical 000030, ex. 028	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 049, W 15895,r
P000071	CDLI Lexical 000002, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 15895,s
P000072	CDLI Lexical 000023, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 056, W 15895,t
P000073	CDLI Lexical 000023, ex. 019	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 056, W 15895,u
P000075	CDLI Lexical 000007, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 15895,w
P000076	CDLI Lexical 000028, ex. 02	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 15895,y, 
P000077	CDLI Lexical 000026, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 068, W 15895,aa
P000078	CDLI Lexical 000030, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 047, W 15895,ab
P000079	CDLI Lexical Archaic Unidentified, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 086, W 15895,ac
P000080	CDLI Lexical 000002, ex. 079	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,ad
P000081	CDLI Lexical 000002, ex. 089	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 014, W 15895,ae
P000082	CDLI Lexical 000002, ex. 080	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 15895,ah
P000083	CDLI Lexical 000002, ex. 099	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 015, W 15895,ai
