	V/pub	V/unp	V/all	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk	0	0	0 	1303	450	1753 	2010	820	2830
JN	0	0	0 	0	0	0 	237	0	237
Umma	0	0	0 	0	0	0 	93	314	407
Uqair	0	0	0 	0	0	0 	42	0	42
Misc	0	0	0 	33	16	49 	605	53	658
total	0	0	0 	1336	466	1802 	2987 	1187	4174
