10(N14)	126E1
10(N14@f)	126E2
10(N57)	126E3
10(N58)	126E4
12(N14)	126E5
12(N58)	126E6
A	126E7
A@t	126E8
A@g	126E9
A₂	126EA
AB~a	126EB
AB~a~v1	126EC
AB~a@g	126ED
AB~b	126EE
AB₂	126EF
AB₂~v1	126F0
ABGAL	126F1
ABGAL~v1	126F2
ABRIG	126F3
ABZU	126F4
AD~a	126F5
AD~b	126F6
AD~c	126F7
ADAB	126F8
ADDA	126F9
ADDA@t	126FA
AGAR₂	126FB
AK~a	126FC
AK~b	126FD
AL	126FE
ALAN~a	126FF
ALAN~b	12700
ALAN~c	12701
ALAN~d	12702
ALAN~e	12703
ALAN~f	12704
ALIM	12705
AM~a	12706
AM~b	12707
AMA~a	12708
AMA~a~v1	12709
AMA~b	1270A
AMAR	1270B
AMAR~v1	1270C
AMAR~v2	1270D
AMAR@g	1270E
AN	1270F
AN~v1	12710
AN~v2	12711
ANŠE~a	12712
ANŠE~b	12713
ANŠE~c	12714
ANŠE~e	12715
ANZU₂	12716
APIN~a	12717
APIN~b	12718
APIN~c	12719
ARARMA₂~a	1271A
ARARMA₂~a~v1	1271B
ARARMA₂~b	1271C
ARATTA	1271D
ASAL₂	1271E
ASAR	1271F
AŠ₂	12720
AZ	12721
AZU	12722
BA	12723
BAD	12724
BAD₃~a	12725
BAD₃~b1	12726
BAD₃~b2	12727
BAHAR₂~a	12728
BAHAR₂~a~v1	12729
BAHAR₂~b	1272A
BAHAR₂~b~v1	1272B
BAHAR₂~c	1272C
BALA~a	1272D
BALA~b	1272E
BALA~b~v1	1272F
BALAG	12730
BALAG~v1	12731
BAN~a	12732
BAN~a~v1	12733
BAN~a~v2	12734
BAN~b	12735
BANŠUR~a	12736
BANŠUR~a@t	12737
BANŠUR~b1	12738
BANŠUR~b2	12739
BANŠUR~c	1273A
BAPPIR~a	1273B
BAPPIR~b	1273C
BAPPIR~c	1273D
BAPPIR~d	1273E
BAPPIR~e	1273F
BAPPIR~f	12740
BAR	12741
BARA₂~a	12742
BARA₂~a~v1	12743
BARA₂~b	12744
BARA₂~b~v1	12745
BARA₃	12746
BIR~a	12747
BIR~b	12748
BIR~c	12749
BIR₃~a	1274A
