12602	2(N42~b)	o0903124	TWO-N42-B
12603	2(N45)	o0903137	TWO-N45
12604	2(N45@f)	o0903145	TWO-N45 FLAT
12605	2(N46)	o0903154	TWO-N46
12606	2(N46@f)	o0903157	TWO-N46 FLAT
12607	2(N47)	o0903159	TWO-N47
12608	2(N48)	o0903162	TWO-N48
12609	2(N49)	o0903170	TWO-N49
1260A	2(N50)	o0903175	TWO-N50
1260B	2(N51)	o0903189	TWO-N51
1260C	2(N51@f)	o0903180	TWO-N51 FLAT
1260D	2(N52)	o0903197	TWO-N52
1260E	2(N54)	o0903203	TWO-N54
1260F	2(N56)	o0903209	TWO-N56
12610	2(N57)	o0903222	TWO-N57
12611	2(N58)	o0903284	TWO-N58
12612	2(N59)	o0903296	TWO-N59
12613	2(LAGAB~a)	o0902841	TWO-LAGAB-A
12614	3(N01)	o0902860	THREE-N1
12615	3(N01@f)	o0902850	THREE-N1 FLAT
12616	3(N02)	o0902872	THREE-N2
12617	3(N03)	o0902881	THREE-N3
12618	3(N04)	o0902886	THREE-N4
12619	3(N04@f)	o0902891	THREE-N4 FLAT
1261A	3(N05)	o0902896	THREE-N5
1261B	3(N07~a)	o0902907	THREE-N7-A
1261C	3(N07~b)	o0902908	THREE-N7-B
1261D	3(N08)	o0902914	THREE-N8
1261E	3(N08~b)	o0902915	THREE-N8-B
1261F	3(N14)	o0902932	THREE-N14
12620	3(N14@f)	o0902947	THREE-N14 FLAT
12621	3(N15)	o0902957	THREE-N15
12622	3(N18)	o0902964	THREE-N18
12623	3(N19)	o0902974	THREE-N19
12624	3(N19@f)	o0902984	THREE-N19 FLAT
12625	3(N20)	o0902993	THREE-N20
12626	3(N21)	o0903001	THREE-N21
12627	3(N23)	o0903012	THREE-N23
12628	3(N34)	o0903062	THREE-N34
12629	3(N34@f)	o0903072	THREE-N34 FLAT
1262A	3(N36)	o0903084	THREE-N36
1262B	3(N39~a)	o0903104	THREE-N39-A
1262C	3(N39~b)	o0903105	THREE-N39-B
1262D	3(N40)	o0903113	THREE-N40
1262E	3(N41)	o0903117	THREE-N41
1262F	3(N42~a)	o0903126	THREE-N42-A
12630	3(N42~b)	o0903127	THREE-N42-B
12631	3(N45)	o0903138	THREE-N45
12632	3(N45@f)	o0903146	THREE-N45 FLAT
12633	3(N46)	o0903155	THREE-N46
12634	3(N47)	o0903160	THREE-N47
12635	3(N48)	o0903163	THREE-N48
12636	3(N49)	o0903171	THREE-N49
12637	3(N50)	o0903176	THREE-N50
12638	3(N51)	o0903190	THREE-N51
12639	3(N51@f)	o0903181	THREE-N51 FLAT
1263A	3(N52)	o0903198	THREE-N52
1263B	3(N53)	o0903201	THREE-N53
1263C	3(N54)	o0903204	THREE-N54
1263D	3(N57)	o0903234	THREE-N57
1263E	3(N58)	o0903285	THREE-N58
1263F	3(N59)	o0903297	THREE-N59
12640	3(N61)	o0903302	THREE-N61
12641	4(N01)	o0902861	FOUR-N1
12642	4(N01@f)	o0902851	FOUR-N1 FLAT
12643	4(N02)	o0902873	FOUR-N2
12644	4(N03)	o0902882	FOUR-N3
12645	4(N04)	o0902887	FOUR-N4
12646	4(N04@f)	o0902892	FOUR-N4 FLAT
12647	4(N05)	o0902897	FOUR-N5
12648	4(N08)	o0902916	FOUR-N8
12649	4(N08~b)	o0902917	FOUR-N8-B
1264A	4(N08~c)	o0902918	FOUR-N8-C
1264B	4(N14)	o0902933	FOUR-N14
1264C	4(N14@f)	o0902948	FOUR-N14 FLAT
1264D	4(N15)	o0902958	FOUR-N15
1264E	4(N18)	o0902965	FOUR-N18
1264F	4(N19)	o0902975	FOUR-N19
12650	4(N19@f)	o0902985	FOUR-N19 FLAT
12651	4(N20)	o0902994	FOUR-N20
12652	4(N21)	o0903002	FOUR-N21
12653	4(N24)	o0903020	FOUR-N24
12654	4(N34)	o0903063	FOUR-N34
12655	4(N34@f)	o0903073	FOUR-N34 FLAT
12656	4(N36)	o0903085	FOUR-N36
12657	4(N39~a)	o0903107	FOUR-N39-A
12658	4(N39~b)	o0903108	FOUR-N39-B
12659	4(N40)	o0903114	FOUR-N40
1265A	4(N41)	o0903118	FOUR-N41
1265B	4(N42~a)	o0903129	FOUR-N42-A
1265C	4(N42~b)	o0903130	FOUR-N42-B
1265D	4(N43)	o0903132	FOUR-N43
1265E	4(N45)	o0903139	FOUR-N45
1265F	4(N45@f)	o0903147	FOUR-N45 FLAT
12660	4(N48)	o0903164	FOUR-N48
12661	4(N49)	o0903172	FOUR-N49
12662	4(N50)	o0903177	FOUR-N50
12663	4(N51)	o0903191	FOUR-N51
12664	4(N51@f)	o0903182	FOUR-N51 FLAT
12665	4(N52)	o0903199	FOUR-N52
12666	4(N54)	o0903205	FOUR-N54
12667	4(N57)	o0903257	FOUR-N57
12668	4(N58)	o0903288	FOUR-N58
12669	4(N59)	o0903298	FOUR-N59
1266A	4(N62)	o0903303	FOUR-N62
1266B	4(LAGAB~a)	o0902845	FOUR-LAGAB-A
1266C	5(N01)	o0902862	FIVE-N1
1266D	5(N01@f)	o0902852	FIVE-N1 FLAT
1266E	5(N02)	o0902874	FIVE-N2
1266F	5(N03)	o0902883	FIVE-N3
12670	5(N04)	o0902888	FIVE-N4
12671	5(N04@f)	o0902893	FIVE-N4 FLAT
12672	5(N05)	o0902898	FIVE-N5
12673	5(N08)	o0902919	FIVE-N8
12674	5(N14)	o0902934	FIVE-N14
12675	5(N14)~v1	o0902935	FIVE-N14 VARIANT 1
12676	5(N14@f)	o0902949	FIVE-N14 FLAT
12677	5(N15)	o0902959	FIVE-N15
12678	5(N18)	o0902966	FIVE-N18
12679	5(N19)	o0902976	FIVE-N19
1267A	5(N19@f)	o0902986	FIVE-N19 FLAT
1267B	5(N20)	o0902995	FIVE-N20
1267C	5(N21)	o0903003	FIVE-N21
1267D	5(N23)	o0903013	FIVE-N23
1267E	5(N34)	o0903064	FIVE-N34
1267F	5(N34@f)	o0903074	FIVE-N34 FLAT
12680	5(N35)	o0903081	FIVE-N35
12681	5(N36)	o0903086	FIVE-N36
12682	5(N45)	o0903140	FIVE-N45
12683	5(N45@f)	o0903148	FIVE-N45 FLAT
12684	5(N48)	o0903165	FIVE-N48
12685	5(N49)	o0903173	FIVE-N49
12686	5(N50)	o0903178	FIVE-N50
12687	5(N51)	o0903192	FIVE-N51
12688	5(N51@f)	o0903183	FIVE-N51 FLAT
12689	5(N52)	o0903200	FIVE-N52
1268A	5(N54)	o0903206	FIVE-N54
1268B	5(N57)	o0903264	FIVE-N57
1268C	5(N58)	o0903289	FIVE-N58
1268D	6(N01)	o0902863	SIX-N1
1268E	6(N01@f)	o0902853	SIX-N1 FLAT
1268F	6(N02)	o0902875	SIX-N2
12690	6(N08)	o0902920	SIX-N8
12691	6(N14)	o0902936	SIX-N14
12692	6(N14)~v1	o0902937	SIX-N14 VARIANT 1
12693	6(N14@f)	o0902950	SIX-N14 FLAT
12694	6(N18)	o0902967	SIX-N18
12695	6(N19)	o0902977	SIX-N19
12696	6(N19@f)	o0902987	SIX-N19 FLAT
12697	6(N20)	o0902996	SIX-N20
12698	6(N21)	o0903004	SIX-N21
12699	6(N24)	o0903021	SIX-N24
1269A	6(N34)	o0903065	SIX-N34
1269B	6(N34@f)	o0903075	SIX-N34 FLAT
1269C	6(N36)	o0903087	SIX-N36
1269D	6(N45)	o0903141	SIX-N45
1269E	6(N45@f)	o0903149	SIX-N45 FLAT
1269F	6(N48)	o0903166	SIX-N48
126A0	6(N51)	o0903193	SIX-N51
126A1	6(N51@f)	o0903184	SIX-N51 FLAT
126A2	6(N57)	o0903268	SIX-N57
126A3	6(N57)~v1	o0903269	SIX-N57 VARIANT 1
126A4	6(LAGAB~a)	o0902847	SIX-LAGAB-A
126A5	7(N01)	o0902864	SEVEN-N1
126A6	7(N01@f)	o0902854	SEVEN-N1 FLAT
126A7	7(N02)	o0902876	SEVEN-N2
126A8	7(N08)	o0902921	SEVEN-N8
126A9	7(N14)	o0902938	SEVEN-N14
126AA	7(N14@f)	o0902951	SEVEN-N14 FLAT
126AB	7(N18)	o0902968	SEVEN-N18
126AC	7(N19)	o0902978	SEVEN-N19
126AD	7(N19@f)	o0902988	SEVEN-N19 FLAT
126AE	7(N20)	o0902997	SEVEN-N20
126AF	7(N23)	o0903014	SEVEN-N23
126B0	7(N34)	o0903066	SEVEN-N34
126B1	7(N34@f)	o0903076	SEVEN-N34 FLAT
126B2	7(N36)	o0903088	SEVEN-N36
126B3	7(N45)	o0903142	SEVEN-N45
126B4	7(N45@f)	o0903150	SEVEN-N45 FLAT
126B5	7(N48)	o0903167	SEVEN-N48
126B6	7(N51)	o0903194	SEVEN-N51
126B7	7(N51@f)	o0903185	SEVEN-N51 FLAT
126B8	7(N57)	o0903273	SEVEN-N57
126B9	8(N01)	o0902865	EIGHT-N1
126BA	8(N01@f)	o0902855	EIGHT-N1 FLAT
126BB	8(N02)	o0902877	EIGHT-N2
126BC	8(N08)	o0902922	EIGHT-N8
126BD	8(N14)	o0902939	EIGHT-N14
126BE	8(N14@f)	o0902952	EIGHT-N14 FLAT
126BF	8(N18)	o0902969	EIGHT-N18
126C0	8(N19)	o0902979	EIGHT-N19
126C1	8(N19@f)	o0902989	EIGHT-N19 FLAT
126C2	8(N20)	o0902998	EIGHT-N20
126C3	8(N34)	o0903067	EIGHT-N34
126C4	8(N34@f)	o0903077	EIGHT-N34 FLAT
126C5	8(N36)	o0903089	EIGHT-N36
