code	U+125BD	1(N35)	o0903079	PROTO-CUNEIFORM NUMBER ONE-N35	7040
code	U+125BE	1(N36)	o0903082	PROTO-CUNEIFORM NUMBER ONE-N36	7046
code	U+125C0	1(N37)	o0903092	PROTO-CUNEIFORM NUMBER ONE-N37	7058
code	U+125C1	1(N38)	o0903094	PROTO-CUNEIFORM NUMBER ONE-N38	7061
code	U+125C2	1(N39~a)	o0903097	PROTO-CUNEIFORM NUMBER ONE-N39-A	7069
code	U+125C3	1(N39~b)	o0903098	PROTO-CUNEIFORM NUMBER ONE-N39-B	7074
code	U+125C4	1(N40)	o0903111	PROTO-CUNEIFORM NUMBER ONE-N40	7092
code	U+125C5	1(N41)	o0903115	PROTO-CUNEIFORM NUMBER ONE-N41	7097
code	U+125C6	1(N42~a)	o0903120	PROTO-CUNEIFORM NUMBER ONE-N42-A	7107
code	U+125C7	1(N42~b)	o0903121	PROTO-CUNEIFORM NUMBER ONE-N42-B	7112
code	U+125C8	1(N43)	o0903131	PROTO-CUNEIFORM NUMBER ONE-N43	7127
code	U+125C9	1(N44)	o0903133	PROTO-CUNEIFORM NUMBER ONE-N44	7130
code	U+125CA	1(N45)	o0903134	PROTO-CUNEIFORM NUMBER ONE-N45	7132
code	U+125CB	1(N45~a)	o0903135	PROTO-CUNEIFORM NUMBER ONE-N45-A	7142
code	U+125CD	1(N46)	o0903153	PROTO-CUNEIFORM NUMBER ONE-N46	7158
code	U+125CE	1(N46@f)	o0903156	PROTO-CUNEIFORM NUMBER ONE-N46 FLAT	7162
code	U+125CF	1(N47)	o0903158	PROTO-CUNEIFORM NUMBER ONE-N47	7165
code	U+125D0	1(N48)	o0903161	PROTO-CUNEIFORM NUMBER ONE-N48	7169
code	U+125D2	1(N49)	o0903169	PROTO-CUNEIFORM NUMBER ONE-N49	7177
code	U+125D3	1(N50)	o0903174	PROTO-CUNEIFORM NUMBER ONE-N50	7183
code	U+125D4	1(N51)	o0903188	PROTO-CUNEIFORM NUMBER ONE-N51	7189
code	U+125D6	1(N52)	o0903196	PROTO-CUNEIFORM NUMBER ONE-N52	7209
code	U+125D7	1(N54)	o0903202	PROTO-CUNEIFORM NUMBER ONE-N54	7221
code	U+125D8	1(N55)	o0903207	PROTO-CUNEIFORM NUMBER ONE-N55	7227
code	U+125D9	1(N56)	o0903208	PROTO-CUNEIFORM NUMBER ONE-N56	7229
code	U+125DA	1(N57)	o0903210	PROTO-CUNEIFORM NUMBER ONE-N57	7233
code	U+125DB	1(N58)	o0903280	PROTO-CUNEIFORM NUMBER ONE-N58	7247
code	U+125DC	1(N58@t)	o0903294	PROTO-CUNEIFORM NUMBER ONE-N58 TENU	7259
code	U+125DD	1(N60)	o0903301	PROTO-CUNEIFORM NUMBER ONE-N60	7268
code	U+125DE	1(N63)	o0903304	PROTO-CUNEIFORM NUMBER ONE-N63	7274
code	U+125DF	2(N01)	o0902859	PROTO-CUNEIFORM NUMBER TWO-N1	6698
code	U+125E0	2(N01@f)	o0902849	PROTO-CUNEIFORM NUMBER TWO-N1 FLAT	6711
code	U+125E1	2(N02)	o0902871	PROTO-CUNEIFORM NUMBER TWO-N2	6723
code	U+125E2	2(N03)	o0902880	PROTO-CUNEIFORM NUMBER TWO-N3	6733
code	U+125E3	2(N04)	o0902885	PROTO-CUNEIFORM NUMBER TWO-N4	6739
code	U+125E5	2(N05)	o0902895	PROTO-CUNEIFORM NUMBER TWO-N5	6751
code	U+125E6	2(N07~a)	o0902904	PROTO-CUNEIFORM NUMBER TWO-N7-A	6771
code	U+125E7	2(N07~b)	o0902905	PROTO-CUNEIFORM NUMBER TWO-N7-B	6775
code	U+125E8	2(N08)	o0902912	PROTO-CUNEIFORM NUMBER TWO-N8	6787
code	U+125E9	2(N08~b)	o0902913	PROTO-CUNEIFORM NUMBER TWO-N8-B	6799
code	U+125EA	2(N14)	o0902930	PROTO-CUNEIFORM NUMBER TWO-N14	6818
code	U+125EC	2(N15)	o0902956	PROTO-CUNEIFORM NUMBER TWO-N15	6846
code	U+125ED	2(N18)	o0902963	PROTO-CUNEIFORM NUMBER TWO-N18	6856
code	U+125EE	2(N19)	o0902973	PROTO-CUNEIFORM NUMBER TWO-N19	6867
code	U+125F0	2(N20)	o0902992	PROTO-CUNEIFORM NUMBER TWO-N20	6888
code	U+125F1	2(N21)	o0903000	PROTO-CUNEIFORM NUMBER TWO-N21	6898
code	U+125F2	2(N22)	o0903006	PROTO-CUNEIFORM NUMBER TWO-N22	6905
code	U+125F4	2(N23)	o0903011	PROTO-CUNEIFORM NUMBER TWO-N23	6913
code	U+125F6	2(N29~a)	o0903037	PROTO-CUNEIFORM NUMBER TWO-N29-A	6958
code	U+125F7	2(N29A~b)	o0903043	PROTO-CUNEIFORM NUMBER TWO-N29A-B	6969
code	U+125F8	2(N34)	o0903061	PROTO-CUNEIFORM NUMBER TWO-N34	7019
code	U+125FA	2(N35)	o0903080	PROTO-CUNEIFORM NUMBER TWO-N35	7041
code	U+125FB	2(N36)	o0903083	PROTO-CUNEIFORM NUMBER TWO-N36	7047
code	U+125FC	2(N37)	o0903093	PROTO-CUNEIFORM NUMBER TWO-N37	7059
code	U+125FD	2(N39~a)	o0903100	PROTO-CUNEIFORM NUMBER TWO-N39-A	7070
code	U+125FE	2(N39~b)	o0903101	PROTO-CUNEIFORM NUMBER TWO-N39-B	7075
code	U+125FF	2(N40)	o0903112	PROTO-CUNEIFORM NUMBER TWO-N40	7093
code	U+12600	2(N41)	o0903116	PROTO-CUNEIFORM NUMBER TWO-N41	7098
code	U+12601	2(N42~a)	o0903123	PROTO-CUNEIFORM NUMBER TWO-N42-A	7108
code	U+12602	2(N42~b)	o0903124	PROTO-CUNEIFORM NUMBER TWO-N42-B	7113
