	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk	1205	74	1279 	1895	78	1973
JN	0	0	0 	237	0	237
Umma	0	0	0 	92	1	93
Uqair	0	0	0 	42	0	42
Misc	33	0	33 	587	0	587
total	1238	564	1312 	2853 	1279	2932
