	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk	1205	548	1753 	1895	935	2830
JN	0	0	0 	237	0	237
Umma	0	0	0 	112	295	407
Uqair	0	0	0 	42	0	42
Misc	33	16	49 	609	49	658
total	1238	564	1802 	2895 	1279	4174
