006	+𒚢
009	+𒚩
010	𒚪
015	+𒛃
016	𒛊
018	+𒛍
019	~
027	+𒸎
028	𒛩
029	+𒛭
030	+𒛯𒛰
034	𒛿
037	𒜆
038	𒜉
039	+𒜓
042	~
043	+𒜍
055	 𒜵
060	 𒝇
070	+𒝡
072	+
074	+𒝶𒝵
075	+𒞭
083	+𒞿
085	𒞸
090	+𒟗𒟘𒟙
092	+𒟜
113	+𒠋𒠍𒠎𒠏
137	+𒢄
146	+𒢏
157	+𒢾
159	+
169	+𒣝
176	𒣮
182	+𒣸
185	+𒤌
186	+𒤎
196	+𒤸
201	+
207	+
225	𒦮
226	𒦹
227	+𒧀
244	+𒧚
251	+
255	+𒨂𒨃
265	𒨜
273	+𒨰
274	~
280	+𒩈
281	+𒩧
291	+𒩽𒩾𒩿
295	𒪉
296	+𒪌𒪍
305	~
308	+𒪥
310	+𒪮𒪲
315	+𒪻𒪼
316	+𒪾
325	+𒫔
331	+𒫤
341	+𒬝
351	𒬻𒬼
355	~
363	+
366	+𒭜
367	+
369	+𒭮
371	+𒭲
374	+𒭹𒭺
382	+𒮑
386	+𒷶
389	𒮮
392	+𒮾
401	+𒯕𒯖𒯗
403	+𒯞𒯟
408	+𒰘𒰙𒰚
411	+𒰡𒰢
420	+𒰲
425	+𒱃
426	+𒱆
443	+𒱴𒱵
452	+𒲉
456	+
468	𒲣𒲢
469	+𒲨
487	𒳘𒳗
494	+𒳤𒳠
520	+𒴒𒴓
527	+𒴝𒴞𒴟
551	+
555	+𒵊
557	+
572	+𒶈
