o0902841	7148	2(LAGAB~a)	12613	TWO-LAGAB-A	PCE		
o0902843	7149	3(LAGAB~a)	F3087	NONAME	PCE	CUSAS31	3LAGABa.png
o0902845	7150	4(LAGAB~a)	1266B	FOUR-LAGAB-A	PCE		
o0902847	7151	6(LAGAB~a)	126A4	SIX-LAGAB-A	PCE		
o0038414	7153a	1(|AŠ@c×DIŠ|)	F308B	NONAME	ACN	P005658	1n01xn58.png
o0902866	7161	9(N01)	126CB	NINE-N1	VSP 12558		
o0902868	7163	10(N01)	126E0	TEN-N1	OOR		
o0902910	7244	1(N08~b)	1258C	ONE-N8-B	ADD		
o0902913	7245	2(N08~b)	125E9	TWO-N8-B	ADD		
o0902915	7246	3(N08~b)	1261E	THREE-N8-B	ADD		
o0902917	7247	4(N08~b)	12649	FOUR-N8-B	ADD		
o0902918	7249	4(N08~c)	1264A	FOUR-N8-C	ADD		
o0902911	7251	1(N08~v)	F3080	NONAME	ADD	P006333	1N08v.png
o0902934	7267	5(N14)	12674	FIVE-N14	VSP 12566		
o0902936	7269	6(N14)	12691	SIX-N14	VSP 12567		
o0902941	7274	10(N14)	126E1	TEN-N14	OOR		
o0902942	7275	11(N14)	F307F	NONAME	OOR	P235767	11N14.png
o0902943	7276	12(N14)	126E5	TWELVE-N14	OOR		
o0902944	7277	22(N14)	F3085	NONAME	OOR	P235759	22N14.png
o0902954	7290	10(N14@f)	126E2	TEN-N14 FLAT	OOR		
o0902960	7297	1(N16)	12594	ONE-N16	ACN ACN p.43; possible fraction &quot;should probably be encoded in the [ACN] block&quot;		
o0902961	7299	1(N17)	12595	ONE-N17	ACN ACN p.43; SJT: associated w N16 and likely also a fraction; encode with N16		
o0902970	7309	9(N18)	126D2	NINE-N18	VSP 125FC		
o0902981	7321	9(N19)~v1	126D5	NINE-N19 VARIANT 1	VSP 12613		
o0903004	7347	6(N21)	12698	SIX-N21	OOR		
o0903007	7355	1(N22@v)	F3089	NONAME	ADD	P005442	N22v.png
o0903010	7357	1(N23)	1259C	ONE-N23	Pelm ACN p.43; more Pelm than Pcun &quot;Best encoded as part of a [Pelm] proposal&quot;		
o0903011	7358	2(N23)	125F4	TWO-N23	Pelm		
o0903012	7359	3(N23)	12627	THREE-N23	Pelm		
o0903013	7359a	5(N23)	1267D	FIVE-N23	Pelm		
o0903014	7360	7(N23)	126AF	SEVEN-N23	Pelm		
o0903019	7362a	2(N24)	125F5	TWO-N24	ADD		
o0903020	7363	4(N24)	12653	FOUR-N24	ADD		
o0903021	7364	6(N24)	12699	SIX-N24	ADD		
o0903015	7368	1(N24@f)	125A0	ONE-N24 FLAT	ADD		
o0903024	7377	1(N26)~v1	125A3	ONE-N26 VARIANT 1	VSP 125AB		
o0903027	7383	1(N27)~v1	125A6	ONE-N27 VARIANT 1	VSP 12624		
o0903032	7395	1(N29~a)	125AA	ONE-N29-A	VSP 125AD		
o0903037	7396	2(N29~a)	125F6	TWO-N29-A	ADD		
o0903038	7399	2(N29~b)	F3086	NONAME	ADD	CUSAS01	2N29b.png
o0903035	7401	1(N29~c)	F3081	NONAME	ADD	CUSAS01	1N29c.png
o0903043	7408	2(N29A~b)	125F7	TWO-N29A-B	ADD		
o0903047	7421	1(N30~b)	F3083	NONAME	ACN ACN omits but attested in CUSAS31, 99 [P006396] o i 5	CUSAS31	1N30b.png
o0903046	7427	1(N30~a)	125AF	ONE-N30-A	VSP 125AF		
o0903054	7435	1(N30C~b)	125B5	ONE-N30C-B	ADD		
o0903131	7557	1(N43)	125C8	ONE-N43	ADD ACN p.44; &quot;probably part of variant system Š&quot;		
o0903132	7558	4(N43)	1265D	FOUR-N43	ADD		
o0903133	7560	1(N44)	125C9	ONE-N44	DNE ACN p.44; only attested on one tablet; interpretation unclear		
o0903146	7577	3(N45@f)	12632	THREE-N45 FLAT	OOR		
o0903147	7578	4(N45@f)	1265F	FOUR-N45 FLAT	OOR		
o0903148	7579	5(N45@f)	12683	FIVE-N45 FLAT	OOR		
