o0900740	12856	GAN~b~v2	GAN~b
o0900741	12857	GAN~b~v3	GAN~b
o0900743	12860	GAN~c~v1	GAN~c
o0900798	12872	GEŠTU~a~v1	GEŠTU~a
o0900799	12873	GEŠTU~a~v2	GEŠTU~a
o0900802	12876	GEŠTU~c3~v1	GEŠTU~c3
o0900807	12884	GI~v1	GI
o0900837	1288F	GI₆~v1	GI₆
o0900847	12896	GIR~b~v1	GIR~b
o0900894	128B3	GIŠGAL~v1	GIŠGAL
o0900900	128B8	GIŠIMMAR~b1~v1	GIŠIMMAR~b1
o0900901	128B9	GIŠIMMAR~b1~v2	GIŠIMMAR~b1
o0900909	128C1	GU₄~v1	GU₄
o0900913	128C3	GU₇~v1	GU₇
o0900921	128CA	GUG₂~v1	GUG₂
o0900942	128D6	GUM~b@n~v1	GUM~b@n
o0900939	128D7	GUM~b~v1	GUM~b
o0900949	128DD	GURUŠ~a~v1	GURUŠ~a
o0900963	128E8	|HI.SUHUR~v1|	|HI.SUHUR|
o0900964	128E9	|HI.SUHUR~v2|	|HI.SUHUR|
o0900989	128F8	IDIGNA~v1	IDIGNA
o0901006	12901	IN~b~v1	IN~b
o0901017	12909	IR₁₁~v1	IR₁₁
o0901021	1290C	IŠ~a~v1	IŠ~a
o0901023	1290E	IŠ~b~v1	IŠ~b
o0901024	1290F	IŠ~b~v2	IŠ~b
o0901025	12910	IŠ~b~v3	IŠ~b
o0901026	12911	IŠ~b~v4	IŠ~b
o0901027	12912	IŠ~b~v5	IŠ~b
o0901059	12927	KAL~b1~v1	KAL~b1
o0901079	12935	KAŠ~a~v1	KAŠ~a
o0901081	12938	KAŠ~b~v1	KAŠ~b
o0901110	1294C	KINGAL~v1	KINGAL
o0901124	12956	KISIM~b~v1	KISIM~b
o0901125	12957	KISIM~b~v2	KISIM~b
o0901126	12958	KISIM~b~v3	KISIM~b
o0901129	1295B	KIŠ~v1	KIŠ
o0901134	1295F	KITI~v1	KITI
o0901161	12972	KUR~c~v1	KUR~c
o0901285	129B1	LAM~b~v1	LAM~b
o0901286	129B2	LAM~b~v2	LAM~b
o0901302	129B4	LI~v1	LI
o0901305	129B8	LU₂~v1	LU₂
o0901306	129B9	LU₂~v2	LU₂
o0901311	129BB	LUGAL~v1	LUGAL
o0901314	129C0	MA~v1	MA
o0901362	129DA	MAR~a~v1	MAR~a
o0901385	129E6	MEN~a~v1	MEN~a
o0901388	129E9	MES~v1	MES
o0901394	129EE	MUD~v1	MUD
o0901425	12A01	MUŠ₃~a@g~v1	MUŠ₃~a@g
o0901420	12A02	MUŠ₃~a~v1	MUŠ₃~a
o0901421	12A03	MUŠ₃~a~v2	MUŠ₃~a
o0901443	12A10	NA₂~a~v1	NA₂~a
o0901449	12A14	NAB~v1	NAB
o0901450	12A15	NAB~v2	NAB
o0901458	12A1A	NAGAR~a~v1	NAGAR~a
o0901459	12A1B	NAGAR~a~v2	NAGAR~a
o0901460	12A1C	NAGAR~a~v3	NAGAR~a
o0901462	12A1E	NAGAR~b~v1	NAGAR~b
o0901473	12A28	NAMEŠDA~v1	NAMEŠDA
o0901476	12A2A	NANNA~a~v1	NANNA~a
o0901484	12A30	NE~a~v1	NE~a
o0901485	12A31	NE~a~v2	NE~a
o0901497	12A39	NESAG₂~b~v1	NESAG₂~b
o0901522	12A48	NIMGIR~v1	NIMGIR
o0901526	12A67	NINDA₂~v1	NINDA₂
o0901595	12A7D	NUN~c~v1	NUN~c
o0901596	12A7E	NUN~c~v2	NUN~c
o0901597	12A7F	NUN~c~v3	NUN~c
o0901619	12A88	NUNUZ~c~v1	NUNUZ~c
o0901620	12A89	NUNUZ~c~v2	NUNUZ~c
o0901621	12A8A	NUNUZ~c~v3	NUNUZ~c
o0901626	12A8C	PA~a~v1	PA~a
o0901627	12A8D	PA~a~v2	PA~a
o0901641	12A94	PAP~b~v1	PAP~b
o0901671	12AA5	RU~v1	RU
o0901676	12AA8	SA~c~v1	SA~c
o0901678	12AAE	SAG~v1	SAG
o0901679	12AB2	SAG~v2	SAG
