o0981027	SA~c	𒪧	𒪧𒪨
o0981028	SAG	𒪮	𒪩𒪮𒪲
o0981031	|SAG@n×GEŠTU~b|	𒪭	𒪭𒪳
o0981050	SANGA~a	𒪼	𒪺𒪻𒪼
o0981051	SANGA~b	𒪾	𒪽𒪾
o0981059	SI	𒫇	𒫄𒫇
o0981071	SI₄~d	𒫋	𒫋𒫌
o0981072	SI₄~f	𒫍	𒫍𒫎
o0981078	SIG₂~a3	𒫓	𒫓𒫔𒫕
o0981086	SIG₂~d2	𒫝	𒫝𒫞
o0981091	SIG₇	𒫣	𒫣𒫤
o0981096	|SILA₃~a×DUG~a|	𒫨	𒬉𒫨
o0981146	SIMUG	𒬘	𒬘𒬙
o0981148	SU~a	𒬝	𒬛𒬝
o0981167	SUKUD@g~b	𒬬	𒬬𒬭
o0981171	SUM~a	𒬲	𒬰𒬲
o0981177	ŠA	𒬷	𒬻𒬼𒬷
o0981187	ŠAB~a	𒭃	𒭂𒭃
o0981188	ŠAB~b	𒭅	𒭄𒭅
o0981189	ŠAGAN	𒭇	𒭆𒭇
o0981203	|ŠE~a.NAM₂|	𒭔	𒭔𒭕
o0981208	ŠE₃	𒭜	𒭚𒭜
o0981209	ŠE₃@t	𒭝	𒭛𒭝
o0981212	ŠEN~a	𒭡	𒭠𒭡
o0981213	ŠEN~b	𒭢	𒭢𒭣
o0981216	ŠEN~d	𒭦	𒭦𒭨𒭩
o0981221	ŠEŠ~a	𒭭	𒭭𒭮
o0981225	ŠIM~a	𒭳	𒭲𒭳𒭴
o0981227	ŠIR~a	𒭷	𒭶𒭷
o0981228	ŠIR~b	𒭺	𒭸𒭹𒭺
o0981252	ŠU₂~a	𒮘	𒮑𒮘
o0981256	|ŠU₂~a.EN~a|	𒮔	𒮓𒮔
o0981273	ŠURUPPAK~a	𒮣	𒮢𒮣
o0981274	ŠURUPPAK~b	𒮥	𒮤𒮥
o0981291	TAK₄~a	𒮴	𒮶𒮴
o0981297	TI	𒮺	𒮺𒮾
o0981308	TUG₂~a@g	𒯇	𒯆𒯇
o0981320	TUR	𒯗	𒯓𒯕𒯖𒯗
o0981330	U₂~b	𒯞	𒯝𒯞𒯟
o0981392	U₈	𒰘	𒰖𒰘𒰙𒰚
o0981396	UBI~c	𒰝	𒰝𒰞
o0981398	UD₅~a	𒰡	𒰟𒰡𒰢
o0981414	UKKIN~a	𒰱	𒰲𒰱
o0981415	UKKIN~b	𒰳	𒰼𒰳
o0981431	UMUN₂	𒱂	𒱃𒱂
o0981432	UNUG~a	𒱄	𒱆𒱄
o0981445	UR₃~a1	𒱒	𒱒𒱓
o0981459	URI₃~a	𒱟	𒱟𒱠
o0981482	URUDU~a	𒱵	𒱳𒱴𒱵
o0981491	UŠ~b	𒱾	𒱾𒲁
o0981492	|UŠ~b×TAR~c|	𒱿	𒲂𒱿
o0981501	UTUA~b	𒲉	𒲈𒲉
o0981513	ZAG~a	𒲔	𒲓𒲔
o0981532	ZATU623	𒲡	𒲣𒲢𒲡
o0981536	ZATU625	𒲧	𒲧𒲨
o0981541	ZATU628~a	𒲭	𒲭𒲮
o0981543	ZATU629	𒲱	𒲰𒲱
o0981546	ZATU632~a	𒲴	𒲴𒲵
o0981553	ZATU636	𒲽	𒲼𒲽
o0981564	ZATU647	𒳈	𒳈𒳉
o0981566	ZATU649	𒳋	𒳋𒳌
o0981568	ZATU651	𒳎	𒳘𒳗𒳎
o0981583	ZATU662	𒳞	𒳤𒳠𒳞𒳢
o0981584	|ZATU662×1(N14)|	𒳡	𒳡𒳟𒳣
o0981595	ZATU675~b	𒳰	𒳯𒳰
o0981606	ZATU680~b	𒳼	𒳻𒳼
o0981626	ZATU693	𒴐	𒴐𒴒𒴓
o0981630	ZATU694~c	𒴖	𒴖𒴗
