127A0	𒡔	PROTO-CUNEIFORM SIGN GAN-B	o0900738
127A1	𒡘	PROTO-CUNEIFORM SIGN GAN-C	o0900742
127A2	𒡙	PROTO-CUNEIFORM SIGN GAN-C TIMES DIN	o0900747
127A3	𒡚	PROTO-CUNEIFORM SIGN GAN-C TIMES HI	o0900751
127A4	𒡛	PROTO-CUNEIFORM SIGN GAN-C TIMES HI PLUS DIN	o0900755
127A5	𒡜	PROTO-CUNEIFORM SIGN GAN-C TIMES LAGAB-B	o0900761
127A6	𒡞	PROTO-CUNEIFORM SIGN GAN-C TIMES SIG7	o0900767
127A7	󳀺	PROTO-CUNEIFORM SIGN GAN-C TIMES FOUR-N57 PLUS GAR	o0900763
127A8	𒡧	PROTO-CUNEIFORM SIGN GAN2	o0900778
127A9	𒡨	PROTO-CUNEIFORM SIGN GAR	o0900779
127AA	𒡩	PROTO-CUNEIFORM SIGN GAR GUNU-A	o0900781
127AB	𒡪	PROTO-CUNEIFORM SIGN GAR GUNU-B	o0900782
127AC	𒡫	PROTO-CUNEIFORM SIGN GAR GUNU-C	o0900783
127AD	𒡬	PROTO-CUNEIFORM SIGN GAR3	o0900784
127AE	𒡭	PROTO-CUNEIFORM SIGN GARA2-A	o0900786
127AF	𒡯	PROTO-CUNEIFORM SIGN GAZI	o0900788
127B0	𒡰	PROTO-CUNEIFORM SIGN GESHTIN-A	o0900790
127B1	󳁮	PROTO-CUNEIFORM SIGN GESHTIN-D	o0900792
127B2	󳁯	PROTO-CUNEIFORM SIGN GESHTIN-E	o0900793
127B3	𒡱	PROTO-CUNEIFORM SIGN GESHTU-A	o0900797
127B4	𒡴	PROTO-CUNEIFORM SIGN GESHTU-B	o0900800
127B5	𒡵	PROTO-CUNEIFORM SIGN GESHTU-C3	o0900801
127B6	𒡷	PROTO-CUNEIFORM SIGN GESHTU-C5	o0900803
127B7	𒡸	PROTO-CUNEIFORM SIGN GI	o0900806
127B8	󳀻	PROTO-CUNEIFORM SIGN GI TIMES A	o0900809
127B9	𒡹	PROTO-CUNEIFORM SIGN GI TIMES KU-B1	o0900812
127BA	𒡺	PROTO-CUNEIFORM SIGN GI TIMES NAM2	o0900817
127BB	𒡻	PROTO-CUNEIFORM SIGN GI TIMES SIG2-D1	o0900819
127BC	𒡾	PROTO-CUNEIFORM SIGN GI TIMES ONE-N58 TENU	o0900816
127BD	𒡿	PROTO-CUNEIFORM SIGN GI OVER GI	o0900822
127BE	𒢀	PROTO-CUNEIFORM SIGN GI OVER GI TIMES GISH TENU	o0900823
127BF	𒢃	PROTO-CUNEIFORM SIGN GI TENU	o0900827
127C0	𒢉	PROTO-CUNEIFORM SIGN GI4-A	o0900829
127C1	𒢊	PROTO-CUNEIFORM SIGN GI4-A TIMES A	o0900832
127C2	𒢌	PROTO-CUNEIFORM SIGN GI4-B	o0900830
127C3	𒢍	PROTO-CUNEIFORM SIGN GI4-B OVER GI4-B	o0900835
127C4	𒢎	PROTO-CUNEIFORM SIGN GI6	o0900836
127C5	𒢐	PROTO-CUNEIFORM SIGN GIBIL	o0900839
127C6	𒢒	PROTO-CUNEIFORM SIGN GIBIL6	o0900841
127C7	𒢓	PROTO-CUNEIFORM SIGN GIR-A	o0900845
127C8	𒢔	PROTO-CUNEIFORM SIGN GIR-A BESIDE KU6-A	o0900853
127C9	𒢕	PROTO-CUNEIFORM SIGN GIR-B	o0900846
127CA	𒢘	PROTO-CUNEIFORM SIGN GIR-C	o0900848
127CB	𒢙	PROTO-CUNEIFORM SIGN GIR-D	o0900849
127CC	𒢚	PROTO-CUNEIFORM SIGN GIR2-A	o0900855
127CD	𒢜	PROTO-CUNEIFORM SIGN GIR3-A	o0900858
127CE	𒢝	PROTO-CUNEIFORM SIGN GIR3-A TIMES SHE-B	o0900864
127CF	𒢞	PROTO-CUNEIFORM SIGN GIR3-B	o0900859
127D0	𒢟	PROTO-CUNEIFORM SIGN GIR3-C	o0900860
127D1	𒢢	PROTO-CUNEIFORM SIGN GIR3 GUNU-A	o0900869
127D2	𒢣	PROTO-CUNEIFORM SIGN GIR3 GUNU-B	o0900870
127D3	𒢤	PROTO-CUNEIFORM SIGN GIR3 GUNU-C	o0900871
127D4	𒢥	PROTO-CUNEIFORM SIGN GISAL-A	o0900873
127D5	𒢦	PROTO-CUNEIFORM SIGN GISAL-B	o0900874
127D6	𒢧	PROTO-CUNEIFORM SIGN GISH	o0900875
127D7	𒢨	PROTO-CUNEIFORM SIGN GISH BESIDE TE	o0900877
127D8	𒢩	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM A	o0900879
127D9	𒢪	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM B	o0900880
127DA	𒢫	PROTO-CUNEIFORM SIGN GISH TIMES DIN PLUS DIN FORM C	o0900881
127DB	𒢬	PROTO-CUNEIFORM SIGN GISH TIMES SHU2-A	o0900883
127DC	𒢭	PROTO-CUNEIFORM SIGN GISH TIMES SHU2-B	o0900884
127DD	𒢮	PROTO-CUNEIFORM SIGN GISH TENU	o0900885
127DE	𒢯	PROTO-CUNEIFORM SIGN GISH3-A	o0900889
127DF	𒢰	PROTO-CUNEIFORM SIGN GISH3-A OVER GISH3-A	o0900892
127E0	𒢱	PROTO-CUNEIFORM SIGN GISH3-B	o0900890
127E1	𒢲	PROTO-CUNEIFORM SIGN GISHGAL	o0900893
127E2	𒢴	PROTO-CUNEIFORM SIGN GISHIMMAR-A1	o0900896
127E3	𒢵	PROTO-CUNEIFORM SIGN GISHIMMAR-A2	o0900897
127E4	𒢶	PROTO-CUNEIFORM SIGN GISHIMMAR-A3	o0900898
127E5	𒢷	PROTO-CUNEIFORM SIGN GISHIMMAR-B1	o0900899
127E6	󳁰	PROTO-CUNEIFORM SIGN GISHIMMAR-B2	o0900902
127E7	𒢺	PROTO-CUNEIFORM SIGN GISHIMMAR-B3	o0900903
127E8	𒢼	PROTO-CUNEIFORM SIGN GU	o0900906
127E9	𒢽	PROTO-CUNEIFORM SIGN GU2	o0900907
127EA	𒢾	PROTO-CUNEIFORM SIGN GU4	o0900908
127EB	𒢿	PROTO-CUNEIFORM SIGN GU4 BESIDE ZATU755-B	o0900911
127EC	𒣀	PROTO-CUNEIFORM SIGN GU4 GUNU	o0900914
127ED	𒣂	PROTO-CUNEIFORM SIGN GU7	o0900912
127EE	𒣄	PROTO-CUNEIFORM SIGN GUB3-A	o0900916
127EF	𒣅	PROTO-CUNEIFORM SIGN GUB3-B	o0900917
127F0	𒣆	PROTO-CUNEIFORM SIGN GUB3-C	o0900918
127F1	𒣇	PROTO-CUNEIFORM SIGN GUB3-D	o0900919
127F2	𒣈	PROTO-CUNEIFORM SIGN GUG2	o0900920
127F3	𒣍	PROTO-CUNEIFORM SIGN GUKKAL-A	o0900929
127F4	𒣎	PROTO-CUNEIFORM SIGN GUKKAL-A BESIDE HI GUNU-A	o0900934
127F5	𒣏	PROTO-CUNEIFORM SIGN GUKKAL-B	o0900930
127F6	𒣐	PROTO-CUNEIFORM SIGN GUKKAL-C	o0900931
127F7	𒣑	PROTO-CUNEIFORM SIGN GUKKAL-D	o0900932
127F8	𒣒	PROTO-CUNEIFORM SIGN GUL	o0900935
127F9	𒣓	PROTO-CUNEIFORM SIGN GUM-A	o0900937
127FA	𒣔	PROTO-CUNEIFORM SIGN GUM-B	o0900938
127FB	𒣕	PROTO-CUNEIFORM SIGN GUM-B NUTILLU	o0900941
127FC	𒣘	PROTO-CUNEIFORM SIGN GUN3-A	o0900944
127FD	𒣙	PROTO-CUNEIFORM SIGN GUN3-B	o0900945
127FE	𒣚	PROTO-CUNEIFORM SIGN GUR	o0900946
127FF	𒣛	PROTO-CUNEIFORM SIGN GURUSH-A	o0900948
12800	𒣜	PROTO-CUNEIFORM SIGN GURUSH-A TIMES TWO-N14	o0900952
12801	𒣞	PROTO-CUNEIFORM SIGN GURUSH-B	o0900950
12802	𒣟	PROTO-CUNEIFORM SIGN GURUSH-B TIMES TWO-N14	o0900953
12803	𒣠	PROTO-CUNEIFORM SIGN GURUSH-C TIMES TWO-N14	o0900954
12804	𒣡	PROTO-CUNEIFORM SIGN GURUSHDA	o0900955
12805	𒣢	PROTO-CUNEIFORM SIGN HAL	o0900956
12806	𒣣	PROTO-CUNEIFORM SIGN HALUB	o0900957
12807	𒣤	PROTO-CUNEIFORM SIGN HASHHUR	o0900958
12808	𒣥	PROTO-CUNEIFORM SIGN HASHHUR TIMES MA	o0900959
12809	𒣦	PROTO-CUNEIFORM SIGN HI	o0900960
1280A	𒣧	PROTO-CUNEIFORM SIGN HI BESIDE SUHUR	o0900962
1280B	𒣪	PROTO-CUNEIFORM SIGN HI TIMES LAGAB-A	o0900966
1280C	𒣬	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57	o0900968
1280D	𒣭	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 BESIDE HI TIMES ONE-N57	o0900969
1280E	𒣮	PROTO-CUNEIFORM SIGN HI TIMES ONE-N57 TENU	o0900970
1280F	𒣰	PROTO-CUNEIFORM SIGN HI GUNU-A	o0900976
12810	𒣱	PROTO-CUNEIFORM SIGN HI GUNU-B	o0900977
12811	𒣲	PROTO-CUNEIFORM SIGN HI GUNU-C	o0900978
12812	𒣳	PROTO-CUNEIFORM SIGN I	o0900981
12813	𒣴	PROTO-CUNEIFORM SIGN IB-A	o0900983
12814	𒣵	PROTO-CUNEIFORM SIGN IB-A NUTILLU	o0900987
12815	𒣶	PROTO-CUNEIFORM SIGN IB-B	o0900984
12816	󳁲	PROTO-CUNEIFORM SIGN IB-C	o0900985
12817	𒣷	PROTO-CUNEIFORM SIGN IDIGNA	o0900988
12818	𒣹	PROTO-CUNEIFORM SIGN IG-A	o0900991
12819	𒣺	PROTO-CUNEIFORM SIGN IG-B	o0900992
1281A	𒣻	PROTO-CUNEIFORM SIGN IL	o0900995
1281B	𒣼	PROTO-CUNEIFORM SIGN ILDUM-A	o0900997
1281C	𒣽	PROTO-CUNEIFORM SIGN ILDUM-B	o0900998
1281D	𒣾	PROTO-CUNEIFORM SIGN IM-A	o0901000
1281E	𒣿	PROTO-CUNEIFORM SIGN IM-B	o0901001
1281F	𒤀	PROTO-CUNEIFORM SIGN IN-B	o0901005
12820	𒤂	PROTO-CUNEIFORM SIGN IN-D	o0901007
12821	𒤃	PROTO-CUNEIFORM SIGN IR-A	o0901009
12822	𒤄	PROTO-CUNEIFORM SIGN IR-A BESIDE GA2-A1	o0901014
12823	𒤅	PROTO-CUNEIFORM SIGN IR-B	o0901010
12824	𒤆	PROTO-CUNEIFORM SIGN IR-C	o0901011
12825	𒤇	PROTO-CUNEIFORM SIGN IR-D	o0901012
12826	𒤈	PROTO-CUNEIFORM SIGN IR11	o0901016
12827	𒤊	PROTO-CUNEIFORM SIGN IRHAN	o0901018
12828	𒤋	PROTO-CUNEIFORM SIGN ISH-A	o0901020
12829	𒤍	PROTO-CUNEIFORM SIGN ISH-B	o0901022
1282A	𒤓	PROTO-CUNEIFORM SIGN ISH-C	o0901028
1282B	𒤔	PROTO-CUNEIFORM SIGN KA-A	o0901030
1282C	𒤕	PROTO-CUNEIFORM SIGN KA-A TIMES SAR-A	o0901036
1282D	𒤘	PROTO-CUNEIFORM SIGN KA2-A	o0901038
1282E	𒤙	PROTO-CUNEIFORM SIGN KA2-B	o0901039
1282F	𒤚	PROTO-CUNEIFORM SIGN KA2-C	o0901040
12830	𒤜	PROTO-CUNEIFORM SIGN KAB	o0901044
12831	𒤞	PROTO-CUNEIFORM SIGN KAD4-A	o0901047
12832	𒤟	PROTO-CUNEIFORM SIGN KAD4-B	o0901048
12833	𒤢	PROTO-CUNEIFORM SIGN KAK-A	o0901052
12834	𒤣	PROTO-CUNEIFORM SIGN KAK-A BESIDE GA2-A1	o0901055
12835	𒤤	PROTO-CUNEIFORM SIGN KAK-B	o0901053
12836	𒤥	PROTO-CUNEIFORM SIGN KAL-A	o0901057
12837	𒤦	PROTO-CUNEIFORM SIGN KAL-B1	o0901058
12838	𒤨	PROTO-CUNEIFORM SIGN KAL-B2	o0901060
12839	𒤩	PROTO-CUNEIFORM SIGN KALAM-A	o0901062
1283A	𒤪	PROTO-CUNEIFORM SIGN KALAM-B	o0901063
1283B	𒤫	PROTO-CUNEIFORM SIGN KALAM-C	o0901064
1283C	𒤬	PROTO-CUNEIFORM SIGN KALAM-D	o0901065
1283D	𒤭	PROTO-CUNEIFORM SIGN KALAM-E	o0901066
1283E	𒤮	PROTO-CUNEIFORM SIGN KALAM-F	o0901067
1283F	󳀼	PROTO-CUNEIFORM SIGN KALAM-G	o0901068
12840	󳀽	PROTO-CUNEIFORM SIGN KALAM-H	o0901069
12841	󳀾	PROTO-CUNEIFORM SIGN KALAM-H2	o0901070
12842	𒤯	PROTO-CUNEIFORM SIGN KAR	o0901071
12843	𒤰	PROTO-CUNEIFORM SIGN KAR2-A	o0901073
12844	𒤱	PROTO-CUNEIFORM SIGN KAR2-B	o0901074
12845	𒤲	PROTO-CUNEIFORM SIGN KASKAL	o0901075
12846	𒤴	PROTO-CUNEIFORM SIGN KASH-A	o0901078
12847	𒤶	PROTO-CUNEIFORM SIGN KASH-B	o0901080
12848	𒤺	PROTO-CUNEIFORM SIGN KASH-C	o0901082
12849	𒤻	PROTO-CUNEIFORM SIGN KASH-D	o0901083
1284A	𒤼	PROTO-CUNEIFORM SIGN KI	o0901090
1284B	𒤽	PROTO-CUNEIFORM SIGN KI NUTILLU	o0901091
1284C	𒤾	PROTO-CUNEIFORM SIGN KI NUTILLU TIMES DUB-A	o0901093
1284D	𒤿	PROTO-CUNEIFORM SIGN KIB	o0901094
1284E	𒥀	PROTO-CUNEIFORM SIGN KIB GUNU	o0901095
1284F	𒥁	PROTO-CUNEIFORM SIGN KID-A	o0901097
12850	𒥂	PROTO-CUNEIFORM SIGN KID-B	o0901098
12851	𒥃	PROTO-CUNEIFORM SIGN KID-C	o0901099
12852	𒥄	PROTO-CUNEIFORM SIGN KID-D	o0901100
12853	𒥅	PROTO-CUNEIFORM SIGN KID-E	o0901101
12854	𒥆	PROTO-CUNEIFORM SIGN KIN	o0901102
12855	𒥇	PROTO-CUNEIFORM SIGN KIN2-A	o0901104
12856	󳁳	PROTO-CUNEIFORM SIGN KIN2-B	o0901105
12857	𒥈	PROTO-CUNEIFORM SIGN KIN2-C	o0901106
12858	𒥉	PROTO-CUNEIFORM SIGN KIN2-D	o0901107
12859	𒥊	PROTO-CUNEIFORM SIGN KIN2-E	o0901108
1285A	𒥋	PROTO-CUNEIFORM SIGN KINGAL	o0901109
1285B	𒥍	PROTO-CUNEIFORM SIGN KIR11	o0901111
1285C	𒥎	PROTO-CUNEIFORM SIGN KISAL-A1	o0901113
1285D	𒥐	PROTO-CUNEIFORM SIGN KISAL-B1	o0901115
1285E	𒥑	PROTO-CUNEIFORM SIGN KISAL-B2	o0901116
1285F	𒥒	PROTO-CUNEIFORM SIGN KISAL-B2 TENU	o0901120
12860	𒥓	PROTO-CUNEIFORM SIGN KISAL-B3	o0901117
12861	𒥔	PROTO-CUNEIFORM SIGN KISIM-A	o0901122
12862	𒥕	PROTO-CUNEIFORM SIGN KISIM-B	o0901123
12863	𒥙	PROTO-CUNEIFORM SIGN KISIM-C	o0901127
12864	𒥚	PROTO-CUNEIFORM SIGN KISH	o0901128
12865	𒥜	PROTO-CUNEIFORM SIGN KISHIK-A	o0901131
12866	𒥝	PROTO-CUNEIFORM SIGN KISHIK-B	o0901132
12867	𒥞	PROTO-CUNEIFORM SIGN KITI	o0901133
12868	𒥠	PROTO-CUNEIFORM SIGN KU-A	o0901136
12869	𒥡	PROTO-CUNEIFORM SIGN KU-B1	o0901137
1286A	𒥢	PROTO-CUNEIFORM SIGN KU-B2	o0901138
1286B	𒥣	PROTO-CUNEIFORM SIGN KU3-A	o0901142
1286C	𒥤	PROTO-CUNEIFORM SIGN KU3-C	o0901143
1286D	𒥥	PROTO-CUNEIFORM SIGN KU6-A	o0901145
1286E	𒥦	PROTO-CUNEIFORM SIGN KU6-A BESIDE ONE-N2	o0901149
1286F	𒥨	PROTO-CUNEIFORM SIGN KU6-A JOINING KU6-A	o0901153
12870	𒥪	PROTO-CUNEIFORM SIGN KU6-C	o0901146
12871	𒥫	PROTO-CUNEIFORM SIGN KU6-D	o0901147
12872	𒥬	PROTO-CUNEIFORM SIGN KUR-A	o0901158
12873	𒥭	PROTO-CUNEIFORM SIGN KUR-A BESIDE E2-A	o0901164
12874	𒥯	PROTO-CUNEIFORM SIGN KUR-B	o0901159
12875	𒥱	PROTO-CUNEIFORM SIGN KUR-C	o0901160
12876	𒥴	PROTO-CUNEIFORM SIGN KUR GUNU-A	o0901169
12877	𒥵	PROTO-CUNEIFORM SIGN KUR GUNU-B	o0901170
12878	𒥶	PROTO-CUNEIFORM SIGN KUSHU2-A	o0901172
12879	𒥷	PROTO-CUNEIFORM SIGN KUSHU2-B	o0901173
1287A	𒥸	PROTO-CUNEIFORM SIGN KUSHU2-C	o0901174
1287B	𒥹	PROTO-CUNEIFORM SIGN KUSHU2-D	o0901175
1287C	𒥺	PROTO-CUNEIFORM SIGN KUSHU2-E	o0901176
1287D	𒥻	PROTO-CUNEIFORM SIGN KUSHU2-F	o0901177
1287E	𒥼	PROTO-CUNEIFORM SIGN LA-B	o0901179
1287F	𒥾	PROTO-CUNEIFORM SIGN LA-D	o0901181
12880	𒥿	PROTO-CUNEIFORM SIGN LA2	o0901184
12881	𒦀	PROTO-CUNEIFORM SIGN LAGAB-A	o0901186
12882	𒦅	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A	o0901207
12883	𒦆	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KU6-A JOINING KU6-A	o0901209
12884	𒦇	PROTO-CUNEIFORM SIGN LAGAB-A TIMES KUSHU2-A TENU	o0901213
12885	󳀙	PROTO-CUNEIFORM SIGN LAGAB-A TIMES LA2-A	o0901215
12886	𒦉	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ME-A	o0901219
12887	𒦊	PROTO-CUNEIFORM SIGN LAGAB-A TIMES NUN-B	o0901229
12888	𒦋	PROTO-CUNEIFORM SIGN LAGAB-A TIMES PA-A	o0901231
12889	𒦎	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SU-A	o0901239
1288A	𒦏	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHA	o0901243
1288B	𒦐	PROTO-CUNEIFORM SIGN LAGAB-A TIMES SHITA-A1	o0901245
1288C	𒦑	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TI	o0901248
1288D	𒦒	PROTO-CUNEIFORM SIGN LAGAB-A TIMES U4	o0901250
1288E	𒦓	PROTO-CUNEIFORM SIGN LAGAB-A TIMES UB	o0901253
1288F	𒦕	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ZATU753	o0901258
12890	𒦖	PROTO-CUNEIFORM SIGN LAGAB-A TIMES TWO-N14	o0901223
12891	󳀚	PROTO-CUNEIFORM SIGN LAGAB-A TIMES ONE-N58	o0901225
12892	𒦗	PROTO-CUNEIFORM SIGN LAGAB-B	o0901187
12893	𒦚	PROTO-CUNEIFORM SIGN LAGAB-B TIMES HI	o0901201
12894	𒦛	PROTO-CUNEIFORM SIGN LAGAB-B TIMES KUR-E	o0901211
12895	𒦜	PROTO-CUNEIFORM SIGN LAGAB-B TIMES PA-A	o0901232
12896	𒦞	PROTO-CUNEIFORM SIGN LAGAB-B TIMES U4	o0901251
12897	𒦟	PROTO-CUNEIFORM SIGN LAGAB-B OVER LAGAB-B	o0901260
12898	𒦠	PROTO-CUNEIFORM SIGN LAGAR-A	o0901262
12899	𒦡	PROTO-CUNEIFORM SIGN LAGAR-A REVERSED	o0901267
1289A	𒦢	PROTO-CUNEIFORM SIGN LAGAR-B1	o0901263
1289B	𒦣	PROTO-CUNEIFORM SIGN LAGAR-B2	o0901264
1289C	𒦤	PROTO-CUNEIFORM SIGN LAGAR-C	o0901265
1289D	𒦥	PROTO-CUNEIFORM SIGN LAHTAN2	o0901268
1289E	𒦦	PROTO-CUNEIFORM SIGN LAL2-A	o0901270
1289F	󳀿	PROTO-CUNEIFORM SIGN LAL2-A TIMES NAGA-A	o0901275
128A0	𒦨	PROTO-CUNEIFORM SIGN LAL2-A TIMES NIM-B2	o0901277
128A1	𒦩	PROTO-CUNEIFORM SIGN LAL2-B	o0901271
128A2	𒦪	PROTO-CUNEIFORM SIGN LAL3-A	o0901279
128A3	𒦫	PROTO-CUNEIFORM SIGN LAL3-B	o0901280
128A4	𒦬	PROTO-CUNEIFORM SIGN LAM-A	o0901283
128A5	𒦭	PROTO-CUNEIFORM SIGN LAM-B	o0901284
128A6	𒦮	PROTO-CUNEIFORM SIGN LAM-B REVERSED	o0901290
128A7	𒦰	PROTO-CUNEIFORM SIGN LAM-B TENU	o0901294
128A8	𒦳	PROTO-CUNEIFORM SIGN LI	o0901301
128A9	𒦵	PROTO-CUNEIFORM SIGN LISH	o0901303
128AA	𒦶	PROTO-CUNEIFORM SIGN LU2	o0901304
128AB	𒦺	PROTO-CUNEIFORM SIGN LUGAL	o0901310
128AC	𒦼	PROTO-CUNEIFORM SIGN LUM	o0901312
128AD	𒦽	PROTO-CUNEIFORM SIGN MA	o0901313
128AE	𒦾	PROTO-CUNEIFORM SIGN MA TIMES MA	o0901316
128AF	𒦿	PROTO-CUNEIFORM SIGN MA TIMES ONE-N58	o0901318
128B0	𒧂	PROTO-CUNEIFORM SIGN MA2	o0901320
128B1	𒧃	PROTO-CUNEIFORM SIGN MAGUR-A	o0901322
128B2	𒧄	PROTO-CUNEIFORM SIGN MAGUR-B	o0901323
128B3	𒧅	PROTO-CUNEIFORM SIGN MAH-A	o0901325
128B4	𒧆	PROTO-CUNEIFORM SIGN MAH-A TIMES AB2	o0901328
128B5	𒧇	PROTO-CUNEIFORM SIGN MAH-A TIMES GUKKAL-A	o0901330
128B6	𒧈	PROTO-CUNEIFORM SIGN MAH-A TIMES KU6-A	o0901332
128B7	𒧉	PROTO-CUNEIFORM SIGN MAH-A TIMES MASH	o0901335
128B8	𒧊	PROTO-CUNEIFORM SIGN MAH-A TIMES NA-A	o0901338
128B9	𒧋	PROTO-CUNEIFORM SIGN MAH-A TIMES SILA3-A TIMES UMBIN-A	o0901343
128BA	𒧌	PROTO-CUNEIFORM SIGN MAH-A TIMES TUG2-A	o0901345
128BB	󳁀	PROTO-CUNEIFORM SIGN MAH-A TIMES TUN3-C	o0901347
128BC	𒧎	PROTO-CUNEIFORM SIGN MAH-A TIMES UDU-A	o0901351
128BD	𒧏	PROTO-CUNEIFORM SIGN MAH-A TIMES UR-A	o0901353
128BE	𒧐	PROTO-CUNEIFORM SIGN MAH-A TIMES UTUA-A	o0901355
128BF	𒧒	PROTO-CUNEIFORM SIGN MAH-A TIMES ZATU659	o0901359
128C0	𒧓	PROTO-CUNEIFORM SIGN MAH-B	o0901326
128C1	𒧖	PROTO-CUNEIFORM SIGN MAH-B TIMES NA-A	o0901339
128C2	𒧗	PROTO-CUNEIFORM SIGN MAH-B TIMES SAL	o0901341
128C3	𒧘	PROTO-CUNEIFORM SIGN MAR-A	o0901361
128C4	𒧙	PROTO-CUNEIFORM SIGN MAR-A TENU	o0901375
128C5	𒧛	PROTO-CUNEIFORM SIGN MAR-B	o0901363
128C6	󳀂	PROTO-CUNEIFORM SIGN MAR-B TIMES GAR	o0901365
128C7	𒧝	PROTO-CUNEIFORM SIGN MAR-B TIMES SHE-A	o0901369
128C8	󳀜	PROTO-CUNEIFORM SIGN MAR GUNU-A	o0901373
128C9	𒧟	PROTO-CUNEIFORM SIGN MASH	o0901376
128CA	𒧠	PROTO-CUNEIFORM SIGN MASH2	o0901377
128CB	𒧡	PROTO-CUNEIFORM SIGN MASH2 GUNU	o0901378
128CC	𒧢	PROTO-CUNEIFORM SIGN ME-A	o0901380
128CD	𒧣	PROTO-CUNEIFORM SIGN ME-B	o0901381
128CE	𒧤	PROTO-CUNEIFORM SIGN ME3	o0901382
128CF	𒧥	PROTO-CUNEIFORM SIGN MEN-A	o0901384
128D0	𒧧	PROTO-CUNEIFORM SIGN MEN-B	o0901386
128D1	𒧨	PROTO-CUNEIFORM SIGN MES	o0901387
128D2	𒧪	PROTO-CUNEIFORM SIGN MIR-A	o0901390
128D3	𒧫	PROTO-CUNEIFORM SIGN MIR-B	o0901391
128D4	𒧬	PROTO-CUNEIFORM SIGN MU	o0901392
128D5	𒧭	PROTO-CUNEIFORM SIGN MUD	o0901393
128D6	𒧯	PROTO-CUNEIFORM SIGN MUD3-A	o0901396
128D7	𒧰	PROTO-CUNEIFORM SIGN MUD3-A GUNU	o0901401
128D8	𒧱	PROTO-CUNEIFORM SIGN MUD3-B	o0901397
128D9	𒧲	PROTO-CUNEIFORM SIGN MUD3-C	o0901398
128DA	𒧳	PROTO-CUNEIFORM SIGN MUD3-D	o0901399
128DB	𒧴	PROTO-CUNEIFORM SIGN MUL	o0901404
128DC	𒧵	PROTO-CUNEIFORM SIGN MUN-A1	o0901407
128DD	𒧶	PROTO-CUNEIFORM SIGN MUN-A2	o0901408
128DE	𒧷	PROTO-CUNEIFORM SIGN MUN-A3	o0901409
128DF	𒧸	PROTO-CUNEIFORM SIGN MUN-A4	o0901410
128E0	𒧹	PROTO-CUNEIFORM SIGN MUN-B	o0901411
128E1	𒧺	PROTO-CUNEIFORM SIGN MUNSHUB-A	o0901413
128E2	𒧻	PROTO-CUNEIFORM SIGN MUNSHUB-B	o0901414
128E3	𒧼	PROTO-CUNEIFORM SIGN MUNU3	o0901415
128E4	𒧽	PROTO-CUNEIFORM SIGN MURUB2	o0901416
128E5	𒧾	PROTO-CUNEIFORM SIGN MUSH	o0901417
128E6	𒧿	PROTO-CUNEIFORM SIGN MUSH3-A	o0901419
128E7	𒨀	PROTO-CUNEIFORM SIGN MUSH3-A GUNU	o0901424
128E8	𒨄	PROTO-CUNEIFORM SIGN MUSH3-B	o0901422
128E9	𒨅	PROTO-CUNEIFORM SIGN MUSHEN	o0901426
128EA	𒨆	PROTO-CUNEIFORM SIGN MUSHEN BESIDE UR3-B2	o0901429
128EB	󳀃	PROTO-CUNEIFORM SIGN MUSHEN BESIDE THREE-N58	o0901427
128EC	𒨈	PROTO-CUNEIFORM SIGN MUSHEN TIMES ONE-N57	o0901430
128ED	𒨉	PROTO-CUNEIFORM SIGN MUSHEN TIMES TWO-N57	o0901431
128EE	𒨊	PROTO-CUNEIFORM SIGN MUSHEN TIMES THREE-N57	o0901432
128EF	𒷱	PROTO-CUNEIFORM SIGN ONE-N2 BESIDE RU	o0902870
128F0	𒷴	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SIG	o0901748
128F1	𒷵	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHAH2-A	o0903219
128F2	𒷶	PROTO-CUNEIFORM SIGN ONE-N57 BESIDE SHUBUR	o0903220
128F3	𒷸	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE AB2	o0903223
128F4	󳀩	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE BIR3-A	o0903225
128F5	𒷹	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE KU6-A	o0903227
128F6	𒷻	PROTO-CUNEIFORM SIGN TWO-N57 BESIDE SHUBUR	o0903231
128F7	𒷼	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE AMAR	o0903235
128F8	𒷿	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE GAR	o0903243
128F9	𒸀	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-A1	o0903245
128FA	𒸁	PROTO-CUNEIFORM SIGN THREE-N57 BESIDE NUNUZ-C	o0903246
