BAU083		264	0					Uncertain, only in UET 2 277=P005867 2 X
BAU084	o0903234	265	7659	3(N57)	U+F263D	󲘽	
BAU085	o0900981	266	1595	I	U+F285A	󲡚	
BAU086		267	0					Entry "6(N57)" read GI₆#? in CDLI
BAU087		268	0					[Omitted]
BAU088	o0900159	269	170	BARA₂~a~v1	U+F2743	󲝃	
BAU089		270	0					[Omitted]
BAU090		271	0					[Omitted]
BAU091	o0902156	272	2916	U₂~a	U+F2A8A	󲪊	
BAU092	o0901887	273	2606	SUKKAL	U+F2A46	󲩆	
BAU093	o0902290	274	5892	UMUN₂	U+F2AB3	󲪳	
BAU094	o0901866	275	2581	SIMUG	U+F2A39	󲨹	
BAU095	o0900112	276	118	AŠ₂	U+F2720	󲜠	
BAU096	o0902033	277	2777	ŠU	U+F2A04	󲨄	
BAU097	o0900217	278	705	DA~a	U+F275A	󲝚	
BAU098		279	0					[Omitted]
BAU099	o0900916	280	1515	GUB₃~a	U+F283A	󲠺	
BAU100	o0900916	281	1515	GUB₃~a	U+F283A	󲠺	
BAU101	o0900217	282	705	DA~a	U+F275A	󲝚	
BAU102	o0900010	283	10	A₂	U+F26EA	󲛪	
BAU103		284	0					[Omitted]
BAU103a	o0901483	285	2173	NE~a	U+F2958	󲥘	
BAU103c	o0900839	286	1435	GIBIL	U+F280F	󲠏	
BAU103d	o0900839	287	1435	GIBIL	U+F280F	󲠏	
BAU103e	o0900839	288	1435	GIBIL	U+F280F	󲠏	
BAU104	o0901023	289	1634	IŠ~b~v1	U+F2875	󲡵	
BAU105	o0901024	290	1635	IŠ~b~v2	U+F2877	󲡷	
BAU106	o0901493	291	2183	NESAG₂~a	U+F295F	󲥟	
BAU107	o0900729	292	1317	GAL~a	U+F27E9	󲟩	
BAU108	o0901912	293	2640	ŠA~v2	U+F29BF	󲦿	
BAU109		294	0					[Omitted]
BAU110	o0901020	295	1631	IŠ~a	U+F2873	󲡳	
BAU111	o0901102	296	1722	KIN	U+F28A8	󲢨	
BAU112	o0901102	297	1722	KIN	U+F28A8	󲢨	
BAU113		298	0					Uncertain, only on sealing.
BAU114		299	0					[Omitted]
BAU115		300	0					[Omitted]
BAU115a		301	0					[Omitted]
BAU115b		302	0					[Omitted]
BAU116		303	0					[Omitted]
BAU117		304	0					[Omitted]
BAU118	o0902094	305	2849	TAK₄~a	U+F2A62	󲩢	
BAU119		306	0					Uncertain, only in U. 14896
BAU120		307	0					[Omitted]
BAU121		308	0					[Omitted]
BAU122		309	0					[Omitted]
BAU123	o0901312	310	1927	LUM	U+F2903	󲤃	
BAU124	o0900900	311	1496	GIŠIMMAR~b1~v1	U+F282F	󲠯	
BAU125	o0901904	312	2629	SUM~b	U+F2A50	󲩐	
BAU126	o0901641	313	2331	PAP~b~v1	U+F2997	󲦗	
BAU127		314	0					[Omitted]
BAU128	o0901075	315	1693	KASKAL	U+F289C	󲢜	
BAU129		316	0					[Omitted]
BAU130	o0901946	317	2678	ŠE~a	U+F29D6	󲧖	
BAU131	o0901301	318	1916	LI	U+F28FA	󲣺	
BAU132	o0901452	319	2142	NAGA~a	U+F2941	󲥁	
BAU133	o0902113	320	2871	TU~b1			
BAU134		321	0					[Omitted]
BAU135		322	0					Read as sequence TU~b GU₄ A.
BAU136		323	0					[Omitted]
BAU137		324	0					[Omitted]
BAU138	o0901717	325	2414	SAR			
BAU139	o0901775	326	2507	SILA₃~a	U+F2A31	󲨱	
BAU140	o0901934	327	2661	ŠAH₂~a	U+F29CD	󲧍	
BAU141	o0901627	328	2322	PA~a~v2	U+F298F	󲦏	
BAU142		329	0					Read as sequence PA ŠA₃~a1
BAU142b		330	0					Read as sequence 2(N57)? ŠA₃~a1
BAU143	o0900541	331	1108	ERIM~a	U+F27C5	󲟅	
BAU144	o0900276	332	765	DIN	U+F277E	󲝾	
