o0900059 36.61688 27.52435
o0900063 37.46002 30.73766
o0900082 82.86977 80.57306
o0900087 45.28929 30.73766
o0900100 38.42363 30.73766
o0900104 38.42363 27.52435
o0900102 38.42363 30.73766
o0900106 57.81612 54.0487
o0900169 60.58647 54.0487
o0900177 35.65327 30.73766
o0900181 35.53282 27.52435
o0900228 32.76247 30.73766
o0900229 32.64201 30.73766
o0900230 32.76247 30.73766
o0900231 32.76247 27.52435
o0900236 32.64201 30.73766
o0900237 58.65927 54.0487
o0900247 30.83527 29.58043
o0900370 54.80486 54.0487
o0900461 54.92531 54.0487
o0900476 47.9392 29.58043
o0900479 32.76247 30.73766
o0900535 60.14285 54.0487
o0900538 35.81348 27.52435
o0900550 59.74332 54.0487
o0900567 58.77972 54.0487
o0900592 35.65327 27.52435
o0900554 35.65327 27.52435
o0900736 54.45412 54.0487
o0900738 110.97984 107.09741
o0900826 31.79886 30.73766
o0900827 42.27803 30.73766
o0900834 28.20126 27.52435
o0900840 35.65327 27.52435
o0900846 57.81612 54.0487
o0900883 33.60562 30.73766
o0900912 62.79878 54.0487
o0900938 65.52493 54.0487
o0900945 32.64201 30.73766
o0901003 28.90807 27.52435
o0901018 28.46576 27.52435
o0901022 177.30275 160.14612
o0901088 31.79886 27.52435
o0901089 32.76247 27.52435
o0901109 61.67053 54.0487
o0901155 31.67842 27.52435
o0901273 32.05325 27.52435
o0901271 31.79886 30.73766
o0901284 93.46939 80.57306
o0901309 34.68967 27.52435
o0901393 69.37935 54.0487
o0901426 32.76247 30.73766
o0901435 33.72607 27.52435
o0901430 32.76247 30.73766
o0901431 32.76247 30.73766
o0901432 32.76247 30.73766
o0901442 59.74332 54.0487
o0901448 88.65138 80.57306
o0901464 32.76247 30.73766
o0901466 38.54408 30.73766
o0901467 32.76247 30.73766
o0901496 59.74332 54.0487
o0901504 34.68967 27.52435
o0901588 37.33957 30.73766
o0901634 28.90807 27.52435
o0901665 30.83527 27.52435
o0901670 59.62286 54.0487
o0901675 61.55008 54.0487
o0901724 60.70692 54.0487
o0901742 69.37935 54.0487
o0901744 58.56387 54.0487
o0901769 41.43489 30.73766
o0901771 54.92531 54.0487
o0901832 27.70355 27.52435
o0901880 30.83527 30.73766
o0901896 54.92531 54.0487
o0901906 28.18536 27.52435
o0901930 71.30655 54.0487
o0901955 56.99031 54.0487
o0901961 38.42363 30.73766
o0901962 67.45213 54.0487
o0901969 57.81612 54.0487
o0901974 82.74931 80.57306
o0901991 36.49643 27.52435
o0902046 83.66173 80.57306
o0902048 28.28835 27.52435
o0902068 59.74332 54.0487
o0902070 59.74332 54.0487
o0902072 27.98155 27.52435
o0902157 80.94257 80.57306
o0902289 35.65327 30.73766
o0902404 32.76247 30.73766
o0902407 32.64201 30.73766
o0902553 31.67842 27.52435
o0902567 32.76247 30.73766
o0902594 40.35083 30.73766
o0902597 32.64201 27.52435
o0902607 61.42963 54.0487
o0902614 28.06792 27.52435
o0902618 33.72607 30.73766
o0902626 56.85251 54.0487
o0902699 61.67053 54.0487
o0902706 54.92531 54.0487
o0902710 33.72607 30.73766
o0902735 27.94446 27.52435
o0902773 42.38644 27.52435
o0902793 35.65327 27.52435
o0902814 29.87166 27.52435
o0902823 29.51031 27.52435
