	1280	1281	1282	1283	1284	1285	1286	1287	1288	1289	128A	128B	128C	128D	128E	128F
0	𒠀=12800	𒠐=12810	𒠠=12820	𒠰=12830	𒡀=12840	𒡐=12850	𒡠=12860	𒡰=12870	𒢀=12880	𒢐=12890	𒢠=128A0	𒢰=128B0	𒣀=128C0	𒣐=128D0	𒣠=128E0	𒣰=128F0
1	𒠁=12801	𒠑=12811	𒠡=12821	𒠱=12831	𒡁=12841	𒡑=12851	𒡡=12861	𒡱=12871	𒢁=12881	𒢑=12891	𒢡=128A1	𒢱=128B1	𒣁=128C1	𒣑=128D1	𒣡=128E1	𒣱=128F1
2	𒠂=12802	𒠒=12812	𒠢=12822	𒠲=12832	𒡂=12842	𒡒=12852	𒡢=12862	𒡲=12872	𒢂=12882	𒢒=12892	𒢢=128A2	𒢲=128B2	𒣂=128C2	𒣒=128D2	𒣢=128E2	𒣲=128F2
3	𒠃=12803	𒠓=12813	𒠣=12823	𒠳=12833	𒡃=12843	𒡓=12853	𒡣=12863	𒡳=12873	𒢃=12883	𒢓=12893	𒢣=128A3	𒢳=128B3	𒣃=128C3	𒣓=128D3	𒣣=128E3	𒣳=128F3
4	𒠄=12804	𒠔=12814	𒠤=12824	𒠴=12834	𒡄=12844	𒡔=12854	𒡤=12864	𒡴=12874	𒢄=12884	𒢔=12894	𒢤=128A4	𒢴=128B4	𒣄=128C4	𒣔=128D4	𒣤=128E4	𒣴=128F4
5	𒠅=12805	𒠕=12815	𒠥=12825	𒠵=12835	𒡅=12845	𒡕=12855	𒡥=12865	𒡵=12875	𒢅=12885	𒢕=12895	𒢥=128A5	𒢵=128B5	𒣅=128C5	𒣕=128D5	𒣥=128E5	𒣵=128F5
6	𒠆=12806	𒠖=12816	𒠦=12826	𒠶=12836	𒡆=12846	𒡖=12856	𒡦=12866	𒡶=12876	𒢆=12886	𒢖=12896	𒢦=128A6	𒢶=128B6	𒣆=128C6	𒣖=128D6	𒣦=128E6	𒣶=128F6
7	𒠇=12807	𒠗=12817	𒠧=12827	𒠷=12837	𒡇=12847	𒡗=12857	𒡧=12867	𒡷=12877	𒢇=12887	𒢗=12897	𒢧=128A7	𒢷=128B7	𒣇=128C7	𒣗=128D7	𒣧=128E7	𒣷=128F7
8	𒠈=12808	𒠘=12818	𒠨=12828	𒠸=12838	𒡈=12848	𒡘=12858	𒡨=12868	𒡸=12878	𒢈=12888	𒢘=12898	𒢨=128A8	𒢸=128B8	𒣈=128C8	𒣘=128D8	𒣨=128E8	𒣸=128F8
9	𒠉=12809	𒠙=12819	𒠩=12829	𒠹=12839	𒡉=12849	𒡙=12859	𒡩=12869	𒡹=12879	𒢉=12889	𒢙=12899	𒢩=128A9	𒢹=128B9	𒣉=128C9	𒣙=128D9	𒣩=128E9	𒣹=128F9
A	𒠊=1280A	𒠚=1281A	𒠪=1282A	𒠺=1283A	𒡊=1284A	𒡚=1285A	𒡪=1286A	𒡺=1287A	𒢊=1288A	𒢚=1289A	𒢪=128AA	𒢺=128BA	𒣊=128CA	𒣚=128DA	𒣪=128EA	𒣺=128FA
B	𒠋=1280B	𒠛=1281B	𒠫=1282B	𒠻=1283B	𒡋=1284B	𒡛=1285B	𒡫=1286B	𒡻=1287B	𒢋=1288B	𒢛=1289B	𒢫=128AB	𒢻=128BB	𒣋=128CB	𒣛=128DB	𒣫=128EB	𒣻=128FB
C	𒠌=1280C	𒠜=1281C	𒠬=1282C	𒠼=1283C	𒡌=1284C	𒡜=1285C	𒡬=1286C	𒡼=1287C	𒢌=1288C	𒢜=1289C	𒢬=128AC	𒢼=128BC	𒣌=128CC	𒣜=128DC	𒣬=128EC	𒣼=128FC
D	𒠍=1280D	𒠝=1281D	𒠭=1282D	𒠽=1283D	𒡍=1284D	𒡝=1285D	𒡭=1286D	𒡽=1287D	𒢍=1288D	𒢝=1289D	𒢭=128AD	𒢽=128BD	𒣍=128CD	𒣝=128DD	𒣭=128ED	𒣽=128FD
E	𒠎=1280E	𒠞=1281E	𒠮=1282E	𒠾=1283E	𒡎=1284E	𒡞=1285E	𒡮=1286E	𒡾=1287E	𒢎=1288E	𒢞=1289E	𒢮=128AE	𒢾=128BE	𒣎=128CE	𒣞=128DE	𒣮=128EE	𒣾=128FE
F	𒠏=1280F	𒠟=1281F	𒠯=1282F	𒠿=1283F	𒡏=1284F	𒡟=1285F	𒡯=1286F	𒡿=1287F	𒢏=1288F	𒢟=1289F	𒢯=128AF	𒢿=128BF	𒣏=128CF	𒣟=128DF	𒣯=128EF	𒣿=128FF
