	1270	1271	1272	1273	1274	1275	1276	1277	1278	1279	127A	127B	127C	127D	127E	127F
0	𒜀=12700	𒜐=12710	𒜠=12720	𒜰=12730	𒝀=12740	𒝐=12750	𒝠=12760	𒝰=12770	𒞀=12780	𒞐=12790	𒞠=127A0	𒞰=127B0	𒟀=127C0	𒟐=127D0	𒟠=127E0	𒟰=127F0
1	𒜁=12701	𒜑=12711	𒜡=12721	𒜱=12731	𒝁=12741	𒝑=12751	𒝡=12761	𒝱=12771	𒞁=12781	𒞑=12791	𒞡=127A1	𒞱=127B1	𒟁=127C1	𒟑=127D1	𒟡=127E1	𒟱=127F1
2	𒜂=12702	𒜒=12712	𒜢=12722	𒜲=12732	𒝂=12742	𒝒=12752	𒝢=12762	𒝲=12772	𒞂=12782	𒞒=12792	𒞢=127A2	𒞲=127B2	𒟂=127C2	𒟒=127D2	𒟢=127E2	𒟲=127F2
3	𒜃=12703	𒜓=12713	𒜣=12723	𒜳=12733	𒝃=12743	𒝓=12753	𒝣=12763	𒝳=12773	𒞃=12783	𒞓=12793	𒞣=127A3	𒞳=127B3	𒟃=127C3	𒟓=127D3	𒟣=127E3	𒟳=127F3
4	𒜄=12704	𒜔=12714	𒜤=12724	𒜴=12734	𒝄=12744	𒝔=12754	𒝤=12764	𒝴=12774	𒞄=12784	𒞔=12794	𒞤=127A4	𒞴=127B4	𒟄=127C4	𒟔=127D4	𒟤=127E4	𒟴=127F4
5	𒜅=12705	𒜕=12715	𒜥=12725	𒜵=12735	𒝅=12745	𒝕=12755	𒝥=12765	𒝵=12775	𒞅=12785	𒞕=12795	𒞥=127A5	𒞵=127B5	𒟅=127C5	𒟕=127D5	𒟥=127E5	𒟵=127F5
6	𒜆=12706	𒜖=12716	𒜦=12726	𒜶=12736	𒝆=12746	𒝖=12756	𒝦=12766	𒝶=12776	𒞆=12786	𒞖=12796	𒞦=127A6	𒞶=127B6	𒟆=127C6	𒟖=127D6	𒟦=127E6	𒟶=127F6
7	𒜇=12707	𒜗=12717	𒜧=12727	𒜷=12737	𒝇=12747	𒝗=12757	𒝧=12767	𒝷=12777	𒞇=12787	𒞗=12797	𒞧=127A7	𒞷=127B7	𒟇=127C7	𒟗=127D7	𒟧=127E7	𒟷=127F7
8	𒜈=12708	𒜘=12718	𒜨=12728	𒜸=12738	𒝈=12748	𒝘=12758	𒝨=12768	𒝸=12778	𒞈=12788	𒞘=12798	𒞨=127A8	𒞸=127B8	𒟈=127C8	𒟘=127D8	𒟨=127E8	𒟸=127F8
9	𒜉=12709	𒜙=12719	𒜩=12729	𒜹=12739	𒝉=12749	𒝙=12759	𒝩=12769	𒝹=12779	𒞉=12789	𒞙=12799	𒞩=127A9	𒞹=127B9	𒟉=127C9	𒟙=127D9	𒟩=127E9	𒟹=127F9
A	𒜊=1270A	𒜚=1271A	𒜪=1272A	𒜺=1273A	𒝊=1274A	𒝚=1275A	𒝪=1276A	𒝺=1277A	𒞊=1278A	𒞚=1279A	𒞪=127AA	𒞺=127BA	𒟊=127CA	𒟚=127DA	𒟪=127EA	𒟺=127FA
B	𒜋=1270B	𒜛=1271B	𒜫=1272B	𒜻=1273B	𒝋=1274B	𒝛=1275B	𒝫=1276B	𒝻=1277B	𒞋=1278B	𒞛=1279B	𒞫=127AB	𒞻=127BB	𒟋=127CB	𒟛=127DB	𒟫=127EB	𒟻=127FB
C	𒜌=1270C	𒜜=1271C	𒜬=1272C	𒜼=1273C	𒝌=1274C	𒝜=1275C	𒝬=1276C	𒝼=1277C	𒞌=1278C	𒞜=1279C	𒞬=127AC	𒞼=127BC	𒟌=127CC	𒟜=127DC	𒟬=127EC	𒟼=127FC
D	𒜍=1270D	𒜝=1271D	𒜭=1272D	𒜽=1273D	𒝍=1274D	𒝝=1275D	𒝭=1276D	𒝽=1277D	𒞍=1278D	𒞝=1279D	𒞭=127AD	𒞽=127BD	𒟍=127CD	𒟝=127DD	𒟭=127ED	𒟽=127FD
E	𒜎=1270E	𒜞=1271E	𒜮=1272E	𒜾=1273E	𒝎=1274E	𒝞=1275E	𒝮=1276E	𒝾=1277E	𒞎=1278E	𒞞=1279E	𒞮=127AE	𒞾=127BE	𒟎=127CE	𒟞=127DE	𒟮=127EE	𒟾=127FE
F	𒜏=1270F	𒜟=1271F	𒜯=1272F	𒜿=1273F	𒝏=1274F	𒝟=1275F	𒝯=1276F	𒝿=1277F	𒞏=1278F	𒞟=1279F	𒞯=127AF	𒞿=127BF	𒟏=127CF	𒟟=127DF	𒟯=127EF	𒟿=127FF
