id_text	designation	artifact_type	period	provenience	museum_no	accession_no	excavation_no	artifact_comments	seal_information	collections	dates	alternative_years	genres	languages	materials	publications_key	publications_type	publications_exact_ref
P000589	CDLI Lexical 000002, ex. 021	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 074327		W 21418,01			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376037;1444313	history;history	pl. 4, W 21418,1
P000590	CDLI Lexical 000022, ex. 026	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134922		W 21418,05			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376038;1444314	history;history	pl. 42, W 21418,5
P000591	CDLI Lexical 000023, ex. 035	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134924		W 21418,07 + W 21418,12			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376039;1454050;1444314	history;history;history	pl. 58, W 21418,7+
P000593	CDLI Lexical Archaic Unidentified, ex. 105	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21451		W 21451			German Archaeological Institute, Berlin, Germany			Lexical	undetermined	clay	1429059;1444316	history;history	pl. 97, W 21451;
P000594	CDLI Lexical 000002, ex. 141	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134937		W 21473			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1429060;1444317	history;history	pl. 19, W 21473;
P000595	CDLI Lexical 000023, ex. 057	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 074334		W 21535 + W 21536			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1429061;1444318	history;history	pl. 61, W 21535+;
P000597	CDLI Lexical 000002, ex. 057	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21552		W 21552			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1429062;1444319	history;history	pl. 10, W 21552;
P000598	CDLI Lexical 000023, ex. 050	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21681		W 21681			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	Englund1993ATU3; sec638	history; history	pl. 60, W 21681; catalogue
P000599	CDLI Lexical 000002, ex. 076	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21697		W 21697			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376040;1444320	history;history	pl. 12, W 21697
P000600	CDLI Lexical 000023, ex. 015	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134952		W 21723			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376041;1444321	history;history	pl. 55, W 21723
P000601	CDLI Lexical 000002, ex. 016	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21735,3		W 21735,3			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376042;1444322	history;history	pl. 3, W 21735,3
P000602	CDLI Lexical 000023, ex. 083	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	HD: W 21735,4		W 21735,4			German Archaeological Institute, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1376043;1444323	history;history	pl. 64, W 21735,4
P000603	CDLI Lexical 000022, ex. 019	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM 134956		W 21741			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1376044;1444324	history;history	pl. 41, W 21741
P000604	CDLI Lexical 000002, ex. 037	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	IM —		W 21745			National Museum of Iraq, Baghdad, Iraq	00.00.00.00		Lexical	undetermined	clay	1429064	history	pl. 6, W 21745;
