󳀃	o0901427	𒨅.󰄜	F3003	F3003	|MUŠEN.3(N58)|~1	~01
𒮒	o0902041	𒮘.𒛌	12B92	12B92	|ŠU₂.AN|~1	~01
󳀄	o0902054	𒮘.𒪑	F3004	F3004	|ŠU₂.PAP~a|~1	~01
󳀅	o0902150	𒯘.󰄔	F3005	F3005	|TUR₃~a.5(N57)|~1	~01
󳀉	o0902199	󳂔.𒕢.𒕜	F3009	F3009	|U₄×(1(N14).3(N01)).1(N14).4(N08)|~1	~01
𒷱	o0902870	𒖾.𒪣	12DF1	12DF1	|1(N02).RU~2|~1	~01
𒸇	o0903263	󰄓.𒨾	12E07	12E07	|4(N57).NI~b|~1	~01
