o0902929	ACN	1(N14)	N	-	𒕢	o0902929
o0902930	ACN	2(N14)	N	-	𒕣	o0902930
o0902932	ACN	3(N14)	N	-	𒕤	o0902932
o0902933	ACN	4(N14)	N	-	𒕥	o0902933
o0902935	ACN	5(N14)	N	-	𒕦,󰂀	o0902934
o0902937	ACN	6(N14)	N	-	𒕧,󰂁	o0902936
o0902938	ACN	7(N14)	N	-	𒕨,󰂂	o0902938
o0902939	ACN	8(N14)	N	-	𒕩,󰂃	o0902939
o0902940	ACN	9(N14)	N	-	𒕪,󰂄	o0902940
o0902941	OOR	10(N14)	N	-	󰃛	o0902941
o0902942	OOR5	11(N14)	N	-	󰃜	-
o0902943	OOR5	12(N14)	N	-	󰃝	o0902943
o0902944	OOR5	22(N14)	N	-	󰃞	-
o0902945	ACN	1(N14@f)	N	-	𒙖	o0902945
o0902946	ACN	2(N14@f)	N	-	𒙗	o0902946
o0902947	ACN	3(N14@f)	N	-	𒙘	o0902947
o0902948	ACN	4(N14@f)	N	-	𒙙	o0902948
o0902949	ACN	5(N14@f)	N	-	𒙚,󰂅	o0902949
o0902950	ACN	6(N14@f)	N	-	𒙛,󰂆	o0902950
o0902951	ACN	7(N14@f)	N	-	𒙜,󰂇	o0902951
o0902952	ACN	8(N14@f)	N	-	𒙝,󰂈	o0902952
o0902953	ACN	9(N14@f)	N	-	𒙞,󰂉	o0902953
o0902954	OOR	10(N14@f)	N	-	󰃟	o0902954
o0902955	ACN	1(N15)	N	-	𒗇	o0902955
o0902956	ACN	2(N15)	N	-	𒗈	o0902956
o0902957	ACN	3(N15)	N	-	𒗉	o0902957
o0902958	ACN	4(N15)	N	-	𒗊	o0902958
o0902959	ACN	5(N15)	N	-	𒗋,󰂊	o0902959
o0902960	ACN	1(N16)	N	-	󰃻	o0902960
o0902961	ACN	1(N17)	N	-	󰃼	o0902961
o0902962	ACN	1(N18)	N	-	𒗴	o0902962
o0902963	ACN	2(N18)	N	-	𒗵	o0902963
o0902964	ACN	3(N18)	N	-	𒗶	o0902964
o0902965	ACN	4(N18)	N	-	𒗷	o0902965
o0902966	ACN	5(N18)	N	-	𒗸,󰂋	o0902966
o0902967	ACN	6(N18)	N	-	𒗹,󰂌	o0902967
o0902968	ACN	7(N18)	N	-	𒗺,󰂍	o0902968
o0902969	ACN	8(N18)	N	-	𒗻,󰂎	o0902969
o0902971	ACN	9(N18)	N	-	𒗼,󰂏	o0902970
o0902972	ACN	1(N19)	N	-	𒘋	o0902972
o0902973	ACN	2(N19)	N	-	𒘌	o0902973
o0902974	ACN	3(N19)	N	-	𒘍	o0902974
o0902975	ACN	4(N19)	N	-	𒘎	o0902975
o0902976	ACN	5(N19)	N	-	𒘏,󰂐	o0902976
o0902977	ACN	6(N19)	N	-	𒘐,󰂑	o0902977
o0902978	ACN	7(N19)	N	-	𒘑,󰂒	o0902978
o0902979	ACN	8(N19)	N	-	𒘒,󰂓	o0902979
o0902980	ACN	9(N19)	N	-	𒘓,󰂕,󰂔	o0902980
o0902982	ACN	1(N19@f)	N	-	𒙻	o0902982
o0902983	ACN	2(N19@f)	N	-	𒙼	o0902983
o0902984	ACN	3(N19@f)	N	-	𒙽	o0902984
o0902985	ACN	4(N19@f)	N	-	𒙾	o0902985
o0902986	ACN	5(N19@f)	N	-	𒙿,󰂖	o0902986
o0902987	ACN	6(N19@f)	N	-	𒚀,󰂗	o0902987
o0902988	ACN	7(N19@f)	N	-	𒚁,󰂘	o0902988
o0902989	ACN	8(N19@f)	N	-	𒚂,󰂙	o0902989
o0902990	ACN	9(N19@f)	N	-	𒚃,󰂚	o0902990
o0902991	ACN	1(N20)	N	-	𒘶	o0902991
o0902992	ACN	2(N20)	N	-	𒘷	o0902992
o0902993	ACN	3(N20)	N	-	𒘸	o0902993
o0902994	ACN	4(N20)	N	-	𒘹	o0902994
o0902995	ACN	5(N20)	N	-	𒘺,󰂛	o0902995
o0902996	ACN	6(N20)	N	-	𒘻,󰂜	o0902996
