EAAR053	o0900236	DARA₃~b	DARA3b	DARA₃~b	𒜮	/pcsl/atu5/images/053.png
EAAR054	o0900246	|DARA₃~c×(KAR₂.ŠE~a)|	DARA3c+KAR2+ŠEa	DARA₃~c.KAR₂.ŠE~a	𒜱	/pcsl/atu5/images/054.png
EAAR055	o0900243	|DARA₃~d×KAR₂|	DARA3d+KAR2	DARA₃~d+KAR₂	𒜵	/pcsl/atu5/images/055.png
EAAR056	o0900250	DARA₄~a2	DARA4a2	DARA₄~a2	𒜹	/pcsl/atu5/images/056.png
EAAR057	o0900252	DARA₄~b	DARA4b	DARA₄~b	𒜻	/pcsl/atu5/images/057.png
EAAR058	o0900260	DI	DI	DI	𒝁	/pcsl/atu5/images/058.png
EAAR059	o0900262	DIB	DIB	DIB	𒝃	/pcsl/atu5/images/059.png
EAAR060	o0900264	DILMUN	DILMUN	DILMUN	𒝇	/pcsl/atu5/images/060.png
EAAR061	o0900269	DIM~a	DIMa	DIM~a	𒝈	/pcsl/atu5/images/061.png
EAAR062	o0900270	DIM~b	DIMb	DIM~b	𒝉	/pcsl/atu5/images/062.png
EAAR063	o0900276	DIN	DIN	DIN	𒝋	/pcsl/atu5/images/063.png
EAAR064	o0900279	DU	DU	DU	𒝍	/pcsl/atu5/images/064.png
EAAR065	o0900287	DU₆~b	DU6b	DU₆~b	𒝓	/pcsl/atu5/images/065.png
EAAR066	o0900294	DU₈~b	DU8b	DU₈~b	𒝗	/pcsl/atu5/images/066.png
EAAR067	o0900296	DU₈~c	DU8c	DU₈~c	𒝙	/pcsl/atu5/images/067.png
EAAR068	o0900303	|DU₈~c×HI|	DU8c+HI	DU₈~c+HI	𒝚	/pcsl/atu5/images/068.png
EAAR069	o0900312	DUB~a	DUBa	DUB~a	𒝟	/pcsl/atu5/images/069.png
EAAR070	o0900313	DUB~b	DUBb	DUB~b	𒝡,𒝠	/pcsl/atu5/images/070.png
EAAR071	o0900319	DUB~d	DUBd	DUB~d	𒝦	/pcsl/atu5/images/071.png
EAAR072	o0900326	|(DUB@n~a×1(N58))~b|	DUB+DIŠa	DUB+DIŠ~a	𒝪	/pcsl/atu5/images/072.png
EAAR073	o0900325	|DUB@n~b×1(N58)~a|	DUB+DIŠb	DUB+DIŠ~b	𒝫	/pcsl/atu5/images/073.png
EAAR074	o0900331	DUG~a	DUGa	DUG~a	𒝶,𒝵,𒝭	/pcsl/atu5/images/074.png
EAAR075	o0900334	DUG~b	DUGb	DUG~b	𒞭,𒝷	/pcsl/atu5/images/075.png
EAAR076	o0900340	|DUG~b~v1×AB₂|	DUGb+AB2	DUG~b+AB₂	𒞮	/pcsl/atu5/images/076.png
EAAR077	o0900476	|(DUG~b~v1&DUG~b~v1)×1(N58)|	DUGb+DUGb+1N58	DUG~b+DUG~b+1N58	𒞹	/pcsl/atu5/images/077.png
EAAR078	o0900370	|DUG~b×HI|	DUGb+HI	DUG~b+HI	𒞅	/pcsl/atu5/images/078.png
EAAR079	o0900373	|DUG~b~v1×HI@g~a|	DUGb+HI.gunûa	DUG~b+HI@g~a	𒞲	/pcsl/atu5/images/079.png
EAAR080	o0900391	|DUG~b×MAŠ|	DUGb+MAŠ	DUG~b+MAŠ	𒞍	/pcsl/atu5/images/080.png
EAAR081	o0900433	|DUG~b×ŠE~a|	DUGb+ŠEa	DUG~b+ŠE~a	𒞙	/pcsl/atu5/images/081.png
EAAR082	o0900461	|DUG~b×X|	DUGb+?	DUG~b+X	𒞣	/pcsl/atu5/images/082.png
EAAR083	o0900336	DUG~c~v1	DUGc	DUG~c	𒞼,𒞿	/pcsl/atu5/images/083.png
EAAR084	o0900478	DUG~a@t	DUGe	DUG~e	𒝴	/pcsl/atu5/images/084.png
EAAR085	o0900395	|DUG~b×1(N57)|	DUG+AŠb	DUG+AŠ~b	𒞸	/pcsl/atu5/images/085.png
EAAR086	o0900483	DUR~a	DURa	DUR~a	𒟃	/pcsl/atu5/images/086.png
EAAR087	o0900489	E~c	Ec	E~c	𒟈	/pcsl/atu5/images/087.png
EAAR088	o0900493	E₂~a	E2a	E₂~a	𒟊	/pcsl/atu5/images/088.png
EAAR089	o0900494	E₂~b	E2b	E₂~b	𒟎	/pcsl/atu5/images/089.png
EAAR090	o0900513	EN~a	ENa	EN~a	𒟖,𒟗,𒟘,𒟙	/pcsl/atu5/images/090.png
EAAR091	o0901606	|NUN~a+EN~a~v2|	ENa+NUNa	EN~a+NUN~a	𒩶	/pcsl/atu5/images/091.png
EAAR092	o0900517	EN~b	ENb	EN~b	𒟚,𒟜	/pcsl/atu5/images/092.png
EAAR093	o0901607	|NUN~a+EN~b~v1|	ENb+NUNa	EN~b+NUN~a	𒩷	/pcsl/atu5/images/093.png
EAAR094	o0900528	EN~b@t	ENb.tenû	EN~b@t	𒟛	/pcsl/atu5/images/094.png
EAAR095	o0900525	EN@g~a	EN.gunûa	EN@g~a	𒟡	/pcsl/atu5/images/095.png
EAAR096	o0900526	EN@g~b	EN.gunûb	EN@g~b	𒟢	/pcsl/atu5/images/096.png
EAAR097	o0900529	EN₂	EN2	EN₂	𒟣	/pcsl/atu5/images/097.png
EAAR098	o0900541	ERIM~a	ERIMa	ERIM~a	𒟫	/pcsl/atu5/images/098.png
EAAR099	o0900542	ERIM~b1	ERIMb1	ERIM~b1	𒟬	/pcsl/atu5/images/099.png
EAAR100	o0900543	ERIM~b2	ERIMb2	ERIM~b2	𒟭	/pcsl/atu5/images/100.png
EAAR101	o0900545	ERIN	ERIN	ERIN	𒟯	/pcsl/atu5/images/101.png
EAAR102	o0900546	EŠDA	EŠDA	EŠDA	𒟰	/pcsl/atu5/images/102.png
EAAR103	o0900547	|EŠDA×TAR~a|	EŠDA+TAR	EŠDA+TAR	𒟱	/pcsl/atu5/images/103.png
EAAR104	o0900548	EŠGAR	EŠGAR	EŠGAR	𒟲	/pcsl/atu5/images/104.png
EAAR105	o0900550	EZEN~a	EZENa	EZEN~a	𒟳	/pcsl/atu5/images/105.png
EAAR106	o0900557	|EZEN~a×EN~b~v1|	EZENa+ENb	EZEN~a+EN~b	𒟴	/pcsl/atu5/images/106.png
EAAR107	o0900561	|EZEN~a×KAB|	EZENa+KAB	EZEN~a+KAB	𒟶	/pcsl/atu5/images/107.png
EAAR108	o0900575	|EZEN~a×NIMGIR|	EZENa+NIMGIR	EZEN~a+NIMGIR	𒟺	/pcsl/atu5/images/108.png
EAAR109	o0900577	|EZEN~a×RAD~a|	EZENa+RADa	EZEN~a+RAD~a	𒟻	/pcsl/atu5/images/109.png
EAAR110	o0900552	EZEN~b	EZENb	EZEN~b	𒠃	/pcsl/atu5/images/110.png
EAAR111	o0900592	EZEN~c	EZENc	EZEN~c	𒠅	/pcsl/atu5/images/111.png
EAAR112	o0900597	EZINU~d	EZINUd	EZINU~d	𒠉	/pcsl/atu5/images/112.png
EAAR113	o0900599	GA~a	GAa	GA~a	𒠊,𒠋,𒠍,𒠎,𒠏	/pcsl/atu5/images/113.png
EAAR114	o0900616	GA₂~a1	GA2a1	GA₂~a1	𒠕	/pcsl/atu5/images/114.png
EAAR115	o0900631	|GA₂~a1×EN~b~v1|	GA2a1+ENb	GA₂~a1+EN~b	𒠗	/pcsl/atu5/images/115.png
EAAR116	o0900650	|GA₂~a1×HI|	GA2a1+HI	GA₂~a1+HI	𒠞	/pcsl/atu5/images/116.png
