id_text	designation	artifact_type	period	provenience	museum_no	accession_no	excavation_no	artifact_comments	seal_information	collections	dates	alternative_years	genres	languages	materials	publications_key	publications_type	publications_exact_ref
P000001	CDLI Lexical 000002, ex. 065	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 01533		W 06435,a			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428991;1444278	history;history	pl. 11, W 6435,a;
P000002	CDLI Lexical 000002, ex. 066	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 15263		W 06435,b			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428992;1444279	history;history	pl. 11, W 6435,b;
P000003	ATU 3, pl. 081, W 9123,d	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15253		W 09123,d			Vorderasiatisches Museum, Berlin, Germany			Vocabularies	undetermined	clay	Englund1993;1375573	primary;history	pl. 81, W 9123,d;
P000004	CDLI Lexical 000002, ex. 051	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15168		W 09169,d			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428993;1444280	history;history	pl. 9, W 9169,d;
P000005	CDLI Lexical 000002, ex. 172	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15153		W 09206,k			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428994;1444281	history;history	pl. 23, W 9206,k;
P000006	CDLI Lexical 000002, ex. 173	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15003		W 09656,h1			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	Nissen1991FrüheSchrift ; Englund1993ATU3; Falkenstein1936ATU1; sec12; Woods2010writing	history; history; history; history; history	p. 153, no. 16.1; pl. 23, W 9656,h1; 340; ; 074
P000007	CDLI Lexical 000002, ex. 174	tablet	Uruk IV (ca. 3350-3200 BC)	Uruk (mod. Warka)	VAT 15111		W 09656,x			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1428996;1444282	history;history	pl. 23, W 9656,x;
P000008	CDLI Lexical Archaic Unidentified, ex. 003	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17684		W 11985,e			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375574	history	pl. 85, W 11985,e
P000009	CDLI Lexical 000002, ex. 160	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17702		W 11985,f			Vorderasiatisches Museum, Berlin, Germany	00.00.00.00		Lexical	undetermined	clay	1375575	history	pl. 22, W 11985,f
P000010	CDLI Lexical 000007, ex. 006	tablet	Uruk III (ca. 3200-3000 BC)	Uruk (mod. Warka)	VAT 17709		W 11985,g			Vorderasiatisches Museum, Berlin, Germany			Lexical	undetermined	clay	1375576	history	pl. 26, W 11985,g
