colour-def-dark   	#000
colour-def-mid   	#900
colour-def-light   	#a0b7e0
colour-def-very-light  	#fff
colour-def-bright 	#011f5b
colour-def-pale  	#a0b7e0
colour-def-link  	#3cb371

colour-bind-dark	banner-bg heading-bg
colour-bind-mid 	border
colour-bind-light	banner-fg
colour-bind-very-light  heading-fg
colour-bind-bright 	hover-bg
colour-bind-pale	hover-fg
colour-bind-link	href-fg
