o0992220	1(N01)	12550	CUNEIFORM NUMERIC SIGN ONE N01	12580	1(N01)
o0992221	2(N01)	12551	CUNEIFORM NUMERIC SIGN TWO N01	125DF	2(N01)	VSP
o0992223	3(N01)	12552	CUNEIFORM NUMERIC SIGN THREE N01	12614	3(N01)	VSP
o0992225	4(N01)	12553	CUNEIFORM NUMERIC SIGN FOUR N01	12641	4(N01)
o0992226	5(N01)	12554	CUNEIFORM NUMERIC SIGN FIVE N01	1266C	5(N01)	VSP
o0992228	6(N01)	12555	CUNEIFORM NUMERIC SIGN SIX N01	1268D	6(N01)	VSP
o0992230	7(N01)	12556	CUNEIFORM NUMERIC SIGN SEVEN N01	126A5	7(N01)	VSP
o0992232	8(N01)	12557	CUNEIFORM NUMERIC SIGN EIGHT N01	126B9	8(N01)	VSP
o0992234	9(N01)	12558	CUNEIFORM NUMERIC SIGN NINE N01	126CC	9(N01)~v1
o0992316	1(N08)	12559	CUNEIFORM NUMERIC SIGN ONE N08	1258B	1(N08)
o0992317	2(N08)	1255A	CUNEIFORM NUMERIC SIGN TWO N08	125E8	2(N08)
o0992318	3(N08)	1255B	CUNEIFORM NUMERIC SIGN THREE N08	1261D	3(N08)
o0992319	4(N08)	1255C	CUNEIFORM NUMERIC SIGN FOUR N08	12648	4(N08)	VSP
o0992321	5(N08)	1255D	CUNEIFORM NUMERIC SIGN FIVE N08	12673	5(N08)
o0992322	6(N08)	1255E	CUNEIFORM NUMERIC SIGN SIX N08	12690	6(N08)
o0992323	7(N08)	1255F	CUNEIFORM NUMERIC SIGN SEVEN N08	126A8	7(N08)
o0992324	8(N08)	12560	CUNEIFORM NUMERIC SIGN EIGHT N08	126BC	8(N08)
o0992325	9(N08)	12561	CUNEIFORM NUMERIC SIGN NINE N08	126CF	9(N08)
o0992337	1(N14)	12562	CUNEIFORM NUMERIC SIGN ONE N14	12591	1(N14)
o0992338	2(N14)	12563	CUNEIFORM NUMERIC SIGN TWO N14	125EA	2(N14)
o0992339	3(N14)	12564	CUNEIFORM NUMERIC SIGN THREE N14	1261F	3(N14)
o0992340	4(N14)	12565	CUNEIFORM NUMERIC SIGN FOUR N14	1264B	4(N14)
o0992341	5(N14)	12566	CUNEIFORM NUMERIC SIGN FIVE N14	12675	5(N14)~v1
o0992343	6(N14)	12567	CUNEIFORM NUMERIC SIGN SIX N14	12692	6(N14)~v1
o0992345	7(N14)	12568	CUNEIFORM NUMERIC SIGN SEVEN N14	126A9	7(N14)	VSP
o0992347	8(N14)	12569	CUNEIFORM NUMERIC SIGN EIGHT N14	126BD	8(N14)	VSP
o0992349	9(N14)	1256A	CUNEIFORM NUMERIC SIGN NINE N14	126D0	9(N14)	VSP
o0992488	1(N34)	1256B	CUNEIFORM NUMERIC SIGN ONE N34	125BA	1(N34)
o0992490	2(N34)	1256C	CUNEIFORM NUMERIC SIGN TWO N34	125F8	2(N34)	VSP
o0992492	3(N34)	1256D	CUNEIFORM NUMERIC SIGN THREE N34	12628	3(N34)	VSP
o0992494	4(N34)	1256E	CUNEIFORM NUMERIC SIGN FOUR N34	12654	4(N34)
o0992495	5(N34)	1256F	CUNEIFORM NUMERIC SIGN FIVE N34	1267E	5(N34)	VSP
