o0992314	1264A	𒙊
o0992315	1264B	𒙋
o0992237	1264C	𒙌
o0992238	1264D	𒙍
o0992240	1264E	𒙎
o0992242	1264F	𒙏
o0992243	12650	𒙐
o0992245	12651	𒙑
o0992247	12652	𒙒
o0992249	12653	𒙓
o0992251	12654	𒙔
o0992332	12655	𒙕
o0992355	12656	𒙖
o0992356	12657	𒙗
o0992357	12658	𒙘
o0992358	12659	𒙙
o0992359	1265A	𒙚
o0992361	1265B	𒙛
o0992363	1265C	𒙜
o0992365	1265D	𒙝
o0992367	1265E	𒙞
o0992505	1265F	𒙟
o0992506	12660	𒙠
o0992507	12661	𒙡
o0992508	12662	𒙢
o0992509	12663	𒙣
o0992511	12664	𒙤
o0992513	12665	𒙥
o0992515	12666	𒙦
o0992517	12667	𒙧
o0992589	12668	𒙨
o0992590	12669	𒙩
o0992445	1266A	𒙪
o0992446	1266B	𒙫
o0992648	1266C	𒙬
o0992649	1266D	𒙭
o0992651	1266E	𒙮
o0992652	1266F	𒙯
o0992653	12670	𒙰
o0992655	12671	𒙱
o0992657	12672	𒙲
o0992659	12673	𒙳
o0992661	12674	𒙴
o0992519	12675	𒙵
o0992286	12676	𒙶
o0992287	12677	𒙷
o0992289	12678	𒙸
o0992290	12679	𒙹
o0992291	1267A	𒙺
o0992407	1267B	𒙻
o0992408	1267C	𒙼
o0992409	1267D	𒙽
o0992410	1267E	𒙾
o0992411	1267F	𒙿
o0992413	12680	𒚀
o0992415	12681	𒚁
o0992417	12682	𒚂
o0992419	12683	𒚃
o0992603	12684	𒚄
o0992604	12685	𒚅
o0992543	12686	𒚆
o0990000	12690	𒚐
o0990002	12691	𒚑
o0990004	12692	𒚒
o0990005	12693	𒚓
o0990006	12694	𒚔
o0990007	12695	𒚕
o0990009	12696	𒚖
o0990010	12697	𒚗
o0990012	12698	𒚘
o0990013	12699	𒚙
o0990015	1269A	𒚚
o0990017	1269B	𒚛
o0990018	1269C	𒚜
o0990019	1269D	𒚝
o0990021	1269E	𒚞
o0990022	1269F	𒚟
o0990023	126A0	𒚠
o0990025	126A1	𒚡
o0990011	126A2	𒚢
o0990026	126A3	𒚣
o0990027	126A4	𒚤
o0990028	126A5	𒚥
o0990029	126A6	𒚦
o0990030	126A7	𒚧
o0990034	126A8	𒚨
o0990031	126A9	𒚩
o0990033	126AA	𒚪
o0990036	126AB	𒚫
o0990037	126AC	𒚬
o0990038	126AD	𒚭
o0990040	126AE	𒚮
o0990042	126AF	𒚯
o0990043	126B0	𒚰
o0990044	126B1	𒚱
o0990045	126B2	𒚲
o0990047	126B3	𒚳
o0990048	126B4	𒚴
o0990049	126B5	𒚵
o0990050	126B6	𒚶
o0990051	126B7	𒚷
o0990052	126B8	𒚸
o0990053	126B9	𒚹
o0990054	126BA	𒚺
o0990055	126BB	𒚻
o0990056	126BC	𒚼
o0990057	126BD	𒚽
o0990059	126BE	𒚾
o0990060	126BF	𒚿
o0990061	126C0	𒛀
o0990062	126C1	𒛁
o0990064	126C2	𒛂
o0990063	126C3	𒛃
o0990065	126C4	𒛄
o0990067	126C5	𒛅
o0990069	126C6	𒛆
o0990071	126C7	𒛇
o0990072	126C8	𒛈
o0990068	126C9	𒛉
o0990066	126CA	𒛊
o0990070	126CB	𒛋
o0990075	126CC	𒛌
o0990073	126CD	𒛍
o0990076	126CE	𒛎
o0990077	126CF	𒛏
o0990078	126D0	𒛐
o0990079	126D1	𒛑
o0990082	126D2	𒛒
o0990083	126D3	𒛓
o0990084	126D4	𒛔
o0990085	126D5	𒛕
o0990087	126D6	𒛖
o0990086	126D7	𒛗
o0990088	126D8	𒛘
o0990089	126D9	𒛙
o0990091	126DA	𒛚
o0990092	126DB	𒛛
o0990093	126DC	𒛜
o0990094	126DD	𒛝
o0990095	126DE	𒛞
o0990096	126DF	𒛟
o0990097	126E0	𒛠
o0990098	126E1	𒛡
o0990099	126E2	𒛢
o0990100	126E3	𒛣
o0990101	126E4	𒛤
o0990102	126E5	𒛥
o0990103	126E6	𒛦
o0990104	126E7	𒛧
o0990105	126E8	𒛨
o0990106	126E9	𒛩
o0990107	126EA	𒛪
o0990108	126EB	𒛫
o0990109	126EC	𒛬
o0990110	126ED	𒛭
o0990111	126EE	𒛮
o0990112	126EF	𒛯
o0990113	126F0	𒛰
o0990114	126F1	𒛱
o0990115	126F2	𒛲
o0990116	126F3	𒛳
o0990117	126F4	𒛴
o0990118	126F5	𒛵
o0990119	126F6	𒛶
o0990120	126F7	𒛷
o0990121	126F8	𒛸
o0990122	126F9	𒛹
o0990123	126FA	𒛺
o0990124	126FB	𒛻
o0990125	126FC	𒛼
o0990126	126FD	𒛽
o0990129	126FE	𒛾
o0990130	126FF	𒛿
o0990131	12700	𒜀
o0990132	12701	𒜁
o0990133	12702	𒜂
o0990135	12703	𒜃
o0990136	12704	𒜄
o0990137	12705	𒜅
o0990139	12706	𒜆
o0990138	12707	𒜇
o0990141	12708	𒜈
o0990140	12709	𒜉
o0990142	1270A	𒜊
o0990145	1270B	𒜋
o0990147	1270C	𒜌
o0990148	1270D	𒜍
o0990152	1270E	𒜎
o0990153	1270F	𒜏
o0990154	12710	𒜐
o0990155	12711	𒜑
o0990156	12712	𒜒
o0990144	12713	𒜓
o0990151	12714	𒜔
o0990157	12715	𒜕
o0990160	12716	𒜖
o0990161	12717	𒜗
o0990162	12718	𒜘
o0990163	12719	𒜙
o0990164	1271A	𒜚
o0990166	1271B	𒜛
o0990167	1271C	𒜜
o0990168	1271D	𒜝
o0990169	1271E	𒜞
o0990170	1271F	𒜟
o0990171	12720	𒜠
o0990172	12721	𒜡
o0990173	12722	𒜢
o0990174	12723	𒜣
o0990175	12724	𒜤
o0990177	12725	𒜥
o0990178	12726	𒜦
o0990179	12727	𒜧
o0990180	12728	𒜨
o0990181	12729	𒜩
o0990182	1272A	𒜪
o0990183	1272B	𒜫
o0990184	1272C	𒜬
o0990185	1272D	𒜭
o0990186	1272E	𒜮
o0990187	1272F	𒜯
o0990189	12730	𒜰
o0990191	12731	𒜱
o0990188	12732	𒜲
o0990192	12733	𒜳
o0990195	12734	𒜴
o0990194	12735	𒜵
o0990196	12736	𒜶
o0990193	12737	𒜷
o0990197	12738	𒜸
o0990198	12739	𒜹
o0990199	1273A	𒜺
o0990200	1273B	𒜻
o0990202	1273C	𒜼
o0990203	1273D	𒜽
o0990204	1273E	𒜾
o0990205	1273F	𒜿
o0990206	12740	𒝀
o0990208	12741	𒝁
o0990209	12742	𒝂
o0990210	12743	𒝃
o0990211	12744	𒝄
o0990214	12745	𒝅
o0990215	12746	𒝆
o0990213	12747	𒝇
o0990216	12748	𒝈
o0990220	12749	𒝉
o0990221	1274A	𒝊
o0990222	1274B	𒝋
o0990224	1274C	𒝌
o0990225	1274D	𒝍
o0990226	1274E	𒝎
o0990227	1274F	𒝏
o0990229	12750	𒝐
o0990228	12751	𒝑
o0990232	12752	𒝒
o0990234	12753	𒝓
o0990235	12754	𒝔
o0990236	12755	𒝕
o0990237	12756	𒝖
o0990238	12757	𒝗
o0990239	12758	𒝘
o0990240	12759	𒝙
o0990243	1275A	𒝚
o0990244	1275B	𒝛
o0990245	1275C	𒝜
o0990246	1275D	𒝝
o0990247	1275E	𒝞
o0990248	1275F	𒝟
o0990250	12760	𒝠
o0990249	12761	𒝡
o0990252	12762	𒝢
o0990251	12763	𒝣
o0990253	12764	𒝤
o0990255	12765	𒝥
o0990256	12766	𒝦
o0990257	12767	𒝧
o0990258	12768	𒝨
o0990260	12769	𒝩
o0990261	1276A	𒝪
o0990262	1276B	𒝫
o0990263	1276C	𒝬
o0990266	1276D	𒝭
o0990268	1276E	𒝮
o0990270	1276F	𒝯
o0990271	12770	𒝰
o0990272	12771	𒝱
o0990273	12772	𒝲
o0990275	12773	𒝳
o0990357	12774	𒝴
o0990265	12775	𒝵
o0990264	12776	𒝶
o0990277	12777	𒝷
o0990279	12778	𒝸
o0990280	12779	𒝹
o0990282	1277A	𒝺
o0990283	1277B	𒝻
o0990285	1277C	𒝼
o0990286	1277D	𒝽
o0990287	1277E	𒝾
o0990288	1277F	𒝿
o0990289	12780	𒞀
o0990291	12781	𒞁
o0990292	12782	𒞂
o0990293	12783	𒞃
o0990294	12784	𒞄
o0990296	12785	𒞅
o0990298	12786	𒞆
o0990299	12787	𒞇
o0990300	12788	𒞈
o0990301	12789	𒞉
o0990302	1278A	𒞊
o0990303	1278B	𒞋
o0990304	1278C	𒞌
o0990306	1278D	𒞍
o0990307	1278E	𒞎
o0990308	1278F	𒞏
o0990309	12790	𒞐
o0990310	12791	𒞑
o0990312	12792	𒞒
o0990313	12793	𒞓
o0990314	12794	𒞔
o0990315	12795	𒞕
o0990316	12796	𒞖
o0990317	12797	𒞗
o0990319	12798	𒞘
o0990322	12799	𒞙
o0990323	1279A	𒞚
o0990324	1279B	𒞛
o0990325	1279C	𒞜
o0990326	1279D	𒞝
o0990327	1279E	𒞞
o0990328	1279F	𒞟
o0990331	127A0	𒞠
o0990334	127A1	𒞡
o0990335	127A2	𒞢
o0990337	127A3	𒞣
o0990338	127A4	𒞤
o0990339	127A5	𒞥
o0990340	127A6	𒞦
o0990341	127A7	𒞧
o0990342	127A8	𒞨
o0990343	127A9	𒞩
o0990345	127AA	𒞪
o0990346	127AB	𒞫
o0990347	127AC	𒞬
o0990276	127AD	𒞭
o0990278	127AE	𒞮
o0990284	127AF	𒞯
o0990290	127B0	𒞰
o0990295	127B1	𒞱
o0990297	127B2	𒞲
o0990305	127B3	𒞳
o0990320	127B4	𒞴
o0990321	127B5	𒞵
o0990329	127B6	𒞶
o0990336	127B7	𒞷
o0990344	127B8	𒞸
o0990349	127B9	𒞹
o0990330	127BA	𒞺
o0990355	127BB	𒞻
o0990350	127BC	𒞼
o0990353	127BD	𒞽
o0990352	127BE	𒞾
o0990351	127BF	𒞿
o0990354	127C0	𒟀
o0990356	127C1	𒟁
o0990358	127C2	𒟂
o0990359	127C3	𒟃
o0990360	127C4	𒟄
o0990362	127C5	𒟅
o0990363	127C6	𒟆
o0990364	127C7	𒟇
o0990365	127C8	𒟈
o0990366	127C9	𒟉
o0990368	127CA	𒟊
o0990369	127CB	𒟋
o0990370	127CC	𒟌
o0990371	127CD	𒟍
o0990372	127CE	𒟎
o0990373	127CF	𒟏
o0990374	127D0	𒟐
o0990375	127D1	𒟑
o0990376	127D2	𒟒
o0990377	127D3	𒟓
o0990378	127D4	𒟔
o0990379	127D5	𒟕
o0990380	127D6	𒟖
o0990381	127D7	𒟗
o0990382	127D8	𒟘
o0990383	127D9	𒟙
o0990384	127DA	𒟚
o0990386	127DB	𒟛
o0990385	127DC	𒟜
o0990387	127DD	𒟝
o0990389	127DE	𒟞
o0990388	127DF	𒟟
o0990390	127E0	𒟠
o0990391	127E1	𒟡
o0990392	127E2	𒟢
o0990393	127E3	𒟣
o0990394	127E4	𒟤
o0990395	127E5	𒟥
o0990396	127E6	𒟦
o0990397	127E7	𒟧
o0990400	127E8	𒟨
o0990401	127E9	𒟩
o0990402	127EA	𒟪
o0990405	127EB	𒟫
o0990406	127EC	𒟬
o0990407	127ED	𒟭
o0990408	127EE	𒟮
o0990409	127EF	𒟯
o0990410	127F0	𒟰
o0990411	127F1	𒟱
o0990412	127F2	𒟲
o0990414	127F3	𒟳
o0990416	127F4	𒟴
o0990417	127F5	𒟵
o0990418	127F6	𒟶
o0990420	127F7	𒟷
o0990422	127F8	𒟸
o0990423	127F9	𒟹
o0990424	127FA	𒟺
o0990425	127FB	𒟻
o0990426	127FC	𒟼
o0990427	127FD	𒟽
o0990428	127FE	𒟾
o0990429	127FF	𒟿
o0990430	12800	𒠀
o0990413	12801	𒠁
o0990415	12802	𒠂
o0990431	12803	𒠃
o0990434	12804	𒠄
o0990435	12805	𒠅
o0990436	12806	𒠆
o0990437	12807	𒠇
o0990438	12808	𒠈
o0990439	12809	𒠉
o0990440	1280A	𒠊
o0990441	1280B	𒠋
o0990445	1280C	𒠌
o0990442	1280D	𒠍
o0990443	1280E	𒠎
o0990444	1280F	𒠏
o0990446	12810	𒠐
o0990448	12811	𒠑
o0990449	12812	𒠒
o0990450	12813	𒠓
o0990451	12814	𒠔
o0990452	12815	𒠕
o0990453	12816	𒠖
o0990456	12817	𒠗
o0990458	12818	𒠘
o0990459	12819	𒠙
o0990460	1281A	𒠚
o0990461	1281B	𒠛
o0990462	1281C	𒠜
o0990464	1281D	𒠝
o0990465	1281E	𒠞
o0990466	1281F	𒠟
o0990467	12820	𒠠
o0990468	12821	𒠡
o0990469	12822	𒠢
