o0981826	ADD	5(LAGAB~a)	5(LAGAB~a)	-	N	󳄀	󳄀	EANM004	-
o0981828	©ACN	1(N01)	1(N01)	-	N	𒕐	𒕐	EANM006	o0981828
o0981829	©ACN	2(N01)	2(N01)	-	N	𒕑	𒕑,󰁟	EANM007	o0981829
o0981830	©ACN	3(N01)	3(N01)	-	N	𒕒	𒕒,󰁠	EANM008	o0981830
o0981831	©ACN	4(N01)	4(N01)	-	N	𒕓	𒕓	EANM009	o0981831
o0981832	©ACN	5(N01)	5(N01)	-	N	𒕔	𒕔,󰁡	EANM010	o0981832
o0981833	©ACN	6(N01)	6(N01)	-	N	𒕕	𒕕,󰁢	EANM011	o0981833
o0981834	©ACN	7(N01)	7(N01)	-	N	𒕖	𒕖,󰁣	EANM012	o0981834
o0981835	©ACN	8(N01)	8(N01)	-	N	𒕗	𒕗,󰁤	EANM013	o0981835
o0981836	©ACN	9(N01)	9(N01)	-	N	𒕘	𒕘,󰁥	EANM014	o0981836
o0981837	©OOR	10(N01)	10(N01)	-	N	󰃚	󰃚	EANM015	o0981837
o0981838	©ACN	1(N01@f)	1(N01@f)	-	N	𒙌	𒙌	EANM016	o0981838
o0981839	©ACN	2(N01@f)	2(N01@f)	-	N	𒙍	𒙍,󰁦	EANM017	o0981839
o0981840	ACN	3(N01@f)	3(N01@f)	-	N	𒙎	𒙎,󰁧	EANM018	o0981840
o0981841	ACN	4(N01@f)	4(N01@f)	-	N	𒙏	𒙏	EANM019	o0981841
o0981842	©ACN	5(N01@f)	5(N01@f)	-	N	𒙐	𒙐,󰁨	EANM020	o0981842
o0981843	ACN	6(N01@f)	6(N01@f)	-	N	𒙑	𒙑,󰁩	EANM021	o0981843
o0981844	ACN	7(N01@f)	7(N01@f)	-	N	𒙒	𒙒,󰁪	EANM022	o0981844
o0981845	ACN	8(N01@f)	8(N01@f)	-	N	𒙓	𒙓,󰁫	EANM023	o0981845
o0981846	ACN	9(N01@f)	9(N01@f)	-	N	𒙔	𒙔,󰁬	EANM024	o0981846
o0981847	©ACN	1(N01@r)	1(N01@r)	-	N	𒖉	𒖉	EANM025	o0981847
o0981848	©ACN	1(N02)	1(N02)	-	N	𒖾	𒖾	EANM026	o0981848
o0981849	©ACN	2(N02)	2(N02)	-	N	𒖿	𒖿,󰁭	EANM027	o0981849
o0981850	©ACN	3(N02)	3(N02)	-	N	𒗀	𒗀,󰁮	EANM028	o0981850
o0981851	©ACN	4(N02)	4(N02)	-	N	𒗁	𒗁	EANM029	o0981851
o0981852	©ACN	5(N02)	5(N02)	-	N	𒗂	𒗂,󰁯	EANM030	o0981852
o0981853	©ACN	6(N02)	6(N02)	-	N	𒗃	𒗃,󰁰	EANM031	o0981853
o0981854	©ACN	7(N02)	7(N02)	-	N	𒗄	𒗄,󰁱	EANM032	o0981854
o0981855	©ACN	8(N02)	8(N02)	-	N	𒗅	𒗅,󰁲	EANM033	o0981855
o0981856	©ACN	9(N02)	9(N02)	-	N	𒗆	𒗆,󰁳	EANM034	o0981856
o0981857	©ACN	1(N03)	1(N03)	-	N	𒗯	𒗯	EANM035	o0981857
o0981858	©ACN	2(N03)	2(N03)	-	N	𒗰	𒗰,󰁴	EANM036	o0981858
o0981859	©ACN	3(N03)	3(N03)	-	N	𒗱	𒗱,󰁵	EANM037	o0981859
o0981860	©ACN	4(N03)	4(N03)	-	N	𒗲	𒗲	EANM038	o0981860
o0981861	©ACN	5(N03)	5(N03)	-	N	𒗳	𒗳,󰁶	EANM039	o0981861
o0981862	©ACN	1(N04)	1(N04)	-	N	𒘆	𒘆	EANM040	o0981862
o0981863	©ACN	2(N04)	2(N04)	-	N	𒘇	𒘇,󰁷	EANM041	o0981863
o0981864	©ACN	3(N04)	3(N04)	-	N	𒘈	𒘈,󰁸	EANM042	o0981864
o0981865	©ACN	4(N04)	4(N04)	-	N	𒘉	𒘉	EANM043	o0981865
o0981866	©ACN	5(N04)	5(N04)	-	N	𒘊	𒘊,󰁹	EANM044	o0981866
o0981867	ACN	1(N04@f)	1(N04@f)	-	N	𒙶	𒙶	EANM045	o0981867
o0981868	ACN	2(N04@f)	2(N04@f)	-	N	𒙷	𒙷,󰁺	EANM046	o0981868
o0981869	ACN	3(N04@f)	3(N04@f)	-	N	𒙸	𒙸	EANM047	o0981869
o0981870	ACN	4(N04@f)	4(N04@f)	-	N	𒙹	𒙹	EANM048	o0981870
o0981871	ACN	5(N04@f)	5(N04@f)	-	N	𒙺	𒙺,󰁻	EANM049	o0981871
o0981872	©ACN	1(N05)	1(N05)	-	N	𒘱	𒘱	EANM050	o0981872
o0981873	©ACN	2(N05)	2(N05)	-	N	𒘲	𒘲,󰁼	EANM051	o0981873
o0981874	©ACN	3(N05)	3(N05)	-	N	𒘳	𒘳,󰁽	EANM052	o0981874
o0981875	©ACN	4(N05)	4(N05)	-	N	𒘴	𒘴	EANM053	o0981875
o0981876	©ACN	5(N05)	5(N05)	-	N	𒘵	𒘵,󰁾	EANM054	o0981876
o0981877	©ACN	1(N06)	1(N06)	-	N	𒗑	𒗑	EANM055	o0981877
o0981878	ACN	2(N06)	2(N06)	-	N	𒗒	𒗒	EANM056	-
o0981879	ACN	3(N06)	3(N06)	-	N	𒗓	𒗓	EANM057	-
o0981880	ACN	4(N06)	4(N06)	-	N	𒗔	𒗔	EANM058	-
o0981881	ACN	5(N06)	5(N06)	-	N	𒗕	𒗕	EANM059	-
o0981882	ACN	6(N06)	6(N06)	-	N	𒗖	𒗖	EANM060	-
o0981883	ACN	7(N06)	7(N06)	-	N	𒗗	𒗗	EANM061	-
o0981884	ACN	8(N06)	8(N06)	-	N	𒗘	𒗘	EANM062	-
o0981885	ACN	9(N06)	9(N06)	-	N	𒗙	𒗙	EANM063	-
o0981886	©ACN	1(N07A)	1(N07A)	-	N	𒙆	𒙆	EANM064	o0981886
o0981887	©ACN	2(N07A)	2(N07A)	-	N	𒙇	𒙇	EANM065	o0981887
o0981888	©ACN	3(N07A)	3(N07A)	-	N	𒙈	𒙈	EANM066	o0981888
o0981889	©ACN	1(N07B)	1(N07B)	-	N	𒙉	𒙉	EANM067	o0981889
o0981890	©ACN	2(N07B)	2(N07B)	-	N	𒙊	𒙊	EANM068	o0981890
o0981891	©ACN	3(N07B)	3(N07B)	-	N	𒙋	𒙋	EANM069	o0981891
o0981892	©ACN	1(N08)	1(N08)	-	N	𒕙	𒕙	EANM070	o0981892
o0981893	©ACN	2(N08)	2(N08)	-	N	𒕚	𒕚	EANM071	o0981893
o0981894	©ACN	3(N08)	3(N08)	-	N	𒕛	𒕛	EANM072	o0981894
o0981895	©ACN	4(N08)	4(N08)	-	N	𒕜	𒕜,󰁿	EANM073	o0981895
o0981896	©ACN	5(N08)	5(N08)	-	N	𒕝	𒕝	EANM074	o0981896
o0981897	©ACN	6(N08)	6(N08)	-	N	𒕞	𒕞	EANM075	o0981897
o0981898	©ACN	7(N08)	7(N08)	-	N	𒕟	𒕟	EANM076	o0981898
o0981899	©ACN	8(N08)	8(N08)	-	N	𒕠	𒕠	EANM077	o0981899
o0981900	©ACN	9(N08)	9(N08)	-	N	𒕡	𒕡	EANM078	o0981900
o0981901	ADD	1(N08~b)	1(N08~b)	-	N	󰃵	󰃵	EANM079	o0981901
o0981902	©ADD	2(N08~b)	2(N08~b)	-	N	󰃶	󰃶	EANM080	o0981902
o0981903	ADD	3(N08~b)	3(N08~b)	-	N	󰃷	󰃷	EANM081	o0981903
o0981904	ADD	4(N08~b)	4(N08~b)	-	N	󰃸	󰃸	EANM082	o0981904
o0981905	ADD	4(N08~c)	4(N08~c)	-	N	󰃹	󰃹	EANM083	o0981905
o0982197	ADD	1(N08~v)	1(N08~v)	-	N	󰃺	󰃺	EANM084	-
o0981907	ACN	1(N08@f)	1(N08@f)	-	N	𒙕	𒙕	EANM085	o0981907
o0981908	ADD	|1(N08@f)×1(N57)|	|1(N08@f)×1(N57)|	-	N	󰄬	󰄬	EANM086	o0981908
o0981909	©ACN	1(N09)	1(N09)	-	N	𒙃	𒙃	EANM087	o0981909
o0981910	©ACN	1(N11)	1(N11)	-	N	𒙄	𒙄	EANM088	o0981910
o0981911	©ACN	1(N12)	1(N12)	-	N	𒙅	𒙅	EANM089	o0981911
o0981912	©ACN	1(N14)	1(N14)	-	N	𒕢	𒕢	EANM090	o0981912
o0981913	©ACN	2(N14)	2(N14)	-	N	𒕣	𒕣	EANM091	o0981913
o0981914	©ACN	3(N14)	3(N14)	-	N	𒕤	𒕤	EANM092	o0981914
o0981915	©ACN	4(N14)	4(N14)	-	N	𒕥	𒕥	EANM093	o0981915
o0981916	©ACN	5(N14)	5(N14)	-	N	𒕦	𒕦,󰂀	EANM094	o0981916
o0981917	©ACN	6(N14)	6(N14)	-	N	𒕧	𒕧,󰂁	EANM095	o0981917
o0981918	©ACN	7(N14)	7(N14)	-	N	𒕨	𒕨,󰂂	EANM096	o0981918
o0981919	©ACN	8(N14)	8(N14)	-	N	𒕩	𒕩,󰂃	EANM097	o0981919
o0981920	©ACN	9(N14)	9(N14)	-	N	𒕪	𒕪,󰂄	EANM098	o0981920
o0981921	©OOR	10(N14)	10(N14)	-	N	󰃛	󰃛	EANM099	o0981921
o0981922	©OOR5	11(N14)	11(N14)	-	N	󰃜	󰃜	EANM100	-
o0981923	OOR5	12(N14)	12(N14)	-	N	󰃝	󰃝	EANM101	o0981923
o0981924	©OOR5	22(N14)	22(N14)	-	N	󰃞	󰃞	EANM102	-
o0981925	ACN	1(N14@f)	1(N14@f)	-	N	𒙖	𒙖	EANM103	o0981925
o0981926	ACN	2(N14@f)	2(N14@f)	-	N	𒙗	𒙗	EANM104	o0981926
o0981927	ACN	3(N14@f)	3(N14@f)	-	N	𒙘	𒙘	EANM105	o0981927
o0981928	ACN	4(N14@f)	4(N14@f)	-	N	𒙙	𒙙	EANM106	o0981928
o0981929	ACN	5(N14@f)	5(N14@f)	-	N	𒙚	𒙚,󰂅	EANM107	o0981929
o0981930	ACN	6(N14@f)	6(N14@f)	-	N	𒙛	𒙛,󰂆	EANM108	o0981930
o0981931	ACN	7(N14@f)	7(N14@f)	-	N	𒙜	𒙜,󰂇	EANM109	o0981931
o0981932	ACN	8(N14@f)	8(N14@f)	-	N	𒙝	𒙝,󰂈	EANM110	o0981932
o0981933	ACN	9(N14@f)	9(N14@f)	-	N	𒙞	𒙞,󰂉	EANM111	o0981933
o0981934	OOR	10(N14@f)	10(N14@f)	-	N	󰃟	󰃟	EANM112	o0981934
o0981935	©ACN	1(N15)	1(N15)	-	N	𒗇	𒗇	EANM113	o0981935
o0981936	©ACN	2(N15)	2(N15)	-	N	𒗈	𒗈	EANM114	o0981936
o0981937	©ACN	3(N15)	3(N15)	-	N	𒗉	𒗉	EANM115	o0981937
o0981938	ACN	4(N15)	4(N15)	-	N	𒗊	𒗊	EANM116	o0981938
o0981939	©ACN	5(N15)	5(N15)	-	N	𒗋	𒗋,󰂊	EANM117	o0981939
o0981940	©ACN	1(N16)	1(N16)	-	N	󰃻	󰃻	EANM118	o0981940
o0981941	©ACN	1(N17)	1(N17)	-	N	󰃼	󰃼	EANM119	o0981941
o0981942	©ACN	1(N18)	1(N18)	-	N	𒗴	𒗴	EANM120	o0981942
o0981943	©ACN	2(N18)	2(N18)	-	N	𒗵	𒗵	EANM121	o0981943
o0981944	©ACN	3(N18)	3(N18)	-	N	𒗶	𒗶	EANM122	o0981944
o0981945	©ACN	4(N18)	4(N18)	-	N	𒗷	𒗷	EANM123	o0981945
o0981946	©ACN	5(N18)	5(N18)	-	N	𒗸	𒗸,󰂋	EANM124	o0981946
o0981947	©ACN	6(N18)	6(N18)	-	N	𒗹	𒗹,󰂌	EANM125	o0981947
o0981948	©ACN	7(N18)	7(N18)	-	N	𒗺	𒗺,󰂍	EANM126	o0981948
o0981949	©ACN	8(N18)	8(N18)	-	N	𒗻	𒗻,󰂎	EANM127	o0981949
o0981950	©ACN	9(N18)	9(N18)	-	N	𒗼	𒗼,󰂏	EANM128	o0981950
o0981951	©ACN	1(N19)	1(N19)	-	N	𒘋	𒘋	EANM129	o0981951
o0981952	©ACN	2(N19)	2(N19)	-	N	𒘌	𒘌	EANM130	o0981952
o0981953	©ACN	3(N19)	3(N19)	-	N	𒘍	𒘍	EANM131	o0981953
o0981954	©ACN	4(N19)	4(N19)	-	N	𒘎	𒘎	EANM132	o0981954
o0981955	©ACN	5(N19)	5(N19)	-	N	𒘏	𒘏,󰂐	EANM133	o0981955
o0981956	©ACN	6(N19)	6(N19)	-	N	𒘐	𒘐,󰂑	EANM134	o0981956
o0981957	©ACN	7(N19)	7(N19)	-	N	𒘑	𒘑,󰂒	EANM135	o0981957
o0981958	©ACN	8(N19)	8(N19)	-	N	𒘒	𒘒,󰂓	EANM136	o0981958
o0981959	©ACN	9(N19)	9(N19)	-	N	𒘓	𒘓,󰂕,󰂔	EANM137	o0981959
o0981960	ACN	1(N19@f)	1(N19@f)	-	N	𒙻	𒙻	EANM138	o0981960
o0981961	ACN	2(N19@f)	2(N19@f)	-	N	𒙼	𒙼	EANM139	o0981961
o0981962	ACN	3(N19@f)	3(N19@f)	-	N	𒙽	𒙽	EANM140	o0981962
o0981963	ACN	4(N19@f)	4(N19@f)	-	N	𒙾	𒙾	EANM141	o0981963
o0981964	ACN	5(N19@f)	5(N19@f)	-	N	𒙿	𒙿,󰂖	EANM142	o0981964
o0981965	ACN	6(N19@f)	6(N19@f)	-	N	𒚀	𒚀,󰂗	EANM143	o0981965
o0981966	ACN	7(N19@f)	7(N19@f)	-	N	𒚁	𒚁,󰂘	EANM144	o0981966
o0981967	ACN	8(N19@f)	8(N19@f)	-	N	𒚂	𒚂,󰂙	EANM145	o0981967
o0981968	ACN	9(N19@f)	9(N19@f)	-	N	𒚃	𒚃,󰂚	EANM146	o0981968
o0981969	©ACN	1(N20)	1(N20)	-	N	𒘶	𒘶	EANM147	o0981969
o0981970	©ACN	2(N20)	2(N20)	-	N	𒘷	𒘷	EANM148	o0981970
o0981971	©ACN	3(N20)	3(N20)	-	N	𒘸	𒘸	EANM149	o0981971
o0981972	©ACN	4(N20)	4(N20)	-	N	𒘹	𒘹	EANM150	o0981972
o0981973	©ACN	5(N20)	5(N20)	-	N	𒘺	𒘺,󰂛	EANM151	o0981973
o0981974	©ACN	6(N20)	6(N20)	-	N	𒘻	𒘻,󰂜	EANM152	o0981974
o0981975	©ACN	7(N20)	7(N20)	-	N	𒘼	𒘼,󰂝	EANM153	o0981975
o0981976	©ACN	8(N20)	8(N20)	-	N	𒘽	𒘽,󰂞	EANM154	o0981976
o0981977	©ACN	9(N20)	9(N20)	-	N	𒘾	𒘾,󰂟	EANM155	o0981977
o0981978	ACN	1(N21)	1(N21)	-	N	𒗚	𒗚	EANM156	-
o0981979	©ACN	2(N21)	2(N21)	-	N	𒗛	𒗛	EANM157	o0981979
o0981980	©ACN	3(N21)	3(N21)	-	N	𒗜	𒗜	EANM158	o0981980
o0981981	©ACN	4(N21)	4(N21)	-	N	𒗝	𒗝	EANM159	o0981981
o0981982	©ACN	5(N21)	5(N21)	-	N	𒗞	𒗞,󰂠	EANM160	o0981982
o0981983	©OOR	6(N21)	6(N21)	-	N	󰃠	󰃠	EANM161	o0981983
o0981984	©ACN	1(N22)	1(N22)	-	N	𒖌	𒖌	EANM162	o0981984
o0981985	©ACN	2(N22)	2(N22)	-	N	𒖍	𒖍	EANM163	o0981985
o0981986	©ADD	1(N22~v)	1(N22~v)	-	N	󰃽	󰃽	EANM164	-
o0981987	ACN	1(N22@f)	1(N22@f)	-	N	𒙪	𒙪	EANM165	o0981987
o0981988	ACN	2(N22@f)	2(N22@f)	-	N	𒙫	𒙫	EANM166	o0981988
o0981989	©Pelm	1(N23)	1(N23)	-	N	󰃾	󰃾	EANM167	o0981989
o0981990	©Pelm	2(N23)	2(N23)	-	N	󰃿	󰃿	EANM168	o0981990
o0981991	©Pelm	3(N23)	3(N23)	-	N	󰄀	󰄀	EANM169	o0981991
o0981992	©Pelm	5(N23)	5(N23)	-	N	󰄁	󰄁	EANM170	o0981992
o0981993	©Pelm	7(N23)	7(N23)	-	N	󰄂	󰄂	EANM171	o0981993
o0981994	©ACN	1(N24)	1(N24)	-	N	𒖪	𒖪	EANM172	o0981994
o0981995	ADD	2(N24)	2(N24)	-	N	󰄃	󰄃	EANM173	o0981995
o0981996	ADD	4(N24)	4(N24)	-	N	󰄄	󰄄	EANM174	o0981996
o0981997	ADD	6(N24)	6(N24)	-	N	󰄅	󰄅	EANM175	o0981997
o0981998	©ADD	1(N24@f)	1(N24@f)	-	N	󰄆	󰄆	EANM176	o0981998
o0981999	©ACN	1(N24A)	1(N24A)	-	N	𒗪	𒗪	EANM177	o0981999
o0982000	©ACN	1(N24B)	1(N24B)	-	N	𒗾	𒗾	EANM178	o0982000
o0982001	©ACN	1(N25)	1(N25)	-	N	𒘣	𒘣	EANM179	o0982001
o0982002	©ACN	1(N26)	1(N26)	-	N	𒖫	𒖫,󰂡	EANM180	o0982002
o0982003	©ACN	1(N26B)	1(N26B)	-	N	𒗿	𒗿	EANM181	o0982003
o0982004	©ACN	1(N27)	1(N27)	-	N	𒘤	𒘤,󰂢	EANM182	o0982004
o0982005	©ACN	1(N28)	1(N28)	-	N	𒖬	𒖬	EANM183	o0982005
o0982006	©ACN	1(N28B)	1(N28B)	-	N	𒘀	𒘀	EANM184	o0982006
o0982007	©ACN	1(N28C)	1(N28C)	-	N	𒘥	𒘥	EANM185	o0982007
o0982008	©ACN	1(N29A)	1(N29A)	-	N	𒖭	𒖭,󰂣	EANM186	-
o0982009	©ADD	2(N29A)	2(N29A)	-	N	󰄇	󰄇	EANM187	o0982009
o0982010	©ACN	1(N29AB)	1(N29AB)	-	N	𒘁	𒘁	EANM188	o0982010
o0982011	©ADD	2(N29AB)	2(N29AB)	-	N	󰄊	󰄊	EANM189	o0982011
o0982012	©ACN	1(N29AC)	1(N29AC)	-	N	𒘦	𒘦	EANM190	o0982012
o0982013	©ACN	1(N29B)	1(N29B)	-	N	𒖮	𒖮	EANM191	o0982013
o0982014	©ACN	1(N30A)	1(N30A)	-	N	𒖯	𒖯,󰂤	EANM192	-
o0982015	©ACN	1(N30AC)	1(N30AC)	-	N	𒘧	𒘧	EANM193	-
o0982016	©ADD	1(N30B)	1(N30B)	-	N	󰄋	󰄋	EANM194	-
o0982017	©ACN	1(N30C)	1(N30C)	-	N	𒖰	𒖰	EANM195	-
o0982018	©ADD	1(N30CA)	1(N30CA)	-	N	󳂁	󳂁	EANM196	-
o0982019	ADD	1(N30CB)	1(N30CB)	-	N	󰄌	󰄌	EANM197	o0982019
o0982020	ACN	1(N30CC)	1(N30CC)	-	N	𒘨	𒘨	EANM198	-
o0982021	©ACN	1(N30D)	1(N30D)	-	N	𒖱	𒖱	EANM199	-
o0982022	©ACN	1(N30E)	1(N30E)	-	N	𒖲	𒖲	EANM200	-
o0982023	©ACN	1(N31)	1(N31)	-	N	𒖳	𒖳	EANM201	o0982023
o0982024	©ACN	1(N32)	1(N32)	-	N	𒖴	𒖴	EANM202	o0982024
o0982025	©ACN	1(N33)	1(N33)	-	N	𒖵	𒖵	EANM203	o0982025
o0982026	©ACN	1(N34)	1(N34)	-	N	𒕫	𒕫	EANM204	o0982026
o0982027	©ADD	|1(N34)×1(N58)|	|1(N34)×1(N58)|	-	N	󰄭	󰄭	EANM205	o0982027
o0982028	©ACN	2(N34)	2(N34)	-	N	𒕬	𒕬,󰂥	EANM206	o0982028
o0982029	©ACN	3(N34)	3(N34)	-	N	𒕭	𒕭,󰂦	EANM207	o0982029
o0982030	©ACN	4(N34)	4(N34)	-	N	𒕮	𒕮	EANM208	o0982030
o0982031	©ACN	5(N34)	5(N34)	-	N	𒕯	𒕯,󰂧	EANM209	o0982031
o0982032	©ACN	6(N34)	6(N34)	-	N	𒕰	𒕰,󰂨	EANM210	o0982032
o0982033	©ACN	7(N34)	7(N34)	-	N	𒕱	𒕱,󰂩	EANM211	o0982033
o0982034	©ACN	8(N34)	8(N34)	-	N	𒕲	𒕲,󰂪	EANM212	o0982034
o0982035	©ACN	9(N34)	9(N34)	-	N	𒕳	𒕳,󰂫	EANM213	o0982035
o0982036	©ACN	1(N34@f)	1(N34@f)	-	N	𒙟	𒙟	EANM214	o0982036
o0982037	ACN	2(N34@f)	2(N34@f)	-	N	𒙠	𒙠	EANM215	o0982037
o0982038	ACN	3(N34@f)	3(N34@f)	-	N	𒙡	𒙡	EANM216	o0982038
o0982039	ACN	4(N34@f)	4(N34@f)	-	N	𒙢	𒙢	EANM217	o0982039
o0982040	ACN	5(N34@f)	5(N34@f)	-	N	𒙣	𒙣,󰂬	EANM218	o0982040
o0982041	ACN	6(N34@f)	6(N34@f)	-	N	𒙤	𒙤,󰂭	EANM219	o0982041
o0982042	©ACN	7(N34@f)	7(N34@f)	-	N	𒙥	𒙥,󰂮	EANM220	o0982042
o0982043	ACN	8(N34@f)	8(N34@f)	-	N	𒙦	𒙦,󰂯	EANM221	o0982043
o0982044	ACN	9(N34@f)	9(N34@f)	-	N	𒙧	𒙧,󰂰	EANM222	o0982044
o0982045	ACN	1(N34@f@t)	1(N34@f@t)	-	N	𒙵	𒙵	EANM223	o0982045
o0982046	©ACN	1(N35)	1(N35)	-	N	𒗌	𒗌	EANM224	o0982046
o0982047	©ACN	2(N35)	2(N35)	-	N	𒗍	𒗍,󰂱	EANM225	o0982047
o0982048	ACN	3(N35)	3(N35)	-	N	𒗎	𒗎	EANM226	-
o0982049	ACN	4(N35)	4(N35)	-	N	𒗏	𒗏	EANM227	-
o0982050	©ACN	5(N35)	5(N35)	-	N	𒗐	𒗐,󰂲	EANM228	o0982050
o0982051	©ACN	1(N36)	1(N36)	-	N	𒘖	𒘖	EANM229	o0982051
o0982052	©ACN	2(N36)	2(N36)	-	N	𒘗	𒘗,󰂳	EANM230	o0982052
