o0900000	2
o0900001	3
o0900002	4
o0900005	7
o0900006	8
o0900007	9
o0900008	10
o0900009	11
o0900010	12
o0900041	45
o0900043	46
o0900045	48
o0900046	49
o0900047	51
o0900049	53
o0903363	54
o0900056	60
o0900058	62
o0900059	63
o0900060	65
o0900064	69
o0900072	77
o0900082	88
o0900085	89
o0900086	91
o0900087	92
o0900088	93
o0900089	96
o0900098	108
o0900109	119
o0900110	120
o0900111	121
o0900112	123
o0900113	125
o0900114	126
o0900115	127
o0900116	128
o0900117	129
o0900133	148
o0900154	169
o0900162	175
o0900163	626
o0900205	691
o0900206	693
o0900207	694
o0900215	702
o0900223	710
o0900224	711
o0900225	712
o0900226	713
o0900260	755
o0900261	756
o0900262	757
o0900264	759
o0900276	770
o0900277	771
o0900278	774
o0900279	775
o0900280	776
o0900281	779
o0900282	780
o0900291	784
o0900329	839
o0900481	1033
o0900485	1039
o0900511	1070
o0900529	1094
o0900533	1099
o0900534	1100
o0900535	1101
o0900537	1103
o0900538	1104
o0900539	1105
o0900544	1110
o0900545	1111
o0900546	1112
o0900547	1114
o0900548	1115
o0900590	1146
o0900734	1320
o0900778	1365
o0900779	1366
o0900784	1371
o0900788	1376
o0900806	1395
o0900808	1396
o0900809	1397
o0900810	1398
o0900815	1403
o0900816	1405
o0900817	1406
o0900820	1409
o0900821	1410
o0900822	1411
o0900823	1412
o0900824	1413
o0900825	1414
o0900826	1415
o0900827	1417
o0900836	1422
o0900838	1423
o0900839	1431
o0900840	1432
o0900841	1433
o0900842	1434
o0900843	1435
o0900867	1451
o0900875	1469
o0900877	1470
o0900885	1481
o0900893	1490
o0900906	1504
o0900907	1506
o0900908	1507
o0900912	1510
o0900914	1511
o0900920	1519
o0900926	1524
o0900927	1526
o0900935	1535
o0900946	1547
o0900955	1557
o0900956	1559
o0900957	1560
o0900958	1561
o0900959	1562
o0900960	1563
o0900962	1564
o0900967	1571
o0900968	1573
o0900969	1575
o0900970	1578
o0900971	1579
o0029089	1580
o0900979	1592
o0900980	1593
o0900981	1594
o0900988	1601
o0900993	1606
o0900994	1607
o0900995	1608
o0901015	1629
o0901016	1630
o0901018	1632
o0901034	1645
o0901042	1653
o0901044	1661
o0901045	1662
o0901071	1688
o0901075	1694
o0901076	1695
o0901089	1708
o0901090	1709
o0901091	1711
o0901094	1715
o0901095	1716
o0901102	1723
o0901109	1730
o0901111	1732
o0901133	1756
o0901156	1779
o0901183	1807
o0901184	1808
o0901268	1907
o0901295	1908
o0901296	1909
o0901297	1910
o0901298	1911
o0901299	1912
o0901300	1914
o0901288	1939
o0901301	1943
o0901303	1945
o0901304	1946
o0901309	1949
o0901310	1952
o0901312	1955
o0901313	1956
o0901315	1957
o0901316	1958
o0027476	1959
o0901318	1960
o0027478	1961
o0901320	1963
o0901376	2019
o0901377	2020
o0901378	2021
o0901382	2026
o0901387	2031
o0901392	2037
o0901393	2038
o0901404	2049
o0901415	2059
o0901416	2060
o0901417	2061
o0901426	2070
o0901427	2071
o0901430	2075
o0901431	2076
o0901432	2077
o0901435	2080
o0902413	2082
o0902858	2083
o0902848	2084
o0902857	2085
o0902859	2086
o0902849	2087
o0902860	2088
o0902850	2089
o0902861	2090
o0902851	2091
o0902862	2092
o0902852	2093
o0902863	2094
o0902853	2095
o0902864	2096
o0902854	2097
o0902865	2098
o0902855	2099
o0902866	2100
o0902856	2102
o0902868	2103
