o0902843	3(LAGAB~a)	F3087	NONAME	CUSAS31	3LAGABa.png
o0902911	1(N08~v)	F3080	NONAME	P006333	1N08v.png
o0902942	11(N14)	F307F	NONAME	P235767	11N14.png
o0902944	22(N14)	F3085	NONAME	P235759	22N14.png
o0903007	1(N22@v)	F3089	NONAME	P005442	N22v.png
o0903035	1(N29~c)	F3081	NONAME	CUSAS01	1N29c.png
o0903038	2(N29~b)	F3086	NONAME	CUSAS01	2N29b.png
o0903047	1(N30~b)	F3083	NONAME	CUSAS31	1N30b.png
o0903295	1(N59)	F3084	NONAME	CUSAS01	1N59.png
o0903299	6(N59)	F3088	NONAME	CUSAS31	6N59.png
