o0903124	12602	2(N42~b)	TWO-N42-B
o0903527	12603	2(N45)	TWO-N45
o0903145	12604	2(N45@f)	TWO-N45 FLAT
o0903532	12605	2(N46)	TWO-N46
o0903157	12606	2(N46@f)	TWO-N46 FLAT
o0903533	12607	2(N47)	TWO-N47
o0903534	12608	2(N48)	TWO-N48
o0903537	12609	2(N49)	TWO-N49
o0903539	1260A	2(N50)	TWO-N50
o0903541	1260B	2(N51)	TWO-N51
o0903546	1260C	2(N51@f)	TWO-N51 FLAT
o0903552	1260D	2(N52)	TWO-N52
o0903554	1260E	2(N54)	TWO-N54
o0903556	1260F	2(N56)	TWO-N56
o0903222	12610	2(N57)	TWO-N57
o0903284	12611	2(N58)	TWO-N58
o0903296	12612	2(N59)	TWO-N59
o0902841	12613	2(LAGAB~a)	TWO-LAGAB-A
o0903436	12614	3(N01)	THREE-N1
o0903443	12615	3(N01@f)	THREE-N1 FLAT
o0903450	12616	3(N02)	THREE-N2
o0903457	12617	3(N03)	THREE-N3
o0903460	12618	3(N04)	THREE-N4
o0902891	12619	3(N04@f)	THREE-N4 FLAT
o0903465	1261A	3(N05)	THREE-N5
o0902907	1261B	3(N07~a)	THREE-N7-A
o0902908	1261C	3(N07~b)	THREE-N7-B
o0902914	1261D	3(N08)	THREE-N8
o0902915	1261E	3(N08~b)	THREE-N8-B
o0902932	1261F	3(N14)	THREE-N14
o0902947	12620	3(N14@f)	THREE-N14 FLAT
o0902957	12621	3(N15)	THREE-N15
o0902964	12622	3(N18)	THREE-N18
o0902974	12623	3(N19)	THREE-N19
o0902984	12624	3(N19@f)	THREE-N19 FLAT
o0902993	12625	3(N20)	THREE-N20
o0903001	12626	3(N21)	THREE-N21
o0903012	12627	3(N23)	THREE-N23
o0903506	12628	3(N34)	THREE-N34
o0903072	12629	3(N34@f)	THREE-N34 FLAT
o0903520	1262A	3(N36)	THREE-N36
o0903104	1262B	3(N39~a)	THREE-N39-A
o0903105	1262C	3(N39~b)	THREE-N39-B
o0903113	1262D	3(N40)	THREE-N40
o0903117	1262E	3(N41)	THREE-N41
o0903126	1262F	3(N42~a)	THREE-N42-A
o0903127	12630	3(N42~b)	THREE-N42-B
o0903138	12631	3(N45)	THREE-N45
o0903146	12632	3(N45@f)	THREE-N45 FLAT
o0903155	12633	3(N46)	THREE-N46
o0903160	12634	3(N47)	THREE-N47
o0903535	12635	3(N48)	THREE-N48
o0903538	12636	3(N49)	THREE-N49
o0903176	12637	3(N50)	THREE-N50
o0903190	12638	3(N51)	THREE-N51
o0903181	12639	3(N51@f)	THREE-N51 FLAT
o0903198	1263A	3(N52)	THREE-N52
o0903201	1263B	3(N53)	THREE-N53
o0903204	1263C	3(N54)	THREE-N54
o0903234	1263D	3(N57)	THREE-N57
o0903285	1263E	3(N58)	THREE-N58
o0903297	1263F	3(N59)	THREE-N59
o0903302	12640	3(N61)	THREE-N61
o0902861	12641	4(N01)	FOUR-N1
o0902851	12642	4(N01@f)	FOUR-N1 FLAT
o0902873	12643	4(N02)	FOUR-N2
o0902882	12644	4(N03)	FOUR-N3
o0902887	12645	4(N04)	FOUR-N4
o0902892	12646	4(N04@f)	FOUR-N4 FLAT
o0902897	12647	4(N05)	FOUR-N5
o0903467	12648	4(N08)	FOUR-N8
o0902917	12649	4(N08~b)	FOUR-N8-B
o0902918	1264A	4(N08~c)	FOUR-N8-C
o0902933	1264B	4(N14)	FOUR-N14
o0902948	1264C	4(N14@f)	FOUR-N14 FLAT
o0902958	1264D	4(N15)	FOUR-N15
o0902965	1264E	4(N18)	FOUR-N18
o0902975	1264F	4(N19)	FOUR-N19
o0902985	12650	4(N19@f)	FOUR-N19 FLAT
o0902994	12651	4(N20)	FOUR-N20
o0903002	12652	4(N21)	FOUR-N21
o0903020	12653	4(N24)	FOUR-N24
o0903063	12654	4(N34)	FOUR-N34
o0903073	12655	4(N34@f)	FOUR-N34 FLAT
o0903085	12656	4(N36)	FOUR-N36
o0903107	12657	4(N39~a)	FOUR-N39-A
o0903108	12658	4(N39~b)	FOUR-N39-B
o0903114	12659	4(N40)	FOUR-N40
o0903118	1265A	4(N41)	FOUR-N41
o0903129	1265B	4(N42~a)	FOUR-N42-A
o0903130	1265C	4(N42~b)	FOUR-N42-B
o0903132	1265D	4(N43)	FOUR-N43
o0903139	1265E	4(N45)	FOUR-N45
o0903147	1265F	4(N45@f)	FOUR-N45 FLAT
o0903164	12660	4(N48)	FOUR-N48
o0903172	12661	4(N49)	FOUR-N49
o0903177	12662	4(N50)	FOUR-N50
o0903191	12663	4(N51)	FOUR-N51
o0903182	12664	4(N51@f)	FOUR-N51 FLAT
o0903199	12665	4(N52)	FOUR-N52
o0903205	12666	4(N54)	FOUR-N54
o0903257	12667	4(N57)	FOUR-N57
o0903288	12668	4(N58)	FOUR-N58
o0903298	12669	4(N59)	FOUR-N59
o0903303	1266A	4(N62)	FOUR-N62
o0902845	1266B	4(LAGAB~a)	FOUR-LAGAB-A
o0903437	1266C	5(N01)	FIVE-N1
o0903444	1266D	5(N01@f)	FIVE-N1 FLAT
o0903451	1266E	5(N02)	FIVE-N2
o0903458	1266F	5(N03)	FIVE-N3
o0903461	12670	5(N04)	FIVE-N4
o0903463	12671	5(N04@f)	FIVE-N4 FLAT
o0903466	12672	5(N05)	FIVE-N5
o0902919	12673	5(N08)	FIVE-N8
o0903468	12674	5(N14)	FIVE-N14
o0902935	12675	5(N14)~v1	FIVE-N14 VARIANT 1
o0903473	12676	5(N14@f)	FIVE-N14 FLAT
o0903478	12677	5(N15)	FIVE-N15
o0903479	12678	5(N18)	FIVE-N18
o0903484	12679	5(N19)	FIVE-N19
o0903490	1267A	5(N19@f)	FIVE-N19 FLAT
o0903495	1267B	5(N20)	FIVE-N20
o0903500	1267C	5(N21)	FIVE-N21
o0903013	1267D	5(N23)	FIVE-N23
o0903507	1267E	5(N34)	FIVE-N34
o0903512	1267F	5(N34@f)	FIVE-N34 FLAT
o0903518	12680	5(N35)	FIVE-N35
o0903521	12681	5(N36)	FIVE-N36
o0903528	12682	5(N45)	FIVE-N45
o0903148	12683	5(N45@f)	FIVE-N45 FLAT
o0903536	12684	5(N48)	FIVE-N48
o0903173	12685	5(N49)	FIVE-N49
o0903540	12686	5(N50)	FIVE-N50
o0903542	12687	5(N51)	FIVE-N51
o0903547	12688	5(N51@f)	FIVE-N51 FLAT
o0903553	12689	5(N52)	FIVE-N52
o0903555	1268A	5(N54)	FIVE-N54
o0903264	1268B	5(N57)	FIVE-N57
o0903289	1268C	5(N58)	FIVE-N58
o0903438	1268D	6(N01)	SIX-N1
o0903445	1268E	6(N01@f)	SIX-N1 FLAT
o0903452	1268F	6(N02)	SIX-N2
o0902920	12690	6(N08)	SIX-N8
o0903469	12691	6(N14)	SIX-N14
o0902937	12692	6(N14)~v1	SIX-N14 VARIANT 1
o0903474	12693	6(N14@f)	SIX-N14 FLAT
o0903480	12694	6(N18)	SIX-N18
o0903485	12695	6(N19)	SIX-N19
o0903491	12696	6(N19@f)	SIX-N19 FLAT
o0903496	12697	6(N20)	SIX-N20
o0903004	12698	6(N21)	SIX-N21
o0903021	12699	6(N24)	SIX-N24
o0903508	1269A	6(N34)	SIX-N34
o0903513	1269B	6(N34@f)	SIX-N34 FLAT
o0903522	1269C	6(N36)	SIX-N36
o0903529	1269D	6(N45)	SIX-N45
o0903149	1269E	6(N45@f)	SIX-N45 FLAT
o0903166	1269F	6(N48)	SIX-N48
o0903543	126A0	6(N51)	SIX-N51
o0903548	126A1	6(N51@f)	SIX-N51 FLAT
o0903269	126A2	6(N57)	SIX-N57
o0903269	126A3	6(N57)~v1	SIX-N57 VARIANT 1
o0902847	126A4	6(LAGAB~a)	SIX-LAGAB-A
o0903439	126A5	7(N01)	SEVEN-N1
o0903446	126A6	7(N01@f)	SEVEN-N1 FLAT
o0903453	126A7	7(N02)	SEVEN-N2
o0902921	126A8	7(N08)	SEVEN-N8
o0903470	126A9	7(N14)	SEVEN-N14
o0903475	126AA	7(N14@f)	SEVEN-N14 FLAT
o0903481	126AB	7(N18)	SEVEN-N18
o0903486	126AC	7(N19)	SEVEN-N19
o0903492	126AD	7(N19@f)	SEVEN-N19 FLAT
o0903497	126AE	7(N20)	SEVEN-N20
o0903014	126AF	7(N23)	SEVEN-N23
o0903509	126B0	7(N34)	SEVEN-N34
o0903514	126B1	7(N34@f)	SEVEN-N34 FLAT
o0903523	126B2	7(N36)	SEVEN-N36
o0903530	126B3	7(N45)	SEVEN-N45
o0903150	126B4	7(N45@f)	SEVEN-N45 FLAT
o0903167	126B5	7(N48)	SEVEN-N48
o0903544	126B6	7(N51)	SEVEN-N51
o0903549	126B7	7(N51@f)	SEVEN-N51 FLAT
o0903273	126B8	7(N57)	SEVEN-N57
o0903440	126B9	8(N01)	EIGHT-N1
o0903447	126BA	8(N01@f)	EIGHT-N1 FLAT
o0903454	126BB	8(N02)	EIGHT-N2
o0902922	126BC	8(N08)	EIGHT-N8
o0903471	126BD	8(N14)	EIGHT-N14
o0903476	126BE	8(N14@f)	EIGHT-N14 FLAT
o0903482	126BF	8(N18)	EIGHT-N18
o0903487	126C0	8(N19)	EIGHT-N19
o0903493	126C1	8(N19@f)	EIGHT-N19 FLAT
o0903498	126C2	8(N20)	EIGHT-N20
o0903510	126C3	8(N34)	EIGHT-N34
o0903515	126C4	8(N34@f)	EIGHT-N34 FLAT
o0903524	126C5	8(N36)	EIGHT-N36
o0903151	126C6	8(N45@f)	EIGHT-N45 FLAT
o0903545	126C7	8(N51)	EIGHT-N51
o0903550	126C8	8(N51@f)	EIGHT-N51 FLAT
o0903275	126C9	8(N57)	EIGHT-N57
o0903290	126CA	8(N58)	EIGHT-N58
o0903441	126CB	9(N01)	NINE-N1
o0902866	126CC	9(N01)~v1	NINE-N1 VARIANT 1
o0903448	126CD	9(N01@f)	NINE-N1 FLAT
o0903455	126CE	9(N02)	NINE-N2
o0902923	126CF	9(N08)	NINE-N8
o0903472	126D0	9(N14)	NINE-N14
o0903477	126D1	9(N14@f)	NINE-N14 FLAT
o0903483	126D2	9(N18)	NINE-N18
o0902971	126D3	9(N18)~v1	NINE-N18 VARIANT 1
o0903488	126D4	9(N19)	NINE-N19
o0903489	126D5	9(N19)~v1	NINE-N19 VARIANT 1
o0903494	126D6	9(N19@f)	NINE-N19 FLAT
o0903499	126D7	9(N20)	NINE-N20
o0903511	126D8	9(N34)	NINE-N34
o0903516	126D9	9(N34@f)	NINE-N34 FLAT
o0903525	126DA	9(N36)	NINE-N36
o0903531	126DB	9(N45)	NINE-N45
o0903152	126DC	9(N45@f)	NINE-N45 FLAT
o0903551	126DD	9(N51@f)	NINE-N51 FLAT
o0903278	126DE	9(N57)	NINE-N57
o0903291	126DF	9(N58)	NINE-N58
o0902868	126E0	10(N01)	TEN-N1
o0902941	126E1	10(N14)	TEN-N14
o0902954	126E2	10(N14@f)	TEN-N14 FLAT
o0903279	126E3	10(N57)	TEN-N57
o0903292	126E4	10(N58)	TEN-N58
o0902943	126E5	12(N14)	TWELVE-N14
o0903293	126E6	12(N58)	TWELVE-N58
o0900000	126E7	A	A
o0900009	126E8	A@t	A TENU
o0900008	126E9	A@g	A GUNU
