208_06	
208_07	
208_08	
208_09	
208_10	
209_01	EN~a+NUN~a
209_02	
209_03	
209_04	
209_05	
209_06	
209_07	
209_08	
209_09	
209_10	
210_01	EN~b
210_02	ENDIB
210_03	ENGIZ
210_04	ENKUM
210_05	ENLIL
210_06	ERIM~a
210_07	ERIM~b
210_08	ERIM₂
210_09	
210_10	
211_01	ERIN
211_02	EŠDA
211_03	EZEN~a
211_04	EZEN~a+SU~a
211_05	
211_06	
211_07	
211_08	
211_09	
211_10	
212_01	EZEN~b
212_02	EZEN~b+6(N57)
212_03	EZINU~a
212_04	EZINU~d
212_05	GA~a
212_06	
212_07	
212_08	
212_09	
212_10	
213_01	GA~b
213_02	GA~c
213_03	GA~c+1(N14)
213_04	GA₂~a1
213_05	GA₂~a1+A
213_06	
213_07	
213_08	
213_09	
213_10	
214_01	GA₂~a1+GIŠ@t
214_02	GA₂~a1+HAL
214_03	GA₂~a1+HI
214_04	GA₂~a1+KU₃~a
214_05	GA₂~a1+KU₆~a
214_06	GA₂~a1+MAŠ
214_07	GA₂~a1+PAP~a
214_08	GA₂~a1+SUHUR
214_09	GA₂~a1+TI~a
214_10	GA₂~a1+U₄
214_11	GA₂~a1+?
215_01	GA₂~a3
215_02	GA₂~b
215_03	GA₂~b+DUB~a
215_04	GAʾAR~a1
215_05	GAʾAR~b1
215_06	GABURRA
215_07	
215_08	
215_09	
215_10	
216_01	GADA~a
216_02	GAL~a
216_03	
216_04	
216_05	
216_06	
216_07	
216_08	
216_09	
216_10	
217_01	
217_02	
217_03	
217_04	
217_05	
217_06	
217_07	
217_08	
217_09	
217_10	
218_01	
218_02	
218_03	
218_04	
218_05	
218_06	
218_07	
218_08	
218_09	
218_10	
219_01	
219_02	
219_03	
219_04	
219_05	
219_06	
219_07	
219_08	
219_09	
219_10	
220_01	
220_02	
220_03	
220_04	
220_05	
220_06	
220_07	
220_08	
220_09	
220_10	
221_01	
221_02	
221_03	
221_04	
221_05	
221_06	
221_07	
221_08	
221_09	
221_10	
222_01	
222_02	
222_03	
222_04	
222_05	
222_06	
222_07	
222_08	
222_09	
222_10	
223_01	GAL~b
223_02	GALGA~a
223_03	
223_04	
223_05	
223_06	
223_07	
223_08	
223_09	
223_10	
224_01	GAN~a
224_02	GAN~b
224_03	GAN~b+DIN
224_04	GAN~c
224_05	GAN₂
224_06	
224_07	
224_08	
224_09	
224_10	
225_01	GAR
225_02	GAR@g~b
225_03	GAR@g~c
225_04	GARA₂~a
225_05	
225_06	
225_07	
225_08	
225_09	
225_10	
226_01	GARA₂~a+SILA₃~a
226_02	GAZI
226_03	GEŠTIN~a
226_04	GEŠTU~a
226_05	GEŠTU~b
226_06	GI
226_07	
226_08	
226_09	
226_10	
227_01	GI+GI
227_02	
227_03	
227_04	
227_05	
227_06	
227_07	
227_08	
227_09	
227_10	
228_01	GI+ŠE₃
228_02	GI₄~a
228_03	GI₆
228_04	GIBIL₆
228_05	GIR~a
228_06	GIR~b
228_07	
228_08	
228_09	
228_10	
229_01	GIR~b+GIR~b
229_02	GIR~c
229_03	GIR₂~a
229_04	GIR₃~a
229_05	
229_06	
229_07	
229_08	
229_09	
229_10	
230_01	GIR₃~c
230_02	GIR₃~c+ŠE₃
230_03	GIR₃@g~a
230_04	GIŠ
230_05	
230_06	
230_07	
230_08	
230_09	
230_10	
231_01	
231_02	
231_03	
231_04	
231_05	
231_06	
231_07	
231_08	
231_09	
231_10	
232_01	
232_02	
232_03	
232_04	
232_05	
232_06	
232_07	
232_08	
232_09	
232_10	
233_01	GIŠ+DIN+DIN~a
233_02	GIŠ+DIN+DIN~c
233_03	GIŠ+ŠU₂~a
233_04	
233_05	
233_06	
233_07	
233_08	
233_09	
233_10	
234_01	GIŠ+ŠU₂~b
234_02	GIŠ@t
234_03	GIŠ₃~a+GIŠ₃~a
234_04	GIŠ₃~b
234_05	GIŠGAL
234_06	GIŠIMMAR~a2
234_07	GIŠIMMAR~b1
234_08	
234_09	
234_10	
235_01	GU~a
235_02	GU₂
235_03	GU₄
235_04	
235_05	
235_06	
235_07	
235_08	
235_09	
235_10	
236_01	GUB₃~a
236_02	GUB₃~b
236_03	GUG₂~a
236_04	GUKKAL~c
236_05	GUL
236_06	GUM~b
236_07	GUM@n~b
236_08	
236_09	
236_10	
237_01	GUN₃~b
237_02	GUR
237_03	GURUŠ~a
237_04	GURUŠ~a+2(N14)
237_05	GURUŠDA~a
237_06	HAL
237_07	HALUB
237_08	HAŠHUR
237_09	
237_10	
238_01	HAŠHUR+MA
238_02	HI
238_03	HI+AŠ~b
238_04	
238_05	
238_06	
238_07	
238_08	
238_09	
238_10	
239_01	HI+SUHUR
239_02	HI@g~b
239_03	I
239_04	IB~a
239_05	IB~b
239_06	IDIGNA
239_07	
239_08	
239_09	
239_10	
240_01	ILDUM~b
240_02	IM~a
240_03	IM~b
240_04	IN~b
240_05	
240_06	
240_07	
240_08	
240_09	
240_10	
241_01	IR~a
241_02	IR~b
241_03	IŠ~a
241_04	IŠ~b
241_05	
241_06	
241_07	
241_08	
241_09	
241_10	
242_01	KA~a
242_02	KA~a+SAR~a
242_03	KA₂+LAM
242_04	KAB
242_05	
242_06	
242_07	
242_08	
242_09	
242_10	
243_01	KAD₄~a
243_02	KAD₄~b
243_03	KAK~a
243_04	KAK~a+GA₂~a1
243_05	KAL~a
243_06	
243_07	
243_08	
243_09	
243_10	
244_01	KAL~b1
244_02	KAL~b2
244_03	KAR
244_04	KAR₂~a
244_05	KAR₂~b
244_06	KASKAL
244_07	
244_08	
244_09	
244_10	
245_01	KAŠ~a
245_02	KAŠ~b
245_03	KAŠ~c
245_04	KI~a
245_05	
245_06	
245_07	
245_08	
245_09	
245_10	
246_01	KIB
246_02	KID~a
246_03	KID~b
246_04	KIN
246_05	
246_06	
246_07	
246_08	
246_09	
246_10	
247_01	KIN₂~c
247_02	KIN₂~d
247_03	KINGAL
247_04	KISAL~a1
247_05	KISAL~b1
247_06	
247_07	
247_08	
247_09	
247_10	
248_01	KISAL~b2
248_02	KISAL~b3
248_03	KISIM~a
248_04	KISIM~b
248_05	KIŠ
248_06	KIŠIK~a
248_07	
248_08	
248_09	
248_10	
249_01	KITI
249_02	KU~a
249_03	KU~b2
249_04	KU₃~a
249_05	KU₃~c
249_06	KU₆~a
249_07	
249_08	
249_09	
249_10	
250_01	
250_02	
250_03	
250_04	
250_05	
250_06	
250_07	
250_08	
250_09	
250_10	
251_01	KU₆~a+KU₆~a
251_02	KUR~a
251_03	KUR~c
251_04	KUŠU₂~b
251_05	KUŠU₂~c
251_06	KUŠU₂~d
251_07	KUŠU₂~e
251_08	KUŠU₂~f
251_09	
251_10	
252_01	LA~b
252_02	LA₂
252_03	LAGAB~a
252_04	LAGAB~a+ME~a
252_05	LAGAB~a+ŠA
252_06	LAGAB~a+ŠITA~a1
252_07	LAGAB~a+TI~a
252_08	LAGAB~a+ZATU753
252_09	LAGAB~a+?
252_10	LAGAB~b
253_01	LAGAB~b+LAGAB~b
253_02	LAGAR~a
253_03	LAGAR~b2
253_04	LAGAR~c
253_05	LAHTAN₂
253_06	LAL₂~a
253_07	LAM~a
253_08	
253_09	
253_10	
254_01	LAM~b
254_02	LAM+KUR~a
254_03	LI
254_04	LIŠ
254_05	LU₂
254_06	LUM
254_07	MA
254_08	
254_09	
254_10	
255_01	MAH~a
255_02	MAR~a
255_03	MAR~a@g
255_04	MAR~a@t
255_05	MAR~b
255_06	MAR~b+?
255_07	MAŠ
255_08	MAŠ₂
255_09	
255_10	
256_01	ME~a
256_02	
256_03	
256_04	
256_05	
256_06	
256_07	
256_08	
256_09	
256_10	
257_01	ME~b
257_02	MEN~a
257_03	MES~a
257_04	MIR~a
257_05	MIR~b
257_06	
257_07	
257_08	
257_09	
257_10	
258_01	MU
258_02	MUD
258_03	MUD₃~a
258_04	MUD₃~c
258_05	MUD₃@g
258_06	MUL
258_07	MUN~a2
258_08	MUN~a4
258_09	
258_10	
259_01	MUN~b
259_02	MUNŠUB~b
259_03	MUNU₃
259_04	MUŠ
259_05	MUŠ₃~a
259_06	MUŠEN
259_07	
259_08	
259_09	
259_10	
260_01	NA~a
260_02	NA~b
260_03	
260_04	
260_05	
260_06	
260_07	
260_08	
260_09	
260_10	
261_01	NA~c
261_02	NA₂~a
261_03	NAGA~a
261_04	NAGA~b
261_05	NAGAR~a
261_06	
261_07	
261_08	
261_09	
261_10	
262_01	NAGAR~b
262_02	
262_03	
262_04	
262_05	
