o0031137	1(N47)	o0903158
o0027272	1(N48)	o0903161
o0027274	1(N48@f)	o0903168
o0031139	1(N49)	o0903169
o0027276	1(N50)	o0903174
o0027278	1(N51)	o0903188
o0027280	1(N51@f)	o0903179
o0031141	1(N52)	o0903196
o0027282	1(N54)	o0903202
o0031143	1(N55)	o0903207
o0031145	1(N56)	o0903208
o0027284	1(N57)	o0903210
o0036049	1(N57@t)	o0903372
o0027286	1(N58)	o0903280
o0036042	1(N58)@t	o0903294
o0038037	1(N58)~a	o0903428
o0031147	1(N58@t)	o0903294
o0036293	1(N59)	o0903295
o0031149	1(N60)	o0903301
o0031151	1(N63)	o0903304
o0027288	10(N01)	o0902868
o0027289	10(N14)	o0902941
o0027291	10(N14@f)	o0902954
o0031023	10(N57)	o0903279
o0031025	10(N58)	o0903292
o0036270	11(N14)	o0902942
o0031027	12(N14)	o0902943
o0031029	12(N58)	o0903293
o0036770	2(LAGAB)	o0902840
o0031153	2(LAGAB~a)	o0902841
o0027292	2(N01)	o0902859
o0027294	2(N01@f)	o0902849
o0031155	2(N02)	o0902871
o0031157	2(N03)	o0902880
o0027296	2(N04)	o0902885
o0027297	2(N04@f)	o0902890
o0031159	2(N05)	o0902895
o0036772	2(N07)	o0902903
o0031161	2(N07~a)	o0902904
o0031163	2(N07~b)	o0902905
o0031167	2(N08)	o0902912
o0031165	2(N08~b)	o0902913
o0027299	2(N14)	o0902930
o0027300	2(N14@f)	o0902946
o0036296	2(N14~t)	o0902931
o0031169	2(N15)	o0902956
o0031171	2(N18)	o0902963
o0027301	2(N19)	o0902973
o0027303	2(N19@f)	o0902983
o0031173	2(N20)	o0902992
o0031175	2(N21)	o0903000
o0027305	2(N22)	o0903006
o0027307	2(N22@f)	o0903009
o0031177	2(N23)	o0903011
o0031179	2(N24)	o0903019
o0036773	2(N29)	o0903036
o0036775	2(N29A)	o0903042
o0031181	2(N29A~b)	o0903043
o0031183	2(N29~a)	o0903037
o0036298	2(N29~b)	o0903038
o0027309	2(N34)	o0903061
o0027311	2(N34@f)	o0903071
o0031185	2(N35)	o0903080
o0027313	2(N36)	o0903083
o0031187	2(N37)	o0903093
o0036777	2(N39)	o0903099
o0031189	2(N39~a)	o0903100
o0031191	2(N39~b)	o0903101
o0036300	2(N39~t)	o0903102
o0031193	2(N40)	o0903112
o0031195	2(N41)	o0903116
