U+12696	A@t	o0900009	9
U+126AB	ABGAL	o0900047	50
U+126AD	ABRIG	o0900049	52
U+126AE	ABZU	o0900050	53
U+126D8	ARARMA₂~b	o0900108	114
U+126D9	ARATTA	o0900109	115
U+127E6	ENDIB	o0900533	1104
U+127E7	ENGIZ	o0900534	1105
U+127E8	ENKUM	o0900535	1106
U+127EE	ERIM₂	o0900544	1113
U+12892	GIBIL₆	o0900841	1440
U+128FC	ILDUM~a	o0900997	1616
U+128FD	ILDUM~b	o0900998	1617
U+12908	IR₁₁	o0901016	1634
U+1292F	KAR	o0901071	1693
U+1294B	KINGAL	o0901109	1734
U+1294D	KIR₁₁	o0901111	1736
U+129A5	LAHTAN₂	o0901268	1896
U+129FD	MURUB₂	o0901416	2037
U+12A27	NAMEŠDA	o0901472	2171
U+12A29	NANNA~a	o0901475	2174
U+12A2B	NANNA~b	o0901477	2176
U+12A35	NERGAL~v	o0901491	2190
U+12A69	NINLIL	o0901578	2279
U+12A6A	NIR~a	o0901580	2282
U+12B0E	SILA₃~c	o0901777	2579
U+12B1A	SIPA	o0901868	2595
U+12B36	SUSA	o0901909	2644
U+12B42	ŠAB~a	o0901926	2664
U+12B44	ŠAB~b	o0901928	2666
U+12B48	ŠAGINA	o0901932	2670
U+12B50	ŠANDANA~a	o0901943	2682
U+12B66	ŠEN~d	o0901974	2723
U+12B91	ŠU₂~a	o0902039	2814
U+12B98	ŠU₂~b	o0902040	2820
U+12BA2	ŠURUPPAK~a	o0902068	2833
U+12BA4	ŠURUPPAK~b	o0902070	2835
U+12BBF	TIDNUM	o0902108	2874
U+12C61	URI₃~b	o0902334	8080
U+12C6A	|URU~a1×1(N57)|	o0902357	8105
U+12C83	UŠUMGAL	o0902394	8140
U+12C8A	UTUL~a	o0902406	8151
U+12C8B	UTUL~b	o0902407	8152
U+12C8C	UTUL~c	o0902408	8153
U+12C8D	UTUL~d	o0902409	8154
U+12C91	ZABALAM~a	o0902418	8167
U+12E0F	|(1(N58).BAD)~b|	o0903283	2124
U+F3002	|MAR~b×GAR|	o0901365	1990
U+F3089	DU₆~a@n	o0903567	785
