o0903095	1(N39@b)
o0903136	1(N45~t)
o0902942	11(N14)
o0902943	12(N14)
o0902931	2(N14~t)
o0903102	2(N39~t)
o0902944	22(N14)
o0903013	5(N23)
o0903110	5(N39~t)
o0900046	AB₂@g
o0901520	NIM~d
o0901747	SIG~b
o0902266	UKKIN~d
o0902510	ZATU659@t
o0900036	|AB~b×X|
o0901215	|LAGAB~a×LA₂~a|
o0902685	|ZATU737@t×PAP~a|
