1291C	129EC
1291D	129ED
1291E	129EE
1291F	129EF
12920	129F0
12DA3	F2DA3
12921	129F1
12922	129F2
12923	129F3
12924	129F4
12925	129F5
12926	129F6
12927	129F7
12928	129F8
12929	129F9
1292A	129FA
1292B	129FB
1292C	129FC
1292D	129FD
1292E	129FE
1292F	129FF
12932	12A00
12933	12A01
12930	12A02
12931	12A03
12934	12A04
12935	12A05
12DA8	12A06
12DA7	F2DA7
12DA9	12A07
12DA4	12A08
12DA5	12A09
12DA6	12A0A
12936	12A0B
12937	12A0C
12938	12A0D
12939	12A0E
1293A	12A0F
1293B	12A10
1293C	12A11
1293D	12A12
1293E	12A13
1293F	12A14
12940	12A15
12941	12A16
12DAA	12A17
12942	12A18
12943	12A19
12944	12A1A
12945	12A1B
12946	12A1C
12947	12A1D
12948	12A1E
12949	12A1F
1294A	12A20
1294B	12A21
1294C	12A22
1294D	12A23
12DAB	12A24
1294F	12A25
1294E	12A26
12950	12A27
12951	12A28
12952	12A29
12953	12A2A
12954	12A2B
12955	12A2C
12956	12A2D
12957	12A2E
12958	12A2F
12959	12A30
1295A	12A31
1295B	12A32
1295C	12A33
1295D	12A34
1295E	12A35
1295F	12A36
12960	F2960
12961	12A37
12963	12A38
12962	12A39
12964	12A3A
12DAD	12A3B
12DAC	12A3C
12965	12A3D
12966	12A3E
12DAF	12A3F
12DAE	12A40
12967	12A41
12968	12A42
12969	12A43
1296A	12A44
1296B	12A45
1296C	12A46
1296D	12A47
1296E	12A48
1296F	12A49
12970	12A4A
12DB4	12A4B
12DB5	12A4C
12DB6	12A4D
12DB7	12A4E
12DB8	12A4F
12DB9	12A50
12DBA	12A51
12DBB	12A52
12DBC	12A53
12DBD	F2DBD
12DBE	12A54
12DC1	F2DC1
12DC2	F2DC2
12DC3	12A55
12DC4	12A56
12DC5	12A57
12DC6	12A58
12DC0	12A59
12DBF	12A5A
12DC8	12A5B
12DC9	12A5C
12DCA	F2DCA
12DCB	F2DCB
12DCC	12A5D
12DCD	12A5E
12DCE	12A5F
12DCF	12A60
12DD0	12A61
12DD1	F2DD1
12DD2	12A62
12DB0	12A63
12DB3	12A64
12DB1	F2DB1
12DC7	12A65
12DB2	12A66
12971	12A67
12972	12A68
12973	12A69
12974	12A6A
12DD3	12A6B
12975	12A6C
12976	12A6D
12977	12A6E
12978	12A6F
12DD4	12A70
12979	12A71
1297A	12A72
1297B	12A73
1297C	12A74
12DD5	12A75
12DD6	12A76
12DD7	12A77
12DD8	12A78
12DD9	12A79
1297D	12A7A
12DDA	12A7B
1297E	12A7C
1297F	12A7D
12980	12A7E
12981	12A7F
12982	12A80
12983	12A81
12984	12A82
12985	12A83
12986	12A84
12987	12A85
12988	12A86
12989	12A87
1298A	12A88
