o0902841	2(LAGAB~a)	12613	TWO-LAGAB-A	PCE		
o0902843	3(LAGAB~a)	F3087	NONAME	PCE	CUSAS31	3LAGABa.png
o0902845	4(LAGAB~a)	1266B	FOUR-LAGAB-A	PCE		
o0902847	6(LAGAB~a)	126A4	SIX-LAGAB-A	PCE		
o0038414	1(|AŠ@c×DIŠ|)	F308B	NONAME	ACN	P005658	1n01xn58.png
o0902866	9(N01)	126CB	NINE-N1	VSP 12558		
o0902868	10(N01)	126E0	TEN-N1	OOR		
o0902910	1(N08~b)	1258C	ONE-N8-B	ADD		
o0902913	2(N08~b)	125E9	TWO-N8-B	ADD		
o0902915	3(N08~b)	1261E	THREE-N8-B	ADD		
o0902917	4(N08~b)	12649	FOUR-N8-B	ADD		
o0902918	4(N08~c)	1264A	FOUR-N8-C	ADD		
o0902911	1(N08~v)	F3080	NONAME	ADD	P006333	1N08v.png
o0902934	5(N14)	12674	FIVE-N14	VSP 12566		
o0902936	6(N14)	12691	SIX-N14	VSP 12567		
o0902941	10(N14)	126E1	TEN-N14	OOR		
o0902942	11(N14)	F307F	NONAME	OOR	P235767	11N14.png
o0902943	12(N14)	126E5	TWELVE-N14	OOR		
o0902944	22(N14)	F3085	NONAME	OOR	P235759	22N14.png
o0902954	10(N14@f)	126E2	TEN-N14 FLAT	OOR		
o0902960	1(N16)	12594	ONE-N16	ACN ACN p.43; possible fraction &quot;should probably be encoded in the [ACN] block&quot;		
o0902961	1(N17)	12595	ONE-N17	ACN ACN p.43; SJT: associated w N16 and likely also a fraction; encode with N16		
o0902970	9(N18)	126D2	NINE-N18	VSP 125FC		
o0902981	9(N19)~v1	126D5	NINE-N19 VARIANT 1	VSP 12613		
o0903004	6(N21)	12698	SIX-N21	OOR		
o0903007	1(N22@v)	F3089	NONAME	ADD	P005442	N22v.png
o0903010	1(N23)	1259C	ONE-N23	Pelm ACN p.43; more Pelm than Pcun &quot;Best encoded as part of a [Pelm] proposal&quot;		
o0903011	2(N23)	125F4	TWO-N23	Pelm		
o0903012	3(N23)	12627	THREE-N23	Pelm		
o0903013	5(N23)	1267D	FIVE-N23	Pelm		
o0903014	7(N23)	126AF	SEVEN-N23	Pelm		
o0903019	2(N24)	125F5	TWO-N24	ADD		
o0903020	4(N24)	12653	FOUR-N24	ADD		
o0903021	6(N24)	12699	SIX-N24	ADD		
o0903015	1(N24@f)	125A0	ONE-N24 FLAT	ADD		
o0903024	1(N26)~v1	125A3	ONE-N26 VARIANT 1	VSP 125AB		
o0903027	1(N27)~v1	125A6	ONE-N27 VARIANT 1	VSP 12624		
o0903032	1(N29~a)	125AA	ONE-N29-A	VSP 125AD		
o0903037	2(N29~a)	125F6	TWO-N29-A	ADD		
o0903038	2(N29~b)	F3086	NONAME	ADD	CUSAS01	2N29b.png
o0903035	1(N29~c)	F3081	NONAME	ADD	CUSAS01	1N29c.png
o0903043	2(N29A~b)	125F7	TWO-N29A-B	ADD		
o0903047	1(N30~b)	F3083	NONAME	ACN ACN omits but attested in CUSAS31, 99 [P006396] o i 5	CUSAS31	1N30b.png
o0903046	1(N30~a)	125AF	ONE-N30-A	VSP 125AF		
o0903054	1(N30C~b)	125B5	ONE-N30C-B	ADD		
o0903131	1(N43)	125C8	ONE-N43	ADD ACN p.44; &quot;probably part of variant system Š&quot;		
o0903132	4(N43)	1265D	FOUR-N43	ADD		
o0903133	1(N44)	125C9	ONE-N44	DNE ACN p.44; only attested on one tablet; interpretation unclear		
o0903146	3(N45@f)	12632	THREE-N45 FLAT	OOR		
o0903147	4(N45@f)	1265F	FOUR-N45 FLAT	OOR		
o0903148	5(N45@f)	12683	FIVE-N45 FLAT	OOR		
o0903149	6(N45@f)	1269E	SIX-N45 FLAT	OOR		
o0903150	7(N45@f)	126B4	SEVEN-N45 FLAT	OOR		
o0903151	8(N45@f)	126C6	EIGHT-N45 FLAT	OOR		
o0903152	9(N45@f)	126DC	NINE-N45 FLAT	OOR		
o0903155	3(N46)	12633	THREE-N46	OOR		
o0903160	3(N47)	12634	THREE-N47	OOR		
o0903166	6(N48)	1269F	SIX-N48	OOR		
o0903167	7(N48)	126B5	SEVEN-N48	OOR		
o0903168	1(N48@f)	125D1	ONE-N48 FLAT	ADD		
o0903173	5(N49)	12685	FIVE-N49	OOR		
o0903201	3(N53)	1263B	THREE-N53	DNE		
o0903207	1(N55)	125D8	ONE-N55	DNE ACN p.44; only attested on one tablet; interpretation unclear		
o0903210	1(N57)	125DA	ONE-N57	PCE		
o0903222	2(N57)	12610	TWO-N57	PCE		
o0903234	3(N57)	1263D	THREE-N57	PCE		
o0903257	4(N57)	12667	FOUR-N57	PCE		
o0903264	5(N57)	1268B	FIVE-N57	PCE		
o0903268	6(N57)	126A2	SIX-N57	PCE		
o0903269	6(N57)~v1	126A3	SIX-N57 VARIANT 1	VSP		
o0903273	7(N57)	126B8	SEVEN-N57	PCE		
o0903275	8(N57)	126C9	EIGHT-N57	PCE		
o0903278	9(N57)	126DE	NINE-N57	PCE		
o0903279	10(N57)	126E3	TEN-N57	PCE		
o0903280	1(N58)	125DB	ONE-N58	PCE		
o0903284	2(N58)	12611	TWO-N58	PCE		
o0903285	3(N58)	1263E	THREE-N58	PCE		
o0903288	4(N58)	12668	FOUR-N58	PCE		
o0903289	5(N58)	1268C	FIVE-N58	PCE		
o0903290	8(N58)	126CA	EIGHT-N58	PCE		
o0903291	9(N58)	126DF	NINE-N58	PCE		
o0903292	10(N58)	126E4	TEN-N58	PCE		
o0903293	12(N58)	126E6	TWELVE-N58	PCE		
o0903294	1(N58@t)	125DC	ONE-N58 TENU	PCE		
o0903295	1(N59)	F3084	NONAME	ADD ACN p.44; &quot;possibly a variant of [N04]&quot;	CUSAS01	1N59.png
o0903296	2(N59)	12612	TWO-N59	ADD		
o0903297	3(N59)	1263F	THREE-N59	ADD		
o0903298	4(N59)	12669	FOUR-N59	ADD		
o0903299	6(N59)	F3088	NONAME	ADD	CUSAS31	6N59.png
o0903302	3(N61)	12640	THREE-N61	ADD		
o0903303	4(N62)	1266A	FOUR-N62	ADD		
o0903304	1(N63)	125DE	ONE-N63	ADD		
