P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P003133	ATU 7, pl. 015, W 19408,85	
P003134	ATU 7, pl. 015, W 19408,86	
P003136	ATU 7, pl. 016, W 19408,88	van Dijk, UVB 16, Tf. 33c
P003139	ATU 7, pl. 016, W 19408,91	
P003140	ATU 7, pl. 016, W 19408,92	
P003141	ATU 7, pl. 016, W 19410,1	
P003144	ATU 7, pl. 016, W 19410,4	
P003145	ATU 7, pl. 016, W 19410,5	
P003146	ATU 7, pl. 017, W 19410,6	
P003148	ATU 7, pl. 017, W 19410,8a	
P003149	ATU 7, pl. 017, W 19410,8b	
P003151	ATU 7, pl. 017, W 19410,10	
P003152	ATU 7, pl. 017, W 19410,11	
P003158	ATU 7, pl. 018, W 19412,4	
P003160	ATU 7, pl. 018, W 19412,6	
P003170	ATU 7, pl. 018, W 19413,3	
P003172	ATU 7, pl. 018, W 19413,5	
P003174	ATU 7, pl. 018, W 19413,7	
P003176	ATU 7, pl. 018, W 19413,9	
P003177	ATU 7, pl. 018, W 19413,10	
P003182	ATU 7, pl. 018, W 19416,a	van Dijk, UVB 16, Tf. 27a
P003183	ATU 7, pl. 019, W 19416,b	van Dijk, UVB 16, Tf. 27b
P003184	ATU 7, pl. 019, W 19417,a	
P003185	ATU 7, pl. 019, W 19417,b	
P003187	ATU 7, pl. 019, W 19419	
P003189	ATU 7, pl. 019, W 19421,b	
P003190	ATU 7, pl. 019, W 19422,a	
P003194	ATU 7, pl. 019, W 19437	
P003196	ATU 7, pl. 019, W 19466,a	
P003197	ATU 7, pl. 019, W 19466,b	
P003198	ATU 7, pl. 019, W 19466,c	
P003217	ATU 7, pl. 020, W 19568,b	
P003218	ATU 7, pl. 020, W 19568,c	
P003219	ATU 7, pl. 020, W 19568,d	
P003223	ATU 7, pl. 020, W 19568,h	
P003224	ATU 7, pl. 020, W 19568,i	
P003225	ATU 7, pl. 020, W 19568,j	
P003226	ATU 7, pl. 021, W 19568,k	
P003227	ATU 7, pl. 021, W 19568,l	
P003229	ATU 7, pl. 021, W 19568,n	
P003232	ATU 7, pl. 021, W 19577,c+	
P003233	ATU 7, pl. 021, W 19577,d	
P003235	ATU 7, pl. 021, W 19577,f	
P003236	ATU 7, pl. 022, W 19577,g	
P003255	ATU 7, pl. 022, W 19584,g	
P003256	ATU 7, pl. 022, W 19584,h	
P003257	ATU 7, pl. 022, W 19584,i	
P003265	ATU 7, pl. 022, W 19592,c	
P003274	ATU 7, pl. 022, W 19592,l	
P003275	ATU 7, pl. 022, W 19592,m	
