12B99	|ŠU₂.E₂~a|
12B93	|ŠU₂.EN~a|
12B9E	ŠUBUR
12B9F	ŠUM
12BA0	ŠUR₂~a
12BA8	TA~c
12BB3	TAG~d
12BB4	TAK₄~a
12BB5	TAK₄~a@n
12BB8	TAR~a
12BB9	TE
12BBA	TI
12BBD	TI@t
12BC2	TU~b
12BC4	TUG₂~a
12BCB	TUM~a
12BCE	TUM~c
12BD0	TUN₃~a
12BD3	TUR
12BD8	TUR₃~a
12BDD	U₂~b
12BE1	U₄
12BE3	|U₄.1(N08)|
12BE4	|U₄.2(N08)|
12BE5	|U₄.3(N08)|
12BE6	|U₄.4(N08)|
12BE7	|U₄.5(N08)|
12BED	|U₄.1(N14).4(N08)|
12BEE	|U₄.1(N14).5(N08)|
12BF3	|U₄×1(N01)|
12BF4	|U₄×1(N01).5(N08)|
12BF5	|U₄×2(N01)|
12BF8	|U₄×2(N01).2(N14).1(N08)|
12BF9	|U₄×3(N01)|
12BFF	|U₄×6(N01)|
12C00	|U₄×8(N01)|
12C03	|U₄×1(N14)|
12C04	|U₄×(1(N14).2(N01))|
12C06	|U₄×(1(N14).8(N01))|
12C07	|U₄×2(N14)|
12C09	|U₄×(3(N14).2(N01))|
12C0B	|U₄×1(N57)|
12C0C	|U₄×2(N57)|
12C0D	|U₄×3(N57)|
12C0E	|U₄×4(N57)|
12C0F	|U₄×5(N57)|
12C10	|U₄×6(N57)|
12C16	U₈
12C1B	UB
12C1F	UD₅~a
12C25	UDU~a
12C2A	UDUNITA~a
12C31	UKKIN~a
12C34	|UKKIN~b×DIN|
12C42	UMUN₂
12C44	UNUG~a
12C4A	UR~a
12C4F	UR₂
12C5C	UR₅~a
12C5E	URI
12C5F	URI₃~a
12C63	URU~a1
12C66	|URU~a1×HI@g~a|
12C68	|URU~a1×U₄|
12C73	URUDU~a
12C86	UTUA~a
12C8A	UTUL~a
12C93	ZAG~a
12DEB	ZI~a
12CA4	ZATU624~a
12CAD	ZATU628~a
12CB2	ZATU630
12CB8	ZATU633~a
12CC4	ZATU644~a
12CC8	ZATU647
12CD1	|ZATU651×GAR|
12CD6	ZATU651@g
12CDA	ZATU659
12CDB	|ZATU659×1(N01)|
12CDE	ZATU662
12D00	ZATU682
12D06	ZATU686~a
12D07	ZATU686~b
12D16	ZATU694~c
12D27	ZATU703
12D2F	ZATU710
12D36	ZATU714
12D38	|ZATU714×HI@g~a|
12D3F	ZATU722
12D46	ZATU726~d
12D4F	ZATU735~a
12D50	ZATU735~b
