o0980094	126D5	𒛕	BANŠUR~b2	PROTO-CUNEIFORM SIGN BANSHUR-B2
o0980095	126D6	𒛖	BANŠUR~c	PROTO-CUNEIFORM SIGN BANSHUR-C
o0980096	126D7	𒛗	BAPPIR~a	PROTO-CUNEIFORM SIGN BAPPIR-A
o0980097	126D8	𒛘	BAPPIR~b	PROTO-CUNEIFORM SIGN BAPPIR-B
o0980098	126D9	𒛙	BAPPIR~c	PROTO-CUNEIFORM SIGN BAPPIR-C
o0980099	126DA	𒛚	BAPPIR~d	PROTO-CUNEIFORM SIGN BAPPIR-D
o0980100	126DB	𒛛	BAPPIR~e	PROTO-CUNEIFORM SIGN BAPPIR-E
o0980101	126DC	𒛜	BAPPIR~f	PROTO-CUNEIFORM SIGN BAPPIR-F
o0980102	126DD	𒛝	BAR	PROTO-CUNEIFORM SIGN BAR
o0980105	126DE	𒛞	BARA₂~a	PROTO-CUNEIFORM SIGN BARA2-A
o0980106	126DF	𒛟	BARA₂~b	PROTO-CUNEIFORM SIGN BARA2-B
o0980107	126E0	𒛠	BARA₃	PROTO-CUNEIFORM SIGN BARA3
o0980109	126E1	𒛡	BIR~a	PROTO-CUNEIFORM SIGN BIR-A
o0980110	126E2	𒛢	BIR~b	PROTO-CUNEIFORM SIGN BIR-B
o0980111	126E3	𒛣	BIR~c	PROTO-CUNEIFORM SIGN BIR-C
o0980112	126E4	𒛤	BIR₃~a	PROTO-CUNEIFORM SIGN BIR3-A
o0980113	126E5	𒛥	BIR₃~b	PROTO-CUNEIFORM SIGN BIR3-B
o0980114	126E6	𒛦	BIR₃~c	PROTO-CUNEIFORM SIGN BIR3-C
o0980115	126E7	𒛧	BU~a	PROTO-CUNEIFORM SIGN BU-A
o0980117	126E8	𒛨	|BU~a+DU₆~a|	PROTO-CUNEIFORM SIGN BU-A JOINING DU6-A
o0980118	126E9	𒛩	|BU~a+KI|	PROTO-CUNEIFORM SIGN BU-A JOINING KI
o0980120	126EA	𒛪	|BU~a×A|	PROTO-CUNEIFORM SIGN BU-A TIMES A
o0980123	126EB	𒛫	|(BU~a&BU~a).NA₂~a|	PROTO-CUNEIFORM SIGN BU-A OVER BU-A WITH NA2-A
o0980125	126EC	𒛬	|(BU~a%BU~a).NA₂~a@n|	PROTO-CUNEIFORM SIGN BU-A CROSSING BU-A WITH NA2-A NUTILLU
o0980126	126ED	𒛭	BU~b	PROTO-CUNEIFORM SIGN BU-B
o0980128	126EE	𒛮	BU₃	PROTO-CUNEIFORM SIGN BU3
o0980129	126EF	𒛯	BULUG	PROTO-CUNEIFORM SIGN BULUG
o0980130	126F0	𒛰	BULUG₃	PROTO-CUNEIFORM SIGN BULUG3
o0980132	126F1	𒛱	BUR~a	PROTO-CUNEIFORM SIGN BUR-A
o0980133	126F2	𒛲	BUR~b	PROTO-CUNEIFORM SIGN BUR-B
o0980134	126F3	𒛳	BUR~c	PROTO-CUNEIFORM SIGN BUR-C
o0980135	126F4	𒛴	BUR~d	PROTO-CUNEIFORM SIGN BUR-D
o0980136	126F5	𒛵	BUR₂	PROTO-CUNEIFORM SIGN BUR2
o0980137	126F6	𒛶	DA~a	PROTO-CUNEIFORM SIGN DA-A
o0980139	126F7	𒛷	DA~b	PROTO-CUNEIFORM SIGN DA-B
o0980140	126F8	𒛸	DA~c	PROTO-CUNEIFORM SIGN DA-C
o0980141	126F9	𒛹	DA~d	PROTO-CUNEIFORM SIGN DA-D
o0980143	126FA	𒛺	DAH	PROTO-CUNEIFORM SIGN DAH
o0980144	126FB	𒛻	DAM	PROTO-CUNEIFORM SIGN DAM
o0980145	126FC	𒛼	DANNA	PROTO-CUNEIFORM SIGN DANNA
o0980146	126FD	𒛽	DAR~a	PROTO-CUNEIFORM SIGN DAR-A
o0980147	126FE	𒛾	|DAR~a×A|	PROTO-CUNEIFORM SIGN DAR-A TIMES A
o0980148	126FF	𒛿	DAR~b	PROTO-CUNEIFORM SIGN DAR-B
o0980149	12700	𒜀	DAR~c	PROTO-CUNEIFORM SIGN DAR-C
o0980151	12701	𒜁	DARA₃~a	PROTO-CUNEIFORM SIGN DARA3-A
o0980152	12702	𒜂	DARA₃~b	PROTO-CUNEIFORM SIGN DARA3-B
o0980153	12703	𒜃	DARA₃~c	PROTO-CUNEIFORM SIGN DARA3-C
o0980154	12704	𒜄	|DARA₃~c×KAR₂|	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2
o0980155	12705	𒜅	|DARA₃~c×(KAR₂.ŠE~a)|	PROTO-CUNEIFORM SIGN DARA3-C TIMES KAR2 PLUS SHE-A
o0980156	12706	𒜆	DARA₃~d	PROTO-CUNEIFORM SIGN DARA3-D
o0980157	12707	𒜇	|DARA₃~d×(KAR₂.ŠE~a)|	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2 PLUS SHE-A
o0980158	12708	𒜈	|DARA₃~d×KAR₂~b|	PROTO-CUNEIFORM SIGN DARA3-D TIMES KAR2-B
o0980159	12709	𒜉	DARA₄~a1	PROTO-CUNEIFORM SIGN DARA4-A1
o0980160	1270A	𒜊	DARA₄~a2	PROTO-CUNEIFORM SIGN DARA4-A2
o0980161	1270B	𒜋	DARA₄~a3	PROTO-CUNEIFORM SIGN DARA4-A3
o0980162	1270C	𒜌	DARA₄~b	PROTO-CUNEIFORM SIGN DARA4-B
o0980163	1270D	𒜍	DARA₄~c	PROTO-CUNEIFORM SIGN DARA4-C
o0980164	1270E	𒜎	DARA₄~c1	PROTO-CUNEIFORM SIGN DARA4-C1
o0980165	1270F	𒜏	DARA₄~c2	PROTO-CUNEIFORM SIGN DARA4-C2
o0980166	12710	𒜐	DARA₄~c3	PROTO-CUNEIFORM SIGN DARA4-C3
o0980167	12711	𒜑	DARA₄~c4	PROTO-CUNEIFORM SIGN DARA4-C4
o0980168	12712	𒜒	DARA₄~c5	PROTO-CUNEIFORM SIGN DARA4-C5
o0980169	12713	𒜓	DARA₄~d	PROTO-CUNEIFORM SIGN DARA4-D
o0980170	12714	𒜔	DI	PROTO-CUNEIFORM SIGN DI
o0980171	12715	𒜕	DI@t	PROTO-CUNEIFORM SIGN DI TENU
o0980172	12716	𒜖	DIB	PROTO-CUNEIFORM SIGN DIB
o0980173	12717	𒜗	DILMUN	PROTO-CUNEIFORM SIGN DILMUN
o0980174	12718	𒜘	DIM~a	PROTO-CUNEIFORM SIGN DIM-A
o0980177	12719	𒜙	DIM~b	PROTO-CUNEIFORM SIGN DIM-B
o0980178	1271A	𒜚	DIM~c	PROTO-CUNEIFORM SIGN DIM-C
o0980179	1271B	𒜛	DIN	PROTO-CUNEIFORM SIGN DIN
o0980180	1271C	𒜜	|DIN×1(N58)|	PROTO-CUNEIFORM SIGN DIN TIMES ONE-N58
o0980181	1271D	𒜝	DIN@t	PROTO-CUNEIFORM SIGN DIN TENU
o0980182	1271E	𒜞	DU	PROTO-CUNEIFORM SIGN DU
o0980183	1271F	𒜟	|DU×1(N58@t)|	PROTO-CUNEIFORM SIGN DU TIMES ONE-N58 TENU
o0980184	12720	𒜠	DU@g	PROTO-CUNEIFORM SIGN DU GUNU
o0980185	12721	𒜡	DU₆~a	PROTO-CUNEIFORM SIGN DU6-A
o0980186	12722	𒜢	|DU₆~a×1(N58)|	PROTO-CUNEIFORM SIGN DU6-A TIMES ONE-N58
o0980188	12723	𒜣	DU₆~b	PROTO-CUNEIFORM SIGN DU6-B
o0980189	12724	𒜤	DU₆~c	PROTO-CUNEIFORM SIGN DU6-C
o0980190	12725	𒜥	DU₇	PROTO-CUNEIFORM SIGN DU7
o0980191	12726	𒜦	DU₈~a	PROTO-CUNEIFORM SIGN DU8-A
