o0903575	12749	|DUG~b×GEŠTU~a|
o0900363	1274A	|DUG~b×GEŠTU~b|
o0900365	1274B	|DUG~b×GI₆|
o0900367	1274C	|DUG~b×GIŠ|
o0900370	1274D	|DUG~b×HI|
o0903577	1274E	|DUG~b×HI@g~a|
o0900376	1274F	|DUG~b×KASKAL|
o0900379	12750	|DUG~b×KU₆~a|
o0900381	12751	|DUG~b×KUR~a|
o0900382	12752	|DUG~b×KUR~b|
o0900386	12753	|DUG~b×KUR@g~a|
o0900389	12754	|DUG~b×LAM~a|
o0900391	12755	|DUG~b×MAŠ|
o0900408	12756	|DUG~b×NAGA~a|
o0900410	12757	|DUG~b×NAM₂|
o0900414	12758	|DUG~b×SA~a|
o0900416	12759	|DUG~b×(SA~a.GI)|
o0900418	1275A	|DUG~b×SI₄~a|
o0900420	1275B	|DUG~b×(SI₄~a.X)|
o0900422	1275C	|DUG~b×SIG₂~a1|
o0900423	1275D	|DUG~b×SIG₂~a2|
o0900425	1275E	|DUG~b×SIG₇|
o0900427	1275F	|DUG~b×SUHUR|
o0900431	12760	|DUG~b×ŠAH₂~a|
o0900433	12761	|DUG~b×ŠE~a|
o0900437	12762	|DUG~b×(ŠE~a.NAM₂)|
o0900439	12763	|DUG~b×TAK₄~a|
o0900441	12764	|DUG~b×(TAK₄~a.SA~a)|
o0900443	12765	|DUG~b×(TAK₄~a.SAL)|
o0900445	12766	|DUG~b×TI|
o0900449	12767	|DUG~b×U₂~a|
o0900450	12768	|DUG~b×U₂~b|
o0900454	12769	|DUG~b×(UDU~a×TAR~b)|
o0900456	1276A	|DUG~b×UH₃~a|
o0900458	1276B	|DUG~b×UH₃~a@t|
o0900466	1276C	|DUG~b×ZATU764|
o0900468	1276D	|DUG~b×ZATU779|
o0900470	1276E	|DUG~b×ZATU780|
o0900472	1276F	|DUG~b×ZATU781|
o0900474	12770	|DUG~b×(ZATU789.SA~a)|
o0900395	12771	|DUG~b×1(N57)|
o0900401	12772	|DUG~b×(1(N57).KU₃~a)|
o0903578	12773	|DUG~b×1(N58)|
o0903579	12774	|(DUG~b&DUG~b)×1(N58)|
o0903580	12775	DUG~c
o0903581	12776	|DUG~c×1(N57)|
o0900479	12777	DUG~c@t
o0900338	12778	DUG~d
o0900481	12779	DUGUD
o0900483	1277A	DUR~a
o0900484	1277B	DUR~b
o0900485	1277C	DUR₂
o0900487	1277D	E~a
o0900488	1277E	E~b
o0900489	1277F	E~c
o0900493	12780	E₂~a
o0900503	12781	|E₂~a×1(N58@t)|
o0900494	12782	E₂~b
o0900504	12783	|E₂~b×1(N58@t)|
o0900495	12784	E₂~c
o0900496	12785	E₂~d
o0900510	12786	E₃~b
o0900511	12787	EDIN
o0900513	12788	EN~a
o0900517	12789	EN~b
o0900528	1278A	EN~b@t
o0900519	1278B	EN~c
o0900525	1278C	EN@g~a
o0900526	1278D	EN@g~b
o0900529	1278E	EN₂
o0900541	1278F	ERIM~a
o0900542	12790	ERIM~b1
o0900543	12791	ERIM~b2
o0900545	12792	ERIN
o0900546	12793	EŠDA
o0900547	12794	|EŠDA×TAR~a|
o0900548	12795	EŠGAR
o0900550	12796	EZEN~a
o0903582	12797	|EZEN~a×EN~b|
o0900559	12798	|EZEN~a×(HI×1(N57).AN)|
o0900561	12799	|EZEN~a×KAB|
o0900563	1279A	|EZEN~a×KAŠ~b|
o0900565	1279B	|EZEN~a×KI|
o0900573	1279C	|EZEN~a×NIM~b2|
o0900575	1279D	|EZEN~a×NIMGIR|
o0900577	1279E	|EZEN~a×RAD~a|
o0900581	1279F	|EZEN~a×SU~a|
o0900583	127A0	|EZEN~a×(U₂~b.A)|
o0900585	127A1	|EZEN~a×U₄|
o0900552	127A2	EZEN~b
o0900570	127A3	|EZEN~b×6(N57)|
o0900594	127A4	EZINU~a
o0900595	127A5	EZINU~b
o0900596	127A6	EZINU~c
o0900597	127A7	EZINU~d
o0900599	127A8	GA~a
o0900604	127A9	GA~b
o0900605	127AA	GA~c
o0900610	127AB	|GA~c×KASKAL|
o0900612	127AC	|GA~c×1(N14)|
o0900616	127AD	GA₂~a1
o0900623	127AE	|GA₂~a1×A|
o0900628	127AF	|GA₂~a1×E₂~a|
o0903586	127B0	|GA₂~a1×EN~b|
o0900633	127B1	|GA₂~a1×GEŠTU~a|
o0900634	127B2	|GA₂~a1×GEŠTU~c3|
o0900635	127B3	|GA₂~a1×GEŠTU~c5|
o0900637	127B4	|GA₂~a1×GIR~a|
o0900639	127B5	|GA₂~a1×(GIR~a.KU₆~a)|
o0900641	127B6	|GA₂~a1×GIŠ@t|
o0900648	127B7	|GA₂~a1×HAL|
o0900650	127B8	|GA₂~a1×HI|
o0900654	127B9	|GA₂~a1×KU₃~a|
o0900657	127BA	|GA₂~a1×KU₆~a|
o0900660	127BB	|GA₂~a1×(KU₆~a.KU₆~a)|
o0900662	127BC	|GA₂~a1×LAGAB~b|
o0900664	127BD	|GA₂~a1×MAŠ|
o0900685	127BE	|GA₂~a1×PAD~b|
o0900687	127BF	|GA₂~a1×PAP~a|
o0900689	127C0	|GA₂~a1×SU~a|
o0900691	127C1	|GA₂~a1×SUHUR|
o0900694	127C2	|GA₂~a1×SUKUD|
o0900699	127C3	|GA₂~a1×SUMAŠ|
o0900701	127C4	|GA₂~a1×ŠA|
o0900705	127C5	|GA₂~a1×TI|
o0900707	127C6	|GA₂~a1×U₄|
o0900666	127C7	|GA₂~a1×1(N14)|
o0900668	127C8	|GA₂~a1×1(N57)|
o0900617	127C9	GA₂~a2
o0900644	127CA	|GA₂~a2×GU₄|
o0900677	127CB	|GA₂~a2×NI~a|
o0900692	127CC	|GA₂~a2×SUHUR|
o0903588	127CD	|GA₂~a2×ŠE₃|
o0903589	127CE	|GA₂~a2×(ŠE₃.GU₄)|
o0900618	127CF	GA₂~a3
o0900619	127D0	GA₂~a4
o0900620	127D1	GA₂~b
o0900625	127D2	|GA₂~b×DUB~a|
o0903590	127D3	|GA₂~b×DUB~b|
o0900658	127D4	|GA₂~b×KU₆~a|
o0900715	127D5	|GA₂~b×ZATU659|
o0900621	127D6	GA₂~c
o0900719	127D7	GAʾAR~a1
o0900720	127D8	GAʾAR~a2
o0900721	127D9	GAʾAR~b1
o0900722	127DA	GAʾAR~b2
o0900724	127DB	GADA~a
o0900727	127DC	GADA~b@g
o0900729	127DD	GAL~a
o0900730	127DE	GAL~b
o0900732	127DF	GALGA~a
o0900736	127E0	GAN~a
o0900738	127E1	GAN~b
o0900742	127E2	GAN~c
o0900747	127E3	|GAN~c×DIN|
o0900751	127E4	|GAN~c×HI|
o0900755	127E5	|GAN~c×(HI.DIN)|
o0903591	127E6	|GAN~c×KAŠ~c|
o0903592	127E7	|GAN~c×(KUR~a.A)|
o0900761	127E8	|GAN~c×LAGAB~b|
o0900767	127E9	|GAN~c×SIG₇|
o0903593	127EA	|GAN~c×ZATU777|
o0900763	127EB	|GAN~c×(4(N57).GAR)|
o0903596	127EC	|GAN~d×GEŠTU~a|
o0900778	127ED	GAN₂
o0900779	127EE	GAR
o0900781	127EF	GAR@g~a
o0900782	127F0	GAR@g~b
o0900783	127F1	GAR@g~c
o0900784	127F2	GAR₃
o0900786	127F3	GARA₂~a
o0900788	127F4	GAZI
o0900790	127F5	GEŠTIN~a
o0900792	127F6	GEŠTIN~d
o0900793	127F7	GEŠTIN~e
o0900797	127F8	GEŠTU~a
o0900800	127F9	GEŠTU~b
o0900801	127FA	GEŠTU~c3
o0900803	127FB	GEŠTU~c5
o0900806	127FC	GI
o0900809	127FD	|GI×A|
o0903599	127FE	|GI×GIŠ@t|
o0900812	127FF	|GI×KU~b1|
o0903600	12800	|GI×LAGAB~a|
o0900817	12801	|GI×NAM₂|
o0900819	12802	|GI×SIG₂~d1|
o0903597	12803	|GI×ŠE₃|
o0903601	12804	|GI×1(N14)|
o0900816	12805	|GI×1(N58@t)|
o0900822	12806	|GI&GI|
o0900823	12807	|(GI&GI)×GIŠ@t|
o0903602	12808	|GI&GI&GI|
o0900827	12809	GI@t
o0900829	1280A	GI₄~a
o0900832	1280B	|GI₄~a×A|
o0900830	1280C	GI₄~b
o0900835	1280D	|GI₄~b&GI₄~b|
o0900836	1280E	GI₆
o0900839	1280F	GIBIL
o0900845	12810	GIR~a
o0900846	12811	GIR~b
o0900848	12812	GIR~c
o0900855	12813	GIR₂~a
o0900858	12814	GIR₃~a
o0900864	12815	|GIR₃~a×ŠE~b|
o0900859	12816	GIR₃~b
o0900860	12817	GIR₃~c
o0903604	12818	|GIR₃~c×ŠE₃|
o0900869	12819	GIR₃@g~a
o0900870	1281A	GIR₃@g~b
o0900871	1281B	GIR₃@g~c
o0900873	1281C	GISAL~a
o0900874	1281D	GISAL~b
o0900875	1281E	GIŠ
o0900879	1281F	|(GIŠ×(DIN.DIN))~a|
o0900880	12820	|(GIŠ×(DIN.DIN))~b|
o0900881	12821	|(GIŠ×(DIN.DIN))~c|
o0900883	12822	|(GIŠ×ŠU₂)~a|
o0900884	12823	|(GIŠ×ŠU₂)~b|
o0900885	12824	GIŠ@t
o0900889	12825	GIŠ₃~a
o0900892	12826	|GIŠ₃~a&GIŠ₃~a|
o0900890	12827	GIŠ₃~b
o0900893	12828	GIŠGAL
o0900896	12829	GIŠIMMAR~a1
o0900897	1282A	GIŠIMMAR~a2
o0900898	1282B	GIŠIMMAR~a3
o0900899	1282C	GIŠIMMAR~b1
o0900902	1282D	GIŠIMMAR~b2
o0900903	1282E	GIŠIMMAR~b3
o0900906	1282F	GU
o0900907	12830	GU₂
o0900908	12831	GU₄
o0900914	12832	GU₄@g
o0900912	12833	GU₇
o0900916	12834	GUB₃~a
o0900917	12835	GUB₃~b
o0900918	12836	GUB₃~c
o0900919	12837	GUB₃~d
o0900920	12838	GUG₂
o0903605	12839	|GUG₂×SILA₃~a|
o0903607	1283A	|GUG₂×TUR|
o0900929	1283B	GUKKAL~a
o0900930	1283C	GUKKAL~b
o0900931	1283D	GUKKAL~c
o0900932	1283E	GUKKAL~d
o0900935	1283F	GUL
o0900937	12840	GUM~a
o0900938	12841	GUM~b
o0900941	12842	GUM~b@n
