id_text	publications_key
P000235	1962UVB18; Englund1993ATU3
P000236	Englund1993ATU3
P000237	Englund1993ATU3
P000240	Englund1993ATU3; Green1987ATU2
P000241	Englund1993ATU3; Green1987ATU2
P000243	Englund1993ATU3; Green1987ATU2
P000244	Englund1993ATU3
P000245	Englund1993ATU3; Green1987ATU2
P000246	Englund1993ATU3; Green1987ATU2
P000247	BagM2catalogue; Englund1993ATU3; Green1987ATU2; Landsberger1969MSL12; sec242
P000248	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000249	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000250	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000251	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000252	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000253	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000254	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000255	BagM2catalogue; Englund1993ATU3; Green1987ATU2
P000256	BagM2catalogue; Englund1993ATU3
P000257	BagM2catalogue; Englund1993ATU3
P000258	BagM2catalogue; Englund1993ATU3
P000259	BagM2catalogue; Englund1993ATU3
P000260	BagM2catalogue; Englund1993ATU3
P000261	BagM2catalogue; Englund1993ATU3
P000262	BagM2catalogue; Englund1993ATU3
P000263	BagM2catalogue; Englund1993ATU3
P000264	BagM2catalogue; Englund1993ATU3
P000265	BagM2catalogue; Englund1993ATU3
P000266	BagM2catalogue; Englund1993ATU3
P000267	Englund1993ATU3
P000268	Englund1993ATU3
P000269	Englund1993ATU3
P000270	Englund1993ATU3
P000271	Englund1993ATU3
P000272	Englund1993ATU3
P000273	Englund1993ATU3
P000274	Englund1993ATU3
P000275	Englund1993ATU3
P000276	Englund1993ATU3
P000277	Englund1993ATU3
P000278	Englund1993ATU3
P000279	Englund1993ATU3
P000280	Englund1993ATU3
P000281	Englund1993ATU3
P000282	Englund1993ATU3
P000283	Englund1993ATU3
P000284	Englund1993ATU3
P000285	Englund1993ATU3
P000286	Englund1993ATU3
P000287	Englund1993ATU3
P000288	Englund1993ATU3
P000289	Englund1993ATU3
P000290	Englund1993ATU3
P000291	Englund1993ATU3
P000292	Englund1993ATU3
P000293	Englund1993ATU3
P000294	Englund1993ATU3
P000295	Englund1993ATU3
P000296	Englund1993ATU3
P000297	Englund1993ATU3
P000298	Englund1993ATU3
P000299	Englund1993ATU3
P000300	Englund1993ATU3
P000301	Englund1993ATU3
P000302	Englund1993ATU3
P000303	Englund1993ATU3
P000304	Englund1993ATU3
P000305	Englund1993ATU3
P000306	Englund1993ATU3
P000308	Englund1993ATU3
P000309	Englund1993ATU3
P000310	Englund1993ATU3
P000311	Englund1993ATU3
P000312	Englund1993ATU3
P000313	Englund1993ATU3
P000314	Englund1993ATU3
P000315	Englund1993ATU3
P000316	Englund1993ATU3
