o0901620	NUNUZ~c~v2	NUNUZ~c
o0901621	NUNUZ~c~v3	NUNUZ~c
o0901626	PA~a~v1	PA~a
o0901627	PA~a~v2	PA~a
o0901641	PAP~b~v1	PAP~b
o0901671	RU~v1	RU
o0901676	SA~c~v1	SA~c
o0901678	SAG~v1	SAG
o0901679	SAG~v2	SAG
o0901710	SANGA~a~v1	SANGA~a
o0901711	SANGA~a~v2	SANGA~a
o0901713	SANGA~b~v1	SANGA~b
o0901725	SI~v1	SI
o0901743	SI₄~d~v1	SI₄~d
o0901745	SI₄~f~v1	SI₄~f
o0901754	SIG₂~a3~v1	SIG₂~a3
o0901755	SIG₂~a3~v2	SIG₂~a3
o0901762	SIG₂~d2~v1	SIG₂~d2
o0901772	SIG₇~v1	SIG₇
o0901786	|SILA₃~a×DUG~a|~v1	|SILA₃~a×DUG~a|
o0901785	|SILA₃~a~v1×DUG~a|	|SILA₃~a×DUG~a|
o0901867	SIMUG~v1	SIMUG
o0901871	SU~a~v1	SU~a
o0901897	SUKUD@g~b~v1	SUKUD@g~b
o0901903	SUM~a~v1	SUM~a
o0901911	ŠA~v1	ŠA
o0901912	ŠA~v2	ŠA
o0901927	ŠAB~a~v1	ŠAB~a
o0901929	ŠAB~b~v1	ŠAB~b
o0901931	ŠAGAN~v1	ŠAGAN
o0901956	|ŠE~a.NAM₂|~v1	|ŠE~a.NAM₂|
o0901963	ŠE₃~v1	ŠE₃
o0901965	ŠE₃~v1@t	ŠE₃@t
o0901970	ŠEN~a~v1	ŠEN~a
o0901972	ŠEN~b~v1	ŠEN~b
o0901975	ŠEN~d~v1	ŠEN~d
o0901976	ŠEN~d~v2	ŠEN~d
o0901987	ŠEŠ~a~v1	ŠEŠ~a
o0901994	ŠIM~a~v1	ŠIM~a
o0901995	ŠIM~a~v2	ŠIM~a
o0901999	ŠIR~a~v1	ŠIR~a
o0902001	ŠIR~b~v1	ŠIR~b
o0902002	ŠIR~b~v2	ŠIR~b
o0902046	|ŠU₂~a.EN~a~v1|	|ŠU₂~a.EN~a|
o0902047	|ŠU₂~a.EN~a~v2|	|ŠU₂~a.EN~a|
o0902069	ŠURUPPAK~a~v1	ŠURUPPAK~a
o0902071	ŠURUPPAK~b~v1	ŠURUPPAK~b
o0902095	TAK₄~a~v1	TAK₄~a
o0902104	TI~v1	TI
o0902124	TUG₂~a@g~v1	TUG₂~a@g
o0902140	TUR~v1	TUR
o0902141	TUR~v2	TUR
o0902142	TUR~v3	TUR
o0902158	U₂~b~v1	U₂~b
o0902159	U₂~b~v2	U₂~b
o0902221	U₈~v1	U₈
o0902222	U₈~v2	U₈
o0902223	U₈~v3	U₈
o0902231	UBI~c~v1	UBI~c
o0902235	UD₅~a~v1	UD₅~a
o0902236	UD₅~a~v2	UD₅~a
o0902262	UKKIN~a~v1	UKKIN~a
o0902264	UKKIN~b~v1	UKKIN~b
o0902291	UMUN₂~v1	UMUN₂
o0902294	UNUG~a~v1	UNUG~a
o0902314	UR₃~a1~v1	UR₃~a1
o0902333	URI₃~a~v1	URI₃~a
o0902374	URUDU~a~v1	URUDU~a
o0902375	URUDU~a~v2	URUDU~a
o0902386	UŠ~b~v1	UŠ~b
o0902389	|UŠ~b~v2×TAR~c|	|UŠ~b×TAR~c|
o0902402	UTUA~b~v1	UTUA~b
o0902423	ZAG~a~v1	ZAG~a
o0902439	ZATU623~v1	ZATU623
o0902440	ZATU623~v2	ZATU623
o0902446	ZATU625~v1	ZATU625
o0902454	ZATU628~a~v1	ZATU628~a
o0902457	ZATU629~v1	ZATU629
o0902462	ZATU632~a~v1	ZATU632~a
