o0900004	|A×EN~a~v2|	|A×EN~a|	𒚒
o0901349	|MAH~a×UD₅~a~v1|	|MAH~a×UD₅~a|	𒧍
o0901367	|MAR~b×(LAGAB~b.ŠE₃~v1)|	|MAR~b×(LAGAB~b.ŠE₃)|	𒧜
o0901504	|NI~a.RU~v1|	|NI~a.RU|	𒨻
o0901606	|NUN~a+EN~a~v2|	|NUN~a+EN~a|	𒩶
o0901607	|NUN~a+EN~b~v1|	|NUN~a+EN~b|	𒩷
o0901684	|SAG~v1×GEŠTU~c|	|SAG×GEŠTU~c|	𒪯
o0901687	|SAG~v1×MA~v1|	|SAG×MA|	𒪰
o0901688	|SAG~v1×1(N14)|	|SAG×1(N14)|	𒪱
o0901683	|SAG~v2×GEŠTU~b|	|SAG×GEŠTU~b|	𒪳
o0901734	|SI×ŠE₃~v1|	|SI×ŠE₃|	𒫆
o0901790	|SILA₃~a×GA~a~v3|	|SILA₃~a×GA~a|	𒫩
o0901794	|SILA₃~a×GEŠTU~a~v2|	|SILA₃~a×GEŠTU~a|	𒫫
o0901816	|SILA₃~a×MA~v1|	|SILA₃~a×MA|	𒫷
o0901838	|SILA₃~a×SUM~a~v1|	|SILA₃~a×SUM~a|	𒫽
o0901852	|SILA₃~a×ZATU629~v1|	|SILA₃~a×ZATU629|	𒬄
o0901856	|SILA₃~a×(ZATU659.TU~c~v1)|	|SILA₃~a×(ZATU659.TU~c)|	𒬆
o0902048	|ŠU₂~a.EN~b~v1|	|ŠU₂~a.EN~b|	𒮕
o0902056	|ŠU₂~a.URI₃~a~v1|	|ŠU₂~a.URI₃~a|	𒮗
o0902166	|U₄.4(N08)~v1|	|U₄.4(N08)|	𒯦
o0902187	|U₄×3(N01).3(N08)~v1|	|U₄×3(N01).3(N08)|	𒯺
o0902298	|UNUG~a~v1×A@t|	|UNUG~a×A@t|	𒱇
o0902347	|URU~a1×AMAR~v2|	|URU~a1×AMAR|	𒱤
o0902495	|ZATU651×EN~a~v2|	|ZATU651×EN~a|	𒳐
o0902501	|ZATU651~v2×ŠE~a|	|ZATU651×ŠE~a|	𒳙
o0902610	|ZATU711~v1×HI@g~a|	|ZATU711×HI@g~a|	𒴳
o0902611	|ZATU711~v1×X|	|ZATU711×X|	𒴴
o0902663	|ZATU737×EN~a~v2|	|ZATU737×EN~a|	𒵜
o0902682	|ZATU737×UNUG~a~v1|	|ZATU737×UNUG~a|	𒵣
o0902664	|ZATU737~v1×EN~b~v1|	|ZATU737×EN~b|	𒵥
o0902683	|ZATU737~v2×X|	|ZATU737×X|	𒵩
o0902671	|ZATU737~v3×SAL|	|ZATU737×SAL|	𒵪
o0902680	|ZATU737~v3×U₄|	|ZATU737×U₄|	𒵫
